a bit,"na. 有点儿〔作副词用〕
"
a bit of,"na. 一点儿
"
a chorus of,无
a collection of,"un. 收藏的
"
a couple of,"det. 一对
"
a dozen, 一打；十二个；每打
a few,"na. 几个；〔反语〕很多；〈俚〉一点点
"
a good deal,"na. “a deal”的变体
"
a great deal,"na. 很多
"
a good deal of,"det. 很多；大量
"
a great deal of,"det. 很多；重重
"
a good many,"na. 很多的
"
a great many,"na. 很多的
"
a group of,"det. 一群
"
a handful of,"det. 一把；一小撮；少数
"
a kind of,"na. 一类；几分；稍稍
"
a large amount of,"det. 大量
"
a little,"n. 一点
"
a lot of,"det. 许多
"
lots of,"adj. 许多；很多
"
a mass of,"un. 许多
"
masses of, 大多数；大量的；大部分
a matter of,"na. 大约；…左右；…的问题
"
a number of,"na. 若干；〔口语〕=numbers of 许多的
"
a pair of,"det. 一双
"
a piece of,"det. 一块；一只
"
a quantity of,"na. 一些
"
a range of,"det. 一大片；一排
"
a sequence of, 一系列的；一连串；一个…的序列
a series of,"na. 一系列；许多
"
a variety of,"det. 种种；形形色色
"
a waste of,"det. 浪费
"
abandon oneself to,"na. 恣意
"
abide by,"na. 坚持；服从
"
above all,"na. 最主要的；最重要的是
"
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
"
accuse ... of,"un. 控告
"
across the world, 在全世界；世界各地；横跨世界
act a part,"na. 扮演…角色；假装
"
act the part,扮演某一特定的角色；(在戏中)扮演一个角色；担当；充当；尽职责，履行义务
act as,"na. 做(向导)
"
act on,"na. “Act upon”的变体
"
act upon,"v. 对…起作用
"
adapt to,"na. 使(自己行动)配合(同伴)
"
add in,"na. 算入
"
add to,"na. 增加
"
add up,"na. 合计；符合预期的数目
"
adjust to,"v. 适应
"
admit doing sth., 承认做某事；承认做过某事；承认做了某事
after a while,"na. 过了一会儿
"
after all,"na. 毕竟；终究；最后
"
after you, 你先请；您先；您先请
again and again,"na. 再三再四
"
against sb.'s will,无
agree on,"na. 对…意见一致
"
agree upon,"un. 赞成；达成协议的；商妥
"
agree to,"na. 承认(提议；条件)
"
agree with,"na. 适合；赞同；与…一致
"
ahead of,"prep. （时间、空间）在…前面；早于；领先
"
aim at,"v. 目的在于
"
all alone,"na. 仅仅一个人；独力
"
all but,"na. 几乎跟…一样
"
all day,"na. 一天到晚
"
all in all,"na. 全部；完全；第一
"
all kinds of,"na. 种种
"
all of a sudden,"na. “all at once”的变体；突然
"
all one's life,"na. 毕生；终生
"
all over,"adj. 满
n. 全花织物
"
all right,"adj. 可接受（的）；满意（的）；安全健康（的）；平安无恙（的）
int. 是不是；（表示同意）好；没什么；（引起注意）哎
"
all round,"na. 周围；四面八方
"
all sorts of,"na. 一切种类的；种种
"
all the best, 万事吉利，一路平安，一帆风顺（祝酒或送行时用语）
all the same,"na. 依然；“all/just the same”的变体
"
all the time,"na. 始终；〔美国〕老是
"
all the way,"na. 路上一直；老远；〈美〉(从…到…)逐一
"
all year round, 全年；一年到头；终年
all the year round,"na. 一年到头
"
all through,"na. 从来就
"
all together,"adv. 一起
"
allow for,"v. 考虑到
"
allow in, 便知道
along with,"na. 与…一道；以外
"
and so on,"na. “And so forth”的变体
"
answer back,"na. 回嘴；顶嘴
"
answer for,"na. 负…的责任；负责(受处分)；代(被问人)回答
"
anything but,"na. 决不是；除…外什么都
"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
"
apologize to sb. for sth., 因某事向某人道歉
apologize to sb. for doing sth.,无
appeal against, 提出上诉；提起上诉；我要申诉
appeal to,"v. 求助于；引起N
"
apply for,"v. 寻求；申请
"
apply to,"v. 应用于
"
appoint as,无
approve of,"na. 赞成
"
argue with sb. about sth.,vt.与...辩论
arise from,"v. 从…而得的
"
arm in arm,"na. 臂挽着臂
"
around the corner,"na. (= 〔英国〕 round the corner)在拐角那里
"
arrange for,"na. 约(会面时间)
"
arrive at,"v. 到达；得出
"
arrive in,"v. 到达；达到
"
as a consequence,"adv. 因此
"
as a matter of fact,"na. 事实上；事实是
"
as a result,"adv. 结果
"
as a result of,"na. (作)为…的结果
"
as a rule,"na. 照例
"
as a general rule,"na. 概
"
as a whole,"na. (作为一个)整体
"
as ... as possible,"na. 尽(快)
"
as far as,"na. 远到；就；尽；至于
"
so far as,"na. 就…而论；尽…说；只就…说
"
as follows,"na. 如下；以下
"
as for,"na. 至于
"
as if,"na. 彷佛；活像
"
as though,"na. 好像；见 well 条
"
as long as,"conj. 只要
"
so long as,"na. 只要；“as/so long as”的变体
"
as many as,"prep. …和…一样多
"
as regards,"na. 至于；提到
"
as soon as,"na. 一…就；见 soon 条
"
as to,"na. 〈正式〉至于；说到
"
as usual,"adv. 照常；照例
"
as well,"na. 也；同样
"
as well as,"na. 和…一样；…不用说
"
aside from,"na. 暂置不论；加之；除…外
"
ask for,"na. 要(价)；来找
"
ask for leave,"v. 请假
"
at a discount,"na. 打折扣；(货物等的)跌价；无销路；不受欢迎
"
at a distance,"na. 隔开一段距离；“at/from a distance”的变体
"
at a loss,"na. 无办法；(猎犬)失去猎物嗅迹；亏本地
"
at a low price,"un. 低价
"
at a time,"na. 一次(多少)；同时；曾经；连续
"
at all,"na. 全然；究竟
"
at all costs,"na. 无论如何
"
at an end,"adv. 完毕；结束
"
at any rate,"na. 无论如何；至少；总而言之
"
at birth, 在出生时；刚出生；生下来时
at ease,"na. 自由自在；=stand at ease.
"
at one's ease,没有拘束的
at first,"na. 首先
"
at first sight,"na. 乍看；一见就；乍看起来
"
at hand,"na. 在手边；即将到来
"
at home,"na. 在家；安适；在家接待客人；在本国 (opp. abroad)
"
at last,"na. 终于
"
at least,"na. 至少
"
at length,"na. 最后；充分地
"
at most,"na. 至多
"
at the most,"na. 至多
"
at no time,"na. 从来没有
"
at once,"na. 立刻；同时
"
at one time,"na. 同时；曾经
"
at one's best,"na. 最美时期；最得意处；发挥最高的技术水平
"
at one's own pace,"按自己的节奏
按自己的节奏（歌名，At One's Own Pace）"
at present,"na. 目前
"
at random,"na. 碰运气地；无目标地
"
at risk,"un. 担风险
"
at sb.'s convenience,无
at sb.'s expense,无
at sb.'s service,无
at table,"na. 在吃饭
"
at the age of,"na. 在…岁时
"
at the beginning of,"un. 前奏；处于…的开端；起初
"
at the bottom of,"un. (是)基本力量；是由于他们引起的；在…的底部
"
at the end of,"na. 在…末端；在…的结尾
"
at the foot of,"prep. 在…的下部
"
at the latest,"na. “at latest”的变体
"
at the mercy of,"na. 完全受…支配
"
at the moment,"na. “for the moment”的变体
"
at the same time,"na. 同时；另一方面；与此同时
"
at the sight of,"na. 一看见就
"
at the start of, 在…开始的时候；在……的开始；在---的开端
at the thought of,"na. 一想到
"
at the top of,"na. 在…最高地位；用最高[最大]的(速度,声音等)
"
at times,"na. 时时
"
at war,"na. 在战争中
"
at work,"na. 做着；在工作；起着作用；运转中
"
attach to,"v. 连接在…上；归于
"
attempt to do, 试图；试图做某事；企图做某事
attend to,"na. 照料(工作)
"
attitude to,"un. 对…态度
"
attitude towards,"un. 对…态度
"
attribute ... to,"na. 认为(成功)是(努力)的结果
"
attract the attention of ...,vt.引起...注意
avoid sth.,vt. 避免；避开，躲避；消除
avoid doing sth., 避免做某事；避免干某事；防止做某事
awake to,"na. 激起(某人)(悔罪念头)
"
back and forth,"na. 来回地
"
back away,"v. 后退；退让；退缩
"
back out,"na. 打退堂鼓；食言；退出；后退
"
back up,"na. 支持；堵塞；【棒球】抢救后方；【计算机】把(文件等备份)
"
badly off,"adj. 穷困的；拮据的；境况不佳的
"
bargain with sb. for sth.,无
base ... on,"v. 根据
"
be able to,"v. 能够
"
be about to,"na. 准备
"
be absorbed in,"na. 全神贯注在…；热衷于
"
be abundant in,丰富的，富裕的
be accustomed to,"na. 惯于(苦干,早起)
"
be addicted to,"na. 嗜好
"
become addicted to,无
be admitted to, 被…录取；获准做某事；获准进入
be admitted into, 被…录取；被选入
be afraid, 害怕；恐怕；害怕的
be angry with,"na. 对…生气；生(某人)的气
"
be anxious about,"na. 担忧(某人健康)；害怕(结果)
"
be ashamed of,"na. 以为…是耻辱
"
be associated with,"v. 与…联系
"
be aware of,"na. 知道
"
be bad at,"na. 不善于
"
be bad for,"na. 对…有害
"
be based on,"v. 以…为基础
"
be bent on,"na. 决心要；专想；尽想
"
be blessed with, 幸运地享有；有幸得到；享有的
be bored with,"v. 厌烦
"
be born into, 出身于；出生於；出生在…的家庭
be bound to,"v. 一定要；决心
"
be busy with sth.,"v. 忙于
"
be busy doing sth.,"na. 忙着干(某事)
"
be capable of,"v. 能够承担
"
be caught in,"na. 遇(雨)；落入(陷阱,圈套)
"
be caught up in, 对…特别感兴趣；被卷入；被卷入某事
be close to,"na. 接近；不离
"
be concerned about,"na. 关心；挂念
"
be confined to, 局限于；限制在；限制在，局限于
be connected with,"na. 与…有关[联]系
"
be considered as,"v. 被认为是
"
be content with,"na. 以…为满足
"
feel content with,vi.对...感到满足
be covered with,"na. 盖满
"
be crazy about,"v. 迷上
"
be crowded with,"na. 被…挤满；满是…
"
be curious about,"na. 对(某事物)感到好奇
"
be curious to,vt.极想
be decorated with,"v. 用…装饰
"
be delighted to, 高兴；高兴去；喜欢
be dependent on,"na. 依靠
"
be devoted to,"v. 献身于
"
be different from,"na. 和…不同
"
be drafted into,无
be dressed in, 穿着；穿着……衣服；正穿着
be dying to, 渴望；渴望，巴不得立即；非常渴望
be dying for,"na. 对…想得要死
"
be engaged in,"na. 正做着
"
be engaged to,"na. 同…订婚
"
get engaged to,无
be equal to,"na. 等于；胜任；赶得上；忍耐得住
"
be equipped with,"na. 安置着；身上穿着
"
be familiar to,"v. 熟悉
"
be familiar with,"na. 精通；同…相好
"
be famous as,作为…而闻名遐迩
be famous for,"v. 因…出名
"
be filled with, 充满；装满；充满着
be fit for,"na. 适于
"
be flooded with, 充斥；充满；被……所淹没
be fond of,"v. 爱好
"
be free from,"v. 免除
"
be free of,"un. 把…拯救出来；无；甩掉；不与…接触
"
be free to do sth.,无
be full of,"na. 充满…(的)
"
be furnished with,"na. 备有
"
be going to do, 将要，打算
be good at,"v. 善于
"
be happy with, 对……感到满意；对…满意；高兴
be hard on,"na. 接近
"
be home to, 是…的所在地；是……的家园；为……的所在地
be honored for,无
be impressed with,"na. 深感；为…所感动
"
be impressed by,"na. 深感；为…所感动
"
be inferior to, 劣于；不如；低于
be interested in,"v. 对…感兴趣
"
be known as,"na. 通称
"
be known for,"un. 公认；闻名；以…著称
"
be likely to, 可能；很可能；很有可能
be located at, 在一个具体地方
be located in, 位于；坐落于；坐落在
be located on, 位于；坐落在；位於
be lost in,"v. 迷恋
"
be made from,"na. 由…制成的
"
be made in, 在……地方制造；在…生产或制造；由某地制造
be made of,"na. …制的
"
be made out of, 由……制成；用……制成；用…改制而成
be made up of, 由…构成；组成；由…组成
be married to,"un. 给…证婚；嫁给…
"
be occupied with,"v. 忙着
"
be opposed to,"v. 反对；与…相对
"
be particular about,"v. 对…讲究
"
be pleased at,"对…感到高兴,喜欢…"
be pleased about,无
be pleased with,"na. 喜欢
"
be popular with,"na. 受…欢迎
"
be prepared for,"na. 准备着
"
be proud about,无
be proud of,"na. 以…自豪
"
be proud to,无
be ready for,"v. 预备好
"
be ready to, 准备好；准备做某事；预备
be related to,"na. 和…有(亲戚)关系
"
be relevant to,"v. 有关
"
be responsible for,"v. 负责；担负
"
be responsible to, 对某人负责；向……负责；对…负责
be restricted to, 局限于；仅限于；被限制在
be rich in,"v. 富于
"
be rude to,"na. 对…粗暴无礼
"
be satisfied with,"v. 满足于
"
be scared to death, 吓得要死；害怕得要命；被吓死
be sensitive to,"na. 对…敏感
"
be sentenced to death,"na. 被判处死刑
"
be short for, 是…的简称；是…的缩写
be short of, 缺少；缺乏；短缺
be similar, 相似；非常相似
be similar to,"na. 像
"
be strict in, 对某事严格要求；对某事要求严格；严于
be strict with, 对……严格要求；对…要求严格；对某人要求严格
be superior to,"na. 比…好；超然于
"
be supposed to,"na. …(在职务上)要；〈口〉不许
"
be sure about,"un. 就象…一样地不容怀疑。；把握
"
be sure of,"na. 确信
"
be sure to,"na. 必定
"
be tired from, 因……而疲乏；因…而疲倦；因…而厌倦
be tired of,"v. 厌烦；厌倦
"
be tired out,"na. 筋疲力尽
"
be to blame,"na. 该负责
"
be true of,"un. 遵守诺言；适用；是这种情况
"
be unique to, 为…特有；对……来说是独一无二的；为…所独有
be up to,"un. 面对；在干；居心
"
be used to do,无
be used to doing,无
get used to doing,无
be willing to do sth.,"na. 乐意进行
"
be worth sth., 值得；值得的；价值相当
be worth doing sth.,值得做……
be worthy of, 值得；配得上；对得起
be worthy to,无
beat down,"na. 打倒；镇压；〈口〉还(价)；使失望
"
because of,"na. 因
"
become of,"na. (人或事物的)情况
"
before long,"na. 不久；不(需很)久
"
begin with,"na. 从…开始
"
believe in,"v. 相信
"
believe it or not,"na. 信不信由你
"
belong to,"v. 属于；附属
"
benefit from,"v. 从…得到好处
"
beyond control,"na. 无法控制
"
beyond description,"na. “beyond expression”的变体
"
bid for,"na. 投标求包(工程)；出价竞买(某物)；争取得到(拥护等)
"
bits and pieces,"na. 零星小玩意
"
black and blue,"un. 遍体鳞伤；浑身发青；青一块、紫一块；孝服
"
black out,"na. 用墨涂掉；使停刊；封锁(新闻)；【戏】使舞台转暗
"
blame sb. for ..., 因……责备；责怪；因…怪罪
blame sth. on sb., 把责任推给；责怪；归罪于
block out,"na. 画略图；拟大纲；同“block in ”
"
blow away,"na. 吹走；〈非正式〉用枪杀死某人；〈非正式〉震惊；主要用于美式英语
"
blow up,"v. 炸掉；爆炸；充气；放大
"
book up,"v. 预定
"
both ... and,既...又...
bow down,"un. 跪拜；打躬作揖
"
break away,"v. 逃脱；突然离开；突然离去；挣脱
"
break away from,"v. 脱离；离开；断绝与…的关系
"
break down,"v. 分解；抛锚；分析；划分
"
break in,"na. 闯入；插嘴；驯(马)；训练(人)
"
break into,"na. 闯进；拦(别人话头)；侵占(别人时间等)；突然…起来
"
break off,"v. 断绝；摘；把…折断；使脱落
"
break one's promise,"un. 许配；违背…诺言
"
break out,"na. 起；(战争等)突发；(囚犯等)逃脱；【航】起(锚)
"
break the record,"na. 打破记录
"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
bring about,"na. 造成；带来；【航】(使船)回转
"
bring an end to,"un. 完了；结束了
"
bring back,"na. 送回；使恢复；使回忆起
"
bring down,"na. 降低；击落；削减；使落下[跌落]
"
bring forth,"na. 提出；生
"
bring forward,"na. 提出(计划等)；提示；提前；公开
"
bring in,"na. 生产；生(利)；收获(农作物等)；挣得(报酬等)
"
bring on,"na. “bring forward”的变体
"
bring out,"na. 公布；说出；出版；上演
"
bring up,"na. 抚养；教导；教育；在…长大
"
build up,"na. 同“build”；建立；复兴；【军】集结(部队)
"
burn down,"na. 把…烧成平地；(蜡烛等)逐渐烧完；火力减弱
"
burn one's bridges, 破釜沉舟; 背水为阵; 有进无退
burn out,"na. 烧起来；烧光；烧尽；烧断
"
burn to death,烧死
burn up,"na. 烧完；旺起来；使恼怒；发怒
"
burst into,"na. 闯进；突然…起来
"
burst out,"na. 冒出；现出；突然发作；突然发生
"
but for,"na. 要不是；除…而外
"
by accident,"na. 偶然 (opp. on purpose)
"
by air,"na. 用[坐]飞机；用无线电
"
by all means,"na. 必定；千方百计；不惜一切；好的
"
by and by,"na. 不久以后
"
by chance,"na. 偶然
"
by coincidence,"adv. 刚巧
"
by far,"na. (修饰比较级,最高级,表示数量,程度等)…得多；尤其；更
"
by hand,"na. 用手的；用手递交的；(婴儿)用牛奶抚养的
"
by means of,"na. 以
"
by mistake,"na. 因错误
"
by name,"na. 指名；名叫；只…名字
"
by nature,"na. 生就；从本性上说
"
by no means,"na. 决不；并没有
"
by oneself,"na. 单独；独自；独力
"
by reason of,"na. 凭…的理由
"
by the day,"na. 计日
"
by the end of,"prep. 在…尽头
"
by the side of,"na. 在…的旁边；在…的附近；和…比较
"
by the time,"na. 到…的时候
"
by the way,"na. 见 way 条
"
by then,"na. 到那时
"
by turns,"na. 轮流
"
by virtue of,"na. 靠
"
by way of,"na. 当做；作出…的样子；经由；以便
"
call attention to, 唤起注意；引起对…的注意；关注
call at,"na. 访问(某家)；(车船)停靠(某地)
"
call for,"na. 呼吁；主张；需要；接(某人)
"
call in,"na. 招；叫进；引入；调入
"
call off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
"
call on,"na. 号召；指名要(某人)去干(某事)；请求；访问
"
call upon,"na. “call on”的变体；同“call on ”
"
call out,"na. 呼喊；大声叫唤；召集；号召罢工
"
call up,"na. 传；动员；打电话给；【电讯】呼唤
"
calm down,"na. 平静下来
"
can't but, 不得不
can't help but,〈美〉不得不; 不能不; 必须; 只好
can't help doing, 禁不住做某事；情不自禁做某事；忍不住做某事
can't wait to,无
care about,"v. 在意
"
care for,"v. 照顾；关心；喜欢
"
carry away,"na. 带去；冲走；获得(印象)；使冲昏头脑
"
carry off,"na. 得(奖)；夺去；诱拐；(病)夺去人命
"
carry on,"adj. (飞机乘客的行李)可随身携带的
n. (飞机乘客的)随身行李
"
carry out,"na. 实行；开展；完成
"
cast about for,"na. 寻觅；搜集；物色；想(方法等)
"
cast aside,"na. 抛弃
"
catch a glimpse of,"na. 瞥见；看一眼
"
catch fire,"na. 着火
"
catch hold of,"na. 抓住；乘机抓住(对方的失言)；掌握
"
catch on,"na. 流行；受欢迎；理解；懂得
"
catch sight of,"na. 看出
"
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
"
catch up with,"v. 赶上
"
cater for,"un. 备办食物:；凑合
"
cater to,"v. 迎合
"
centre on,"v. 中心在
"
centre upon, 集中于
change ... for ...,"v. 转车；转向
"
change into,"na. 变成；改穿
"
change ... into,"na. 变成；改穿
"
change one's mind,"na. 改变想法
"
charge for,"un. 索价
"
charge sb. with,"na. 托付；使负…的罪名；使受…的责备
"
check in,"v. 〈美〉报到；(旅馆)登记
"
check on,"na. 检查
"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
check up on,"na. “check on”的变体
"
cheer ... on,"un. 欢呼；喝采；高呼加油:；为某人打气
"
cheer up,"v. 鼓舞；振作一点
"
chew over,"na. “chew upon”的变体
"
chip in,"na. 加入(打架等)；捐助；拿钱赌
"
choke off,"na. 把…闷死；使中止；同“choke”
"
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
clear away,"na. 扫除；砍去；(雾等)消散
"
clear up,"na. 整顿；说明；(天气)转晴
"
click on, 点击；用鼠标点击；单击
close down,"v. 关闭；关门；倒闭；歇业
"
collect oneself,"心平气和,平心静气,镇定一下"
come about,"na. 发生；(风等)变向；【航海】抢风调向
"
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
"
come along,"na. 进步；同意；一道来；请过来
"
come back,"na. 回来；想起来；〔口语〕复原；归
"
come down,"na. 败落；退步；(飞机的)下降
"
come forward,"na. 出来；出头；(候选人)出来候选；增长
"
come from,"v. 来自；出身；归因于
"
come in,"na. 进入；当选；上台；(党派)组阁
"
come into being,"na. 发生
"
come into view, 进入视野；映入眼帘；应入眼帘
come off,"na. 同“come across”；(人)走了；(扣子,齿,发)脱落
"
come on,"na. (演员)出台；进行(很好)；(暴风雨等)起；(病,苦痛等)加深
"
come out,"na. 出来
"
come over,"na. 渡过来；(从敌方)过来；变挂；〔口语〕欺骗
"
come straight to the point, 开门见山；直截了当地说；单刀直入
come through,"na. 胜利；脱险；支付；捐献
"
come to,"na. 总计为；结果是；苏醒；把船朝着风头
"
come to terms with,"un. 谈得拢；和…达成协议；与…友好相处；追恋
"
come true,"na. (预言等)成事实；实现；(作物)不变种地发芽生长
"
come up,"na. 走近；上升；抬头；(暴风雨等)起
"
come up to,"na. 到达；不亚于；不负(期待)
"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
"
compare ... to,"un. 核对记录；商量了一番；比较；和…相仿
"
compare to,"un. 核对记录；商量了一番；比较；和…相仿
"
compare with,"na. 和…比较[对照]
"
compensate for,"v. 补偿；抵偿
"
complain about,"v. 埋怨
"
complain of,"v. 抱怨；叫屈
"
complain to, 向某人投欣；是投诉的意思；冲着某人抱怨
concentrate on,"na. 集中在；专心于
"
concentrate upon,na. 集中在；专心于
congratulate ... on,"un. 祝贺
"
congratulate ... upon,vt.祝贺
connect with,"na. 和…有关系
"
consider as, 认为；认为是；把…看作
consist in,"v. 在于
"
consist of,"v. 由…合成
"
consist with,"v. 符合；一致
"
contrary to,"na. 跟…相反[相违背]
"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
"
