abolish,vt. 废除，废止；取消，革除
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销
"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
receive,"vt. 收到；接待；接纳
vi. 接收"
accurate,adj. 精确的
precise,adj. 精确的；明确的；严格的
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
beneficial,adj. 有益的，有利的；可享利益的
profitable,adj. 有利可图的；赚钱的；有益的
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上
"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
cite,vt. 引用；传讯；想起；表彰
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
devote,vt. 致力于；奉献
dedicate,vt. 致力；献身；题献
economical,adj. 经济的；节约的；合算的
economic,adj. 经济的，经济上的；经济学的
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
efficient,adj. 有效率的；有能力的；生效的
eliminate,vt. 消除；排除
exclude,vt. 排除；排斥；拒绝接纳；逐出
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象
"
imagination,n. [心理] 想象力；空想；幻想物
favorable,adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
favorite,"n. 幸运儿；喜欢的事物；特别喜欢的人
adj. 最喜爱的；中意的；宠爱的"
genius,n. 天才，天赋；精神
talent,n. 才能；天才；天资
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送
"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
grand,"n. 大钢琴；一千美元
adj. 宏伟的；豪华的；极重要的
"
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
heal,"vt. 治愈，痊愈；和解
vi. 痊愈
"
cure,"n. 治疗；治愈；[临床] 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理
"
ignorant,adj. 无知的；愚昧的
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的
"
ignore,vt. 驳回诉讼；忽视；不理睬
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
interpret,"vi. 解释；翻译
vt. 说明；口译"
immerse,vt. 沉浸；使陷入
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
imply,vt. 意味；暗示；隐含
infer,"vi. 推断；作出推论
vt. 推断；推论"
importance,n. 价值；重要；重大；傲慢
consequence,n. 结果；重要性；推论
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖
"
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
situation,n. 情况；形势；处境；位置
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
technology,n. 技术；工艺；术语
technique,n. 技巧，技术；手法
label,"vt. 标注；贴标签于
n. 标签；商标；签条
"
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随
"
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机
"
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
ripe,"adj. 熟的，成熟的；时机成熟的
vt. 搜查；调查
vi. 进行搜查
"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价
"
ratio,n. 比率，比例
limit,"n. 限制；限度；界线
vt. 限制；限定"
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
stern,"n. 船尾；末端
adj. 严厉的；坚定的
"
strict,adj. 严格的；绝对的；精确的；详细的
ban,"n. 禁令，禁忌
vt. 禁止，取缔
"
prohibit,vt. 阻止，禁止
forbid,vt. 禁止；不准；不允许；〈正式〉严禁
hardly,adv. 几乎不，简直不；刚刚
scarcely,adv. 几乎不，简直不；简直没有
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
beam,"n. 横梁；光线；电波；船宽；[计量] 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容
"
glare,"n. 刺眼；耀眼的光；受公众注目
vt. 瞪视；发眩光
vi. 瞪眼表示"
flare,"n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹
vi. 闪耀，闪光；燃烧；突然发怒
vt. 使闪耀；使张开；用发光信号发出；使外倾"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
ambiguous,adj. 模糊不清的；引起歧义的
vague,"adj. 模糊的；含糊的；不明确的；暧昧的
"
obvious,adj. 明显的；显著的；平淡无奇的
evident,adj. 明显的；明白的
apparent,adj. 显然的；表面上的
scenery,n. 风景；景色；舞台布景
scene,n. 场面；情景；景象；事件
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
testify,"vi. 作证；证明
vt. 证明，证实；作证"
certify,v. 证明；保证
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的
"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的
"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
fade,"n. [电影][电视] 淡出；[电影][电视] 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色
"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
basis,n. 基础；底部；主要成分；基本原则或原理
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础
"
foundation,n. 基础；地基；基金会；根据；创立
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
movement,n. 运动；活动；运转；乐章
elementary,adj. 基本的；初级的；[化学] 元素的
basic,"n. 基础；要素
adj. 基本的；基础的"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
pay,"n. 工资，薪水；付款；报答
vt. 支付，付；偿还，补偿；给予
vi. 付款；偿还
adj. 收费的；需付费的"
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
salary,"n. 薪水
vt. 给...加薪；给...薪水"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住
"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
assure,vt. 保证；担保；使确信；弄清楚
memory,"n. 记忆，记忆力；内存，[计] 存储器；回忆
"
recollection,n. 回忆；回忆起的事物
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号
"
adjoining,"adj. 邻接的；毗连的
v. 邻接（adjoin的ing形式）"
adjacent,adj. 邻近的，毗连的
admission,n. 承认；入场费；进入许可；坦白；录用
admittance,n. 进入；入场权；通道
adapt,"vi. 适应
vt. 使适应；改编"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
enlighten,vt. 启发，启蒙；教导，开导；照耀
instruct,vt. 指导；通知；命令；教授
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列
"
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长
"
fate,"n. 命运
vt. 注定
"
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生
"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
guilty,adj. 有罪的；内疚的
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
affection,n. 喜爱，感情；影响；感染
love,"n. 恋爱；亲爱的；酷爱；喜爱的事物；爱情，爱意；疼爱；热爱；爱人，所爱之物
v. 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕
"
agreeable,adj. 令人愉快的；适合的；和蔼可亲的
pleasant,"adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的
"
surprise,"n. 惊奇，诧异；突然袭击
adj. 令人惊讶的
vt. 使惊奇；奇袭"
amaze,vt. 使吃惊
comprise,vt. 包含；由…组成
constitute,vt. 组成，构成；建立；任命
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的；[药] 具有特效的"
indignity,n. 侮辱；轻蔑；有伤尊严；无礼举动
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
condemn,vt. 谴责；判刑，定罪；声讨
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
potential,"n. 潜能；可能性；[电] 电势
adj. 潜在的；可能的；势的"
implicit,adj. 含蓄的；暗示的；盲从的
practical,adj. 实际的；实用性的
practicable,adj. 可用的；行得通的；可实行的
precious,"adj. 宝贵的；珍贵的；矫揉造作的
"
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
conscious,adj. 意识到的；故意的；神志清醒的
aware,"adj. 意识到的；知道的；有…方面知识的；懂世故的
"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
responsibility,n. 责任，职责；义务
liability,n. 责任；债务；倾向；可能性；不利因素
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
traffic,"n. 交通；运输；贸易；[通信] 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀
"
rein,"n. 缰绳；驾驭；统治；支配
vt. 控制；驾驭；勒住
vi. 勒住马
"
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
distinct,adj. 明显的；独特的；清楚的；有区别的
distinctive,adj. 有特色的，与众不同的
constant,"n. [数] 常数；恒量
adj. 不变的；恒定的；经常的
"
continual,adj. 持续不断的；频繁的
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服
"
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
accident,n. 事故；意外；[法] 意外事件；机遇
incident,"n. 事件，事变；插曲
adj. [光] 入射的；附带的；易发生的，伴随而来的"
event,n. 事件，大事；项目；结果
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划
"
meaning,"n. 意义；含义；意图
adj. 意味深长的
v. 意味；意思是（mean的ing形式）"
purport,"n. 意义，主旨；意图
vt. 声称；意图；意指；打算"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测
"
thrive,vi. 繁荣，兴旺；茁壮成长
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣
"
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕
"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
trait,"n. 特性，特点；品质；少许
"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑
"
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
appliance,n. 器具；器械；装置
equipment,n. 设备，装备；器材
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
complicated,adj. 难懂的，复杂的
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
request,"n. 请求；需要
vt. 要求，请求"
require,vt. 需要；要求；命令
acquire,vt. 获得；取得；学到；捕获
obtain,"vi. 获得；流行
vt. 获得"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
merely,adv. 仅仅，只不过；只是
simply,adv. 简单地；仅仅；简直；朴素地；坦白地
only,"adv. 只，仅仅；不料
adj. 唯一的，仅有的；最合适的
conj. 但是；不过；可是"
alter,"vt. 改变，更改
vi. 改变；修改
"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰
"
modify,"vt. 修改，修饰；更改
vi. 修改"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
choice,"n. 选择；选择权；精选品
adj. 精选的；仔细推敲的"
option,n. [计] 选项；选择权；买卖的特权
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
extent,n. 程度；范围；长度
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员
"
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
fairly,"adv. 相当地；公平地；简直
"
quite,adv. 很；相当；完全
rather,"adv. 宁可，宁愿；相当
int. 当然啦（回答问题时用）
"
pretty,"n. 有吸引力的事物（尤指饰品）；漂亮的人
adj. 漂亮的；可爱的；优美的
adv. 相当地；颇
"
region,n. 地区；范围；部位
area,"n. 区域，地区；面积；范围
"
victim,n. 受害人；牺牲品；牺牲者
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨
"
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
related,"v. 叙述（relate过去式）
adj. 有关系的，有关联的；讲述的，叙述的"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
temperate,adj. 温和的；适度的；有节制的
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭
"
destroy,vt. 破坏；消灭；毁坏
protect,vt. 保护，防卫；警戒
defend,"vi. 保卫；防守
vt. 辩护；防护"
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
brutal,adj. 残忍的；野蛮的，不讲理的
avert,vt. 避免，防止；转移
avoid,vt. 避免；避开，躲避；消除
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
funny,"n. 滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
adj. 有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明"
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近
"
frank,"n. 免费邮寄特权
adj. 坦白的，直率的；老实的
vt. 免费邮寄"
sincere,adj. 真诚的；诚挚的；真实的
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行
"
rob,"vt. 抢劫；使…丧失；非法剥夺
vi. 抢劫；掠夺"
steal,"n. 偷窃；便宜货；偷垒；断球
vt. 剽窃；偷偷地做；偷窃
vi. 窃取；偷偷地行动；偷垒"
rim,"n. 边，边缘；轮辋；圆圈
vt. 作…的边，装边于
vi. 作…的边，装边于
"
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动
"
revolt,"n. 反抗；叛乱；反感
vt. 使反感；使恶心
vi. 反抗；反叛；反感，厌恶"
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反
"
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
error,n. 误差；错误；过失
misfortune,n. 不幸；灾祸，灾难
disaster,n. 灾难，灾祸；不幸
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退
"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
compulsive,adj. 强制的；强迫的
notify,vt. 通告，通知；公布
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租
"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
historical,adj. 历史的；史学的；基于史实的
historic,adj. 有历史意义的；历史上著名的
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害
"
ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
climate,n. 气候；风气；思潮；风土
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨
"
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
nominate,vt. 推荐；提名；任命；指定
infectious,adj. 传染的；传染性的；易传染的
contagious,adj. 感染性的；会蔓延的
unfold,"vi. 展开；显露
vt. 打开；呈现"
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
feminine,adj. 女性的；妇女（似）的；阴性的；娇柔的
female,"n. 女人；[动] 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
vibrate,"vt. 使振动；使颤动
vi. 振动；颤动；摇摆；踌躇"
shake,"n. 摇动；哆嗦
vt. 动摇；摇动；震动；握手
vi. 动摇；摇动；发抖"
war,"n. 战争，斗争；军事，战术；冲突，对抗，竞争
vi. 打仗，作战；对抗"
warfare,n. 战争；冲突
walk,"n. 步行，走；散步
vi. 走，步行；散步
vt. 散步；走过
"
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走"
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
try,"n. 尝试；努力；试验
vt. 试图，努力；试验；审判；考验
vi. 尝试；努力；试验
"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升
"
arise,"vi. 出现；上升；起立
"
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
disease,"n. 病，[医] 疾病；弊病
vt. 传染；使…有病"
illness,n. 病；疾病
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏
"
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
apt,"adj. 恰当的；有…倾向的；灵敏的
"
prone,"adj. 俯卧的；有…倾向的，易于…的
"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
suitable,adj. 适当的；相配的
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地
"
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；[总称]（经常性的）顾客
adj. （衣服等）定做的，定制的"
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
convention,n. 大会；[法] 惯例；[计] 约定；[法] 协定；习俗
crush,"n. 粉碎；迷恋；压榨；拥挤的人群
vt. 压碎；弄皱，变形；使…挤入
vi. 挤；被压碎"
clash,"n. 冲突，不协调；碰撞声，铿锵声
vt. 使碰撞作声
vi. 冲突，抵触；砰地相碰撞，发出铿锵声"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
creep,"n. 爬行；毛骨悚然的感觉；谄媚者
vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩"
crawl,"n. 爬行；养鱼池；匍匐而行
vt. 爬行；缓慢地行进
vi. 爬行；匍匐行进"
climb,"n. 爬；攀登
vi. 爬；攀登；上升
vt. 爬；攀登；上升"
mortal,"adj. 凡人的；致死的；终有一死的；不共戴天的
n. 人类，凡人
"
fatal,"adj. 致命的；重大的；毁灭性的；命中注定的
"
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
rock,"n. 岩石；摇滚乐；暗礁
vt. 摇动；使摇晃
vi. 摇动；摇晃
"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走
"
sway,"n. 影响；摇摆；统治
vt. 影响；统治；使摇动
vi. 影响；摇摆
"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往

"
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
boundary,n. 边界；范围；分界线
