abolish,vt. 废除，废止；取消，革除
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似
"
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的
"
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应
"
assent,"n. 同意；赞成
vi. 同意；赞成"
comply,vi. 遵守；顺从，遵从；答应
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的
"
immense,adj. 巨大的，广大的；无边无际的；非常好的
huge,"adj. 巨大的；庞大的；无限的
"
massive,adj. 大量的；巨大的，厚重的；魁伟的
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
journey,"n. 旅行；行程
vi. 旅行
"
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走
"
travel,"n. 旅行；游历；漫游
vt. 经过；在…旅行
vi. 旅行；行进；步行；交往"
soldier,"n. 军人；[昆] 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
veteran,"n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的"
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见
"
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活
"
fee,"n. 费用；酬金；小费
vt. 付费给……
"
deceive,v. 欺骗；行骗
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
mankind,n. 人类；男性
man,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位
"
idle,"adj. 闲置的；懒惰的；停顿的
vt. 虚度；使空转
vi. 无所事事；虚度；空转"
lazy,"adj. 懒惰的；懒洋洋的；怠惰的；慢吞吞的
"
faithful,"adj. 忠实的，忠诚的；如实的；准确可靠的
"
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒
"
reward,"n. [劳经] 报酬；报答；酬谢
vt. [劳经] 奖励；奖赏"
award,"n. 奖品；判决
vt. 授予；判定"
complement,"n. 补语；余角；补足物
vt. 补足，补助"
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
mutual,adj. 共同的；相互的，彼此的
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的
"
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
modest,"adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
perspective,"n. 观点；远景；透视图
adj. 透视的"
sturdy,"n. 羊晕倒病
adj. 坚定的；强健的；健全的
"
vigorous,adj. 有力的；精力充沛的
resist,"n. [助剂] 抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
product,n. 产品；结果；[数] 乘积；作品
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助
"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
requirement,n. 要求；必要条件；必需品
requisite,"n. 必需品
adj. 必备的，必不可少的；需要的"
furnish,vt. 提供；供应；装备
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
loyalty,n. 忠诚；忠心；忠实；忠于…感情
devotion,n. 献身，奉献；忠诚；热爱
hostage,n. 人质；抵押品
pawn,"n. 典当；抵押物；兵，卒；人质
vt. 当掉；以……担保"
hasty,"adj. 轻率的；匆忙的；草率的；懈怠的
[ 比较级 hastier 最高级 hastiest ]"
reckless,"adj. 鲁莽的，不顾后果的；粗心大意的
"
disabled,"adj. 残废的，有缺陷的
v. 使…失去能力（disable的过去分词）"
handicapped,"n. 残疾人；缺陷者
adj. 残废的；有生理缺陷的"
rhythm,n. 节奏；韵律
rhyme,"n. 韵律；韵脚；韵文；押韵词
vt. 使押韵；用韵诗表达；把…写作诗
vi. 押韵；作押韵诗"
shear,"n. [力] 切变；修剪；大剪刀
vi. 剪；剪切；修剪
vt. 剪；修剪；剥夺
"
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担
"
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品
"
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
brochure,"n. 手册，小册子
"
pamphlet,n. 小册子
credible,adj. 可靠的，可信的
credulous,adj. 轻信的；因轻信而产生的
comprehension,n. 理解；包含
understanding,"n. 谅解，理解；理解力；协议
v. 理解；明白（understand的ing形式）
adj. 了解的；聪明的；有理解力的"
evoke,vt. 引起，唤起；博得
summon,vt. 召唤；召集；鼓起；振作
conquest,"n. 征服，战胜；战利品
"
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
victory,"n. 胜利；成功；克服
"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
compound,"n. [化学] 化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
blend,"n. 混合；掺合物
vi. 混合；协调
vt. 混合"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
apparatus,n. 装置，设备；仪器；器官
instrument,n. 仪器；工具；乐器；手段；器械
device,n. 装置；策略；图案
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩
"
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达
"
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的
"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的
"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语
"
commentary,n. 评论；注释；评注；说明
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
single,"n. 一个；单打；单程票
adj. 单一的；单身的；单程的
vt. 选出
vi. 击出一垒安打"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
recreation,n. 娱乐；消遣；休养
amusement,n. 消遣，娱乐；乐趣
entertainment,n. 娱乐；消遣；款待
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
hoist,"n. 起重机；升起，吊起
vt. （用绳索，起重机等）使升起
vi. 升起；吊起
"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
mend,"vt. 修理，修补；改善；修改
vi. 改善，好转
n. 好转，改进；修补处"
repair,"n. 修理，修补；修补部位
vt. 修理；恢复；补救，纠正
vi. 修理；修复"
patch,"n. 眼罩；斑点；碎片；小块土地
vi. 打补丁
vt. 修补；解决；掩饰
"
obstacle,n. 障碍，干扰；妨害物
hindrance,n. 障碍；妨碍；妨害；阻碍物
obstruction,n. 障碍；阻碍；妨碍
tale,"n. 故事；传说；叙述；流言蜚语
"
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
anecdote,n. 轶事；奇闻；秘史
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗
"
fight,"n. 打架；战斗，斗志
vi. 打架；与…打仗，与…斗争；反对…提案"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述
"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
proclaim,vt. 宣告，公布；声明；表明；赞扬
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于"
similar,"n. 类似物
adj. 相似的"
additional,adj. 附加的，额外的
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
assign,"vt. 分配；指派；[计][数] 赋值
vi. 将财产过户（尤指过户给债权人）"
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
sentence,"n. [语][计] 句子，命题；宣判，判决
vt. 判决，宣判"
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争
"
slack,"n. 煤末；峡谷
adj. 松弛的；疏忽的；不流畅的
vt. 放松；使缓慢
adv. 马虎地；缓慢地
vi. 松懈；减弱
"
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射
"
undermine,vt. 破坏，渐渐破坏；挖掘地基
weaken,"vt. 减少；使变弱；使变淡
vi. 变弱；畏缩；变软弱"
ornament,"n. 装饰；[建][服装] 装饰物；教堂用品
vt. 装饰，修饰"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
seam,"n. 缝；接缝
vt. 缝合；接合；使留下伤痕
vi. 裂开；产生裂缝"
isolate,"n. [生物] 隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地
"
distinct,adj. 明显的；独特的；清楚的；有区别的
slaughter,"n. 屠宰，屠杀；杀戮；消灭
vt. 屠宰，屠杀；杀戮；使惨败
"
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败
"
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
shout,"n. 呼喊；呼叫
vi. 呼喊；喊叫；大声说
vt. 呼喊；大声说"
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作
"
imitation,"n. 模仿，仿造；仿制品
adj. 人造的，仿制的"
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱
"
route,"n. 路线；航线；通道
vt. 按某路线发送"
passage,"n. 一段（文章）；走廊；通路
"
authentic,adj. 真正的，真实的；可信的
real,"n. 现实；实数
adj. 实际的；真实的；实在的
adv. 真正地；确实地
"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
grief,n. 悲痛；忧伤；不幸
misery,"n. 痛苦，悲惨；不幸；苦恼；穷困
"
shrewd,"n. 精明（的人）；机灵（的人）
adj. 精明的；狡猾的；机灵的"
smart,"adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的
"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读
"
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过
"
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
vain,adj. 徒劳的；自负的；无结果的；无用的
arrogant,adj. 自大的，傲慢的
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
marsh,"n. 沼泽；湿地
adj. 沼泽的；生长在沼泽地的
"
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
deduction,n. 扣除，减除；推论；减除额
induction,n. [电磁] 感应；归纳法；感应现象；入门培训，入职仪式，就职；诱导
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
pistol,"n. 手枪；信号枪
vt. 用手枪射击
"
gun,"n. 枪支；枪状物；持枪歹徒
vt. 向…开枪；开大油门
vi. 用枪射击；加大油门快速前进
"
pact,n. 协定；公约；条约；契约
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
ridiculous,adj. 可笑的；荒谬的
vacant,"adj. 空虚的；空的；空缺的；空闲的；茫然的
"
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白
"
empty,"n. 空车；空的东西
adj. 空的；无意义的；无知的；徒劳的
vt. 使失去；使…成为空的
vi. 成为空的；流空"
naked,adj. 裸体的；无装饰的；无证据的；直率的
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸
"
bald,"adj. 秃顶的；光秃的；单调的；无装饰的
vi. 变秃
"
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇
"
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫
"
excessive,adj. 过多的，极度的；过分的
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi. [动] 作炫耀行为"
expose,vt. 揭露，揭发；使曝光；显示
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
crucial,adj. 重要的；决定性的；定局的；决断的
critical,adj. 鉴定的；[核] 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
vital,"adj. 至关重要的；生死攸关的；有活力的
"
subsidiary,"n. 子公司；辅助者
adj. 附属的；辅助的"
auxiliary,"n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的"
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的"
resource,n. 资源，财力；办法；智谋
source,"n. 来源；水源；原始资料
"
origin,n. 起源；原点；出身；开端
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍
"
restrict,vt. 限制；约束；限定
prohibit,vt. 阻止，禁止
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益
"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
vocation,n. 职业；天职；天命；神召
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
expectation,n. 期待；预期；指望
hope,"n. 希望；期望；信心
vi. 希望；期待；信赖
vt. 希望；期望
"
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
controversy,n. 争论；论战；辩论
argument,n. 论证；论据；争吵；内容提要
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的
"
preceding,"v. 在...之前（precede的ing形式）
adj. 在前的；前述的"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
available,adj. 可获得的；可购得的；可找到的；有空的
accessible,adj. 易接近的；可进入的；可理解的
attainable,adj. 可得到的；可达到的；可到达的
attractive,adj. 吸引人的；有魅力的；引人注目的
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
handsome,adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
pretty,"n. 有吸引力的事物（尤指饰品）；漂亮的人
adj. 漂亮的；可爱的；优美的
adv. 相当地；颇
"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；[工会、工党用语]（每年的）大会
vi. 举行或参加（系列）会议"
rally,"n. 集会；回复；公路赛车会
vt. 团结；集合；恢复健康、力量等
vi. 团结；重整；恢复；（网球等）连续对打
"
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
symposium,n. 讨论会，座谈会；专题论文集；酒宴，宴会
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去
"
seep,"n. 小泉；水陆两用的吉普车
vi. 漏；渗出"
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
shine,"vt. 照射，擦亮；把…的光投向；（口）通过擦拭使…变得有光泽或光
vi. 发出光；反射光，闪耀；出类拔萃，表现突出；露出；照耀；显露；出众
n. 光亮，光泽；好天气；擦亮；晴天；擦皮鞋；鬼把戏或诡计
"
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵
"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
contaminate,vt. 污染，弄脏
pollute,vt. 污染；玷污；败坏
detach,vt. 分离；派遣；使超然
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
rigorous,adj. 严格的，严厉的；严密的；严酷的
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
solidarity,n. 团结，团结一致
unity,"n. 团结；一致；联合；个体
"
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
percentage,n. 百分比；百分率，百分数
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
retaliate,"vi. 报复；回敬
vt. 报复"
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
clench,"vt. 紧握；确定；把…敲弯
vi. 握紧；钉牢
n. 紧抓；敲环脚
"
character,"n. 性格，品质；特性；角色；[计] 字符
vt. 印，刻；使具有特征
"
temperament,n. 气质，性情，性格；急躁
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
aspiring,"v. 立志（aspire的ing形式）
adj. 有抱负的；追求…的；高耸的"
spacious,adj. 宽敞的，广阔的；无边无际的
capacious,adj. 宽敞的；广阔的；容积大的
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关
"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
propel,vt. 推进；驱使；激励；驱策
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音
"
outspoken,adj. 坦率的，直言不讳的
attribute,"n. 属性；特质
vt. 归属；把…归于"
ascribe,vt. 归因于；归咎于
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
deprive,vt. 使丧失，剥夺
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新
"
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
junction,n. 连接，接合；交叉点；接合点
juncture,n. 接缝；连接；接合
abnormal,adj. 反常的，不规则的；变态的
unusual,adj. 不寻常的；与众不同的；不平常的
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
despise,vt. 轻视，鄙视
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
militant,"adj. 好战的
n. 富有战斗性的人；好斗者；激进分子"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
pay,"n. 工资，薪水；付款；报答
vt. 支付，付；偿还，补偿；给予
vi. 付款；偿还
adj. 收费的；需付费的"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
environment,n. 环境，外界
setting,"n. 环境；安装；布置；[天] 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
surroundings,n. 环境；周围的事物
magazine,n. 杂志；弹药库；胶卷盒
periodical,"n. 期刊；杂志
adj. [数] 周期的；定期的"
journal,n. 日报，杂志；日记；分类账
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
far,"n. 远方
adj. 远的；久远的
adv. 很；遥远地；久远地；到很远的距离；到很深的程度
"
legal,"adj. 法律的；合法的；法定的；依照法律的
"
lawful,adj. 合法的；法定的；法律许可的
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
criterion,n. （批评判断的）标准；准则；规范；准据
