abolish,vt. 废除，废止；取消，革除
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的
"
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
assignment,n. 分配；任务；作业；功课
task,"n. 工作，作业；任务
vt. 分派任务"
job,"n. 工作；职业
vt. 承包；代客买卖
vi. 做零工
"
factor,"n. 因素；要素；[物] 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商
"
element,"n. 元素；要素；原理；成分；自然环境
"
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
maintain,vt. 维持；继续；维修；主张；供养
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
age,"n. 年龄；时代；寿命，使用年限；阶段
vt. 使成熟；使变老，使上年纪
vi. 成熟；变老
"
era,"n. 时代；年代；纪元
"
epoch,n. [地质] 世；新纪元；新时代；时间上的一点
response,n. 响应；反应；回答
reply,"n. 回答；[法] 答辩
vt. 回答；答复
vi. 回答；[法] 答辩；回击"
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
adequate,adj. 充足的；适当的；胜任的
sufficient,adj. 足够的；充分的
enough,"n. 很多；充足
adj. 充足的
adv. 足够地，充足地
int. 够了！"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
final,"n. 决赛；期末考试；当日报纸的末版
adj. 最终的；决定性的；不可更改的"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点
"
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
youth,n. 青年；青春；年轻；青少年时期
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
eliminate,vt. 消除；排除
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
queer,"n. 同性恋者；怪人；伪造的货币
adj. 奇怪的；同性恋的；不舒服的；心智不平衡的
vt. 搞糟；使陷于不利地位"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物
"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
wholesome,adj. 健全的；有益健康的；合乎卫生的；审慎的
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出

"
healthy,"adj. 健康的，健全的；有益于健康的
"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围；[医] 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
snatch,"n. 抢夺；抓举；小量
vt. 夺得；抽空做；及时救助
vi. 抢走；很快接受"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
be contrary to,"v. 不同于
"
in and out,"na. 迂曲；忽隐忽现
"
prefer to,"un. 较喜欢；宁愿:
"
lack of,"v. 缺乏
"
by accident,"na. 偶然 (opp. on purpose)
"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
"
provide ... with,"v. 供给；供应
"
if only,"na. 只要；只要…就好了
"
rather than,"na. 而不
"
be obliged to,"na. 感谢；不得已而…
"
aim for,"un. 力求；以…为最终目的
"
give up,"na. 放弃；断绝；投降；自首
"
in theory, 理论上；从理论上看；在理论上
take measures,"na. 测定
"
depend on,"v. 依靠
"
at large,"na. 随便；拉杂地
"
give in,"na. 让步；屈服；投降；上交
"
be inclined to,"v. 倾向于；想要
"
concern for,"un. 关心
"
no longer,"na. 不再
"
go against,"na. 违背；不利于
"
show up,"na. 显眼；揭发；嘲笑；露面
"
only if,"conj. 只有当
"
renege on, 食言；违背；违约
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
"
keep ... from doing, 避免做；避免做某事；从某事中停下来
on behalf of,"na. 替；为…的利益
"
be confronted with,"na. 碰到(困难)
"
be unlikely to, 不可能；不太可能
stay away from,"un. 退避三舍；回避；不要到…去；停止和…交往
"
take the lead,"v. 率先
"
be considered as,"v. 被认为是
"
be puzzled by,无
by nature,"na. 生就；从本性上说
"
as a result,"adv. 结果
"
pay attention to,"na. 注意
"
be dominant over,无
get over,"na. 同“get across”
"
at the end of,"na. 在…末端；在…的结尾
"
as usual,"adv. 照常；照例
"
a bit of,"na. 一点儿
"
be peculiar to,"v. 限于
"
as for,"na. 至于
"
as to,"na. 〈正式〉至于；说到
"
derive from,"v. 来自；起源于
"
be generous to,无
sum up,"na. 〈口〉概括；总结
"
in contrast,"adv. 相反
"
die out,"na. 死绝
"
take one's stand,在…的位置；在…上站岗；站在…的立场；以…为根据
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
"
search for,"na. 寻找；寻求；探求
"
be resistant to, 抵抗的；抗拒；有抵抗力的
up in arms,"na. 武装反抗；武装起义；采取敌对态度
"
approve of,"na. 赞成
"
benefit from,"v. 从…得到好处
"
be similar to,"na. 像
"
subscribe to,"v. 同意；赞成；订阅；定期捐款
"
seek to, 试图；设法；力图
make no difference,"un. 在意；没关系；没有差别；无动于衷
"
add to,"na. 增加
"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
as if,"na. 彷佛；活像
"
as a result of,"na. (作)为…的结果
"
intend to,"打算(做)..., 想要(做)..."
trade with,"un. 从事贸易；与…做生意:
"
cast doubt on,"un. 令人对…置信不疑；令人不疑
"
lose faith in,"na. 对…失去信念
"
would rather,"na. 宁愿
"
anything but,"na. 决不是；除…外什么都
"
do harm to,"v. 损害
"
owe to,"v. 由于；把…归功于
"
be cautious about,无
refer to,"v. 查阅；提到
"
in terms of,"na. 依…；从…方面；用…特有的字眼
"
be applicable to,"v. 适用于；能应用
"
in turn,"na. 挨次
"
feel disappointed at,无
be disappointed at, 对…失望；对……感到失望；后应接指东西的词
set out,"n. 开始；出发；动身；准备
"
make up,"na. 弥补；起草；定；签订
"
sign on,"na. 签字聘用[就聘]；签字承认；作工作记录
"
prior to,"adj. 前于
"
exert influence on, 施加影响；对…施加影响；感化
take pride in,"na. 以…自豪；对…感到满意
"
suffer from, 患（某种病），受（某种病痛）折磨; 因…而受罚[苦，损]; 闹; 罹
conform to,"na. 遵照；顺应；遵守
"
stumble on,"un. 踌躇地转着；碰上
"
be obsessed with,"un. 昼夜萦绕在…心头；被…缠住；埋头研究
"
instead of,"prep. 代替；作为…的替换
"
stick to,"na. 忠于
"
in brief,"na. 简单地说
"
be conscious of,"na. 意识到
"
no less than,"prep. 多达
"
by all means,"na. 必定；千方百计；不惜一切；好的
"
on average, 平均；平均起来；通常
on the average,"na. 平均；一般说来
"
on an average,"na. 平均；一般说来
"
accuse of,"un. 控告
"
have nothing to do with,"na. 办完；和…断绝关系；已和…无关
"
fail to,"v. 未能；使…失望
"
in fact,"na. 事实上；总之
"
at odds with,"adj. 相抗争于
"
compete with,"v. 竞争
"
in favor of,"na. 赞成；有利于；付与
"
draw a conclusion,"na. 引出结论
"
insist on,"v. 坚持；强调
"
show sympathy for,无
once for all,"na. 只此一次；断然
"
be equipped with,"na. 安置着；身上穿着
"
put down to, 归因于；说…因而起；归因为
for fear of,"na. 因为怕；唯恐
"
for fear that,"na. 生怕
"
bring about,"na. 造成；带来；【航】(使船)回转
"
cling to,"v. 依附；坚持
"
persuade sb. into,劝某人做某事
ward off,"v. 挡开；架开
"
shut down,"na. 关闭；关拢(窗等)；停业；禁止
"
in addition,"na. 加之
"
be accessible to, 能接近；容易接近的；可进入的
be interested in,"v. 对…感兴趣
"
in trouble,"na. 为难；被捕；未婚怀孕
"
be vulnerable to, 易于患上；易受；对…无能为力
take efforts,无
play a role in,"v. 起作用于
"
impinge on,"v. 影响到；冲击；打击
"
out of date,"adj. 过时的；缺乏新信息的；陈腐的；失效的
"
result in,"na. 终于(失败)
"
for instance,"na. 例如
"
comply with,"v. 遵守
"
as a means of, 以资；作为…的方法；作为…的工具
be second to, 次于；仅次于；次於
for example,"na. 例如
"
such as,"un. 例如；像；象…这样；诸如…之类
"
prevent ... from doing,无
evolve from, 进化自；从……发展而成；由……进化而来
on the basis of,"na. 以…为基础
"
on the contrary,"na. 反之
"
slow down,"na. 闲下来；减缓；放慢速度；减速
"
result from,"v. 由于
"
be deprived of,"na. 失却
"
cope with,"v. 对付；应付
"
in consequence,"na. 因此
"
provide for,"v. 为…作准备
"
at stake,"na. 被赌着；在危险中；利害[生死]攸关
"
be satisfied with,"v. 满足于
"
split up,"na. (使)分裂；〔美俚〕吵架；同“split”
"
draw on,"na. 穿；依赖；靠；吸收
"
stress the importance of,无
so that,"conj. 因此；以便
"
regard as,"v. 当作
"
be accountable to,无
be entitled to, 有权；有资格；有权做
discontent with,无
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
by way of,"na. 当做；作出…的样子；经由；以便
"
be agreeable to,"v. 欣然同意
"
at risk,"un. 担风险
"
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
"
indifference to, 对……漠不关心；对……不关心；对…无动于衷
regardless of,"prep. 不管；不顾；不理会
"
be susceptible to,"na. 对…敏感
"
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
"
in a sense,"na. 在某种意义上；有一点儿
"
be worth doing,值得做……
in vain,"na. 无益地；轻慢地
"
be likely to, 可能；很可能；很有可能
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
"
trifle with,"un. 玩弄；心不在焉地做；摆弄:；戏弄:
"
for long,"na. 长久 longs and shorts 1. 诗〔尤指古希腊的和古拉丁的〕. 2. 【建筑】长短砌合
"
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
"
in a word,"na. “in a few words”的变体
"
doze off,"v. 打瞌睡
"
be parallel to,"v. 与…平行
"
be parallel with,"与...同时, 随着..., 与...比较, 与...相应, 与...并联"
so long as,"na. 只要；“as/so long as”的变体
"
as long as,"conj. 只要
"
be unprepared for,无
root in, 扎根于；来源于；起因于
on the whole,"na. 整体上说
"
owing to,"conj. 由于；因为
prep. 因为；由于
"
be subject to,"un. 给；降伏；受…支配；受…影响
"
at all,"na. 全然；究竟
"
be exposed to, 暴露于；面临；暴露在
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
"
in effect,"na. 实际上；总之；有效
"
with regard to,"na. 关于；对于；为了答复；“in/with regard to”的变体
"
adhere to,"v. 坚持；依附
"
as far as,"na. 远到；就；尽；至于
"
because of,"na. 因
"
point out,"na. 指出
"
filter out,"un. 〔物〕滤光；滤出；慢慢传出；听不进去
"
be willing to,"na. 乐意进行
"
lead up to,"na. 渐渐诱入；【牌戏】设法引出
"
fall asleep,"na. 入睡
"
be eager to,"v. 渴望
"
other than,"na. 与…不同；除了
"
cannot but, 不得不；禁不住；不能不
be dependent on,"na. 依靠
"
in order to,"na. 为了；从而；以便
"
look up to,"v. 尊敬；另眼看待；向…一举一动看齐
"
thirst for,"v. 非常想望
"
shut out,"na. 不让进来；遮得看不见；【棒球】不让得分
"
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
at all costs,"na. 无论如何
"
in particular,"na. 特别；一一
"
be biased against,"na. 对…抱有偏见
"
fold into,"v. 调入；拌入
"
take ... to extremes, 做得过多
be immune to,"对...有免疫力, 可避免..., 不受...的影响"
be reluctant to, 不愿意；不情愿；不愿做…的
in general,"na. 一般；大体上
"
now that,"na. 由于
"
keep down,"na. 压住；压服；【印】用小活字排印；缩减
"
by contrast,"un. 相比之下；作对比；与此相反
"
in contrast,"adv. 相反
"
make fun of,"na. 嘲弄
"
at length,"na. 最后；充分地
"
apply to,"v. 应用于
"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
"
blame on, 把责任推给；责怪；归罪于
by means of,"na. 以
"
run against,"v. 背叛
"
get rid of,"na. 除掉；摆脱；撵走
"
rest on,"na. 被支持在…上；(目光等)停留在…上
"
be regarded as, 被认为是；被当做是；视为
reliance on, 依赖；依靠；对……的依赖
arise from,"v. 从…而得的
"
check on,"na. 检查
"
take place,"na. 发生；举行
"
along with,"na. 与…一道；以外
"
nothing more than,"un. 只有；跟…迥然不同；只不过
"
call for,"na. 呼吁；主张；需要；接(某人)
"
in the wake of,"na. 在…后接踵而来；在后追随
"
tend to,"v. 倾向于；有助于
"
stick to,"na. 忠于
"
lay off,"na. 辞退；停止；暂停
"
carry on,"adj. (飞机乘客的行李)可随身携带的
n. (飞机乘客的)随身行李
"
scrape through,"na. 好容易完成；(考试)勉强及格；勉强对付过去；勉强通过
"
act on,"na. “Act upon”的变体
"
act upon,"v. 对…起作用
"
above all,"na. 最主要的；最重要的是
"
seem to,"v. 似乎
"
in line with,"na. 和…成一直线；〔美国〕和…一致
"
ignorance about,无
deal with,"na. 办理；对待；与…交涉；与…交易
"
access to, 接近；进入；通向…的入口
resort to,"na. 使用(武力)
"
wake up,"na. 同“wake”；叫醒；醒来；振作起来
"
on the other hand,"na. 从另一方面来说；在另一方面
"
step out of,"un. 闯进；脱掉
"
in face of,"v. 当面对
"
oppose to,"v. 反对；反抗
"
by chance,"na. 偶然
"
look for,"v. 寻找；探索；渴望；盼望
"
be concerned with,"na. 干与；关怀
"
be busy with,"v. 忙于
"
adapt to,"na. 使(自己行动)配合(同伴)
"
live up to,"na. 量…过日子；实行(主义等)；够得上；达到预期标准
"
thank sb. for sth., 感谢；为……感谢；就…而感谢
by occasion of, 由于；因为
engage with,"un. 与…交战；与…接洽
"
in sequence,"na. 挨次；顺次；逐一
"
fall in with,"na. “meet with”的变体
"
face up to,"na. 大胆面向；正面对付；同“face”
"
take pleasure in,"na. 高兴地；以…为乐；欣然
"
take a pleasure in,"na. 高兴地；以…为乐；欣然
"
exchange ... for ...,"un. 以…换:
"
be opposite to,"v. 在…对面
"
give credit to sb. for ...,无
give sb. credit for,"na. 把…贷给(某人)；把…归功于(某人)；认为当然有(某种性质等)
"
make an impression on sb., 给某人留下印象；给……印象；留下深刻的印象
leave an impression on sb.,无
be opposed to,"v. 反对；与…相对
"
in short supply,"na. 供应不足
"
come into use,"na. (某物)开始被使用
"
commit oneself to ...,"na. 委身于
"
accuse ... of ...,"un. 控告
"
be critical of, 批评的；爱挑毛病的；对……持批评态度
complain of,"v. 抱怨；叫屈
"
be short of, 缺少；缺乏；短缺
lean against,"v. 靠着
"
be worthy of, 值得；配得上；对得起
play with fire,"na. 轻举妄动
"
in no case,"na. 决不
"
pick up,"v. 拾起；探出；重新开始
"
be identified with,以…著名
be honest with,"na. 对…说老实话
"
be acquainted with,"na. 了解；与…相识
"
by no means,"na. 决不；并没有
"
remedy for, 补救；对…治疗法；药物
within reach of,"na. 在…附近
"
within one's reach,伸手可及
flesh out,"na. 充实；使…具体化
"
to date,"na. 至今
"
apologize to sb. for sth., 因某事向某人道歉
share with,"un. 合伙；合住；承担；跟…看法一致
"
no end of,"na. 非常；非常的
"
stick with, 坚持；继续支持；坚持做
in memory of,"na. 纪念…
"
give effect to,"na. 实施
"
break sb. of sth., 放弃；除去习性；分离
deride ... as,嘲笑为
seize on sth.,"na. 猛扑；袭击；利用；采用(提议)
"
seize upon sth.,"na. 猛扑；袭击；利用；采用(提议)
"
be intent on,"v. 对…一心一意
"
call ... in question,"na. 疑；非难；表示不服；要求…的证据
"
be supposed to do sth.,"na. …(在职务上)要；〈口〉不许
"
in behalf of,"na. 为…
"
agree on,"na. 对…意见一致
"
agree upon,"un. 赞成；达成协议的；商妥
"
allow for,"v. 考虑到
"
on equal terms,"na. 处于平等的地位；(与…)平等相处
"
in of sight,无
be in sight,"na. 看得见
"
out of sight,"adv. 无影无踪
"
be out of sight,"在视线外
看不见"
be sensitive to,"na. 对…敏感
"
distinguish between,"v. 分清
"
speak ill of,"na. 诽谤；说…的坏话
"
set aside,"na. 搁置；拨出；驳回
"
in decline,"un. 一落千丈；走向衰落
"
be on holiday, 在度假；在假期中；渡假
go on holiday,"v. 去渡假
"
feed on sth.,"na. 同“feed off ”；“live on”的变体
"
feed sb. on sth.,"na. 同“feed off ”；“live on”的变体
"
with all one's heart,"na. 诚心诚意
"
be aware of,"na. 知道
"
be convenient to,"v. 方便于
"
be convenient for,"v. 方便
"
blame sb. for sth., 因……责备；责怪；因…怪罪
strike into,"突然,开始;(突然)跑,逃;打,扎(进),忽然转入"
come into action,"na. 开战
"
in ignorance of,对……不知道
correspond to,"v. 符合
"
be at home, 在家；感到象在家一样舒适自在；呆在家里
feel at home,"na. 舒松；“be/feel/look at home”的变体
"
arrive on, 到达
in person,"na. 亲自；身体上；外貌上
"
keep one's word,"na. 守约；履行诺言；说话算话
"
take the side of, 站在…一边；支持某人；站在……边
consist of,"v. 由…合成
"
of one's own,"na. 自己的
"
come into effect,"na. 开始实施
"
go into force,(开始)实施(或实行)；(政府法令、法律、协议等)开始生效
in the way,"na. 在路上；妨碍
"
at intervals,"na. 时时；处处；偶尔
"
at ... intervals,"na. 时时；处处；偶尔
"
perform on, 演奏；表演；上演
perform ... on, 演奏；表演；上演
come into fashion,"na. 流行起来
"
at ease,"na. 自由自在；=stand at ease.
"
at one's ease,没有拘束的
enter into,"na. 入；动手；参加；缔结(协约等)
"
be eligible for, 有资格；对•••有资格；合格的
proceed with,"un. 开始；继续:
"
beyond the reach of,"un. 没办法；没有资格；绝对办不到的；超越…的范围
"
on one's honor, 以名誉担保
stem from,"v. 出于；基于
"
be content to do sth.,无
confess to,"v. 承认
"
in the absence of,"na. 无…时
"
run risk of,无
take risk of,无
in respect to,"na. 关于
"
with respect to,"na. 〈正式〉考虑到
"
owe ... to,"v. 由于；把…归功于
"
be in the habit of, 习惯于；有…习惯；有……的习惯
in pursuit of,"na. 寻求
"
come into power,"na. 掌权
"
in essence,"na. 本质上；大体上
"
in keeping with,"na. 和…一致
"
knock out,"na. 敲出；敲空；使屈服；使无用
"
strike sb. as sth.,无
exclude from, 把…排斥于…之外；把……排除在外；同上但是使用档案
in one's favor, 对…有利; 支持某人
intervene in,"v. 干涉
"
compensate for sth.,"v. 补偿；抵偿
"
compensate sb. for sth.,"v. 补偿；抵偿
"
go to great pains,"un. 叫…头痛；让…难过；采取一切办法
"
in the view of, 按…的意思；按……的意见；根据……的观点
in the eyes of,"na. 在…的心目中
"
in one's eyes,"na. 在…的心目中
"
on occasion,"na. 有时；遇必要时
"
be equal to,"na. 等于；胜任；赶得上；忍耐得住
"
drop out,"na. 退出；(因不满传统制度而)退出正常社会；落出；隐退
"
sort out,vt.& vi. 把…安排妥当; （从…中）区分出来，辨别出来; 分类; 整理; 整顿; 解决
bound for,"adj. 驶往…的
"
in the face of,"na. 不避；不管；〈英〉在…前面；面临
"
be preferable to,"v. 优于；胜过
"
come into sight,"v. 出现；看见
"
prevail over,"v. 胜过
"
emerge from,"v. 从…里露出
"
have an ear for,"v. 有欣赏…的能力
"
place trust in,无
put trust in,"对…有信心,信任…"
have trust in, 相信；对…有信心
be faithful to, 忠于；对……忠诚；忠诚于
in no way,"na. 决不
"
speak well of,"na. 称赞；“speak well for/of”的变体
"
be subject to,"un. 给；降伏；受…支配；受…影响
"
trust to, 依靠，依赖; 交给…（保管、办理等）
trust ... to,"v. 依靠；信赖
"
have words with sb.,"na. 和…争论
"
be out of use,不用了
distinguish ... from ..., 区别；区分；识别，辨别，辨认
