cause,"n. 原因；事业；目标
vt. 引起；使遭受"
financial,adj. 金融的；财政的，财务的
afford,"vt. 给予，提供；买得起
"
tuition,n. 学费；讲授
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的"
remit,"n. 移交的事物
vt. 宽恕；免除；减轻；传送；使恢复原状
vi. 汇款；缓和"
donation,n. 捐款，捐赠物；捐赠
noble cause, 崇高目的；伟大的事业；崇高的目的
Project Hope, 希望工程；世界健康基金会；美国世界健康基金会
offer financial aid,无
seek out,"na. 找出；寻求；想获得
"
pay for,"na. 付开销；赔偿(损失)；(为某种过失)付出代价；吃亏
"
on an annual basis, 年同比；按年度基准；以每年的基础
secondary education,"n. 中等教育
"
remit one's donation,无
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；[工会、工党用语]（每年的）大会
vi. 举行或参加（系列）会议"
globalization,n. 全球化
requirement,n. 要求；必要条件；必需品
familiarity,n. 熟悉，精通；亲密；随便
proficiency,n. 精通，熟练
interpersonal,adj. 人际的；人与人之间的
responsibility,n. 责任，职责；义务
preference,n. 偏爱，倾向；优先权
experienced,adj. 老练的，熟练的；富有经验的
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
enquiry,n. [计] 询问，[贸易] 询盘
encourage,vt. 鼓励，怂恿；激励；支持
postgraduate,"n. 研究生，研究所学生
adj. 大学毕业后的"
be needed for sth.,无
the theme of sth.,无
proficiency in sth., 熟练；精通；熟练精通
sense of responsibility, 责任感；责任心；责任意识
experienced in sth., 有经验；在……有经验；对…有经验
reception,n. 接待；接收；招待会；感受；反应
cultural,adj. 文化的；教养的
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
memory,"n. 记忆，记忆力；内存，[计] 存储器；回忆
"
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起
"
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导
"
beforehand,"adj. 提前的；预先准备好的
adv. 事先；预先"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关
"
thank sb. for sth., 感谢；为……感谢；就…而感谢
cultural exchange program,无
leave a deep impression upon sb.,无
mention doing sth.,无
be warmly welcomed,无
best regards,"un. 最良好的问候
"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
factor,"n. 因素；要素；[物] 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商
"
recommendation,n. 推荐；建议；推荐信
fiction,n. 小说；虚构，编造；谎言
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌
"
manager,n. 经理；管理人员
vivid,adj. 生动的；鲜明的；鲜艳的
description,n. 描述，描写；类型；说明书
incident,"n. 事件，事变；插曲
adj. [光] 入射的；附带的；易发生的，伴随而来的"
recommend sth. to sb., 交付；向…推荐；把…推荐给某人
as follows,"na. 如下；以下
"
tell sb. about sth.,把某事告诉某人
make a bet, 打赌；打赌看谁先背下这篇文章；来场打赌
travel around the world,"na. 作环球旅行
"
look forward to,"na. 盼望
"
union,n. 联盟，协会；工会；联合
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
heartfelt,adj. 衷心的；真诚的；真心真意的
prestigious,adj. 有名望的；享有声望的
abundant,adj. 丰富的；充裕的；盛产
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
hectic,"n. 脸红；患肺结核
adj. 兴奋的，狂热的；脸上发红；肺病的；忙碌的"
extra-curricular,adj. 课外的
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
ample,"adj. 丰富的；足够的；宽敞的
"
esteemed,"adj. 受人尊敬的
v. 尊敬；认为（esteem的过去分词）"
worthwhile,adj. 值得做的，值得花时间的
enhance,vt. 提高；加强；增加
on behalf of,"na. 替；为…的利益
"
Students' Union, 学生会； 学生活动中心（大楼）
extend welcome,无
offer suggestions,无
in the first place,"na. 首先；第一
"
be bound by, 由什么注定；受…约束；由…联系起来
be prepared for sth.,"na. 准备着
"
in the second place,"na. 第二(点)；其次
"
in spite of,"na. spite of 不管；〔古语〕无视
"
provide opportunities to do sth.,无
all in all,"na. 全部；完全；第一
"
electronic,"adj. 电子的
n. 电子电路；电子器件"
battery,"n. [电] 电池，蓄电池
n. [法]殴打
n. [军]炮台，炮位"
recharge,"vt. 再充电；再袭击；再控告
n. 再袭击；再装填
vi. 再袭击"
charger,n. 充电器；军马；袭击者；委托者；控诉者
personally,adv. 亲自地；当面；个别地；就自己而言
unacceptable,adj. 不能接受的；不受欢迎的
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
online store, 网上商店；在线商店；网店
to begin with,"na. 首先；本来〔插入语〕
"
in addition,"na. 加之
"
a full refund, 全额退款；全额退费；个额退款
talent,n. 才能；天才；天资
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
committee,n. 委员会
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决
"
core,"n. 核心；要点；果心；[计] 磁心
vt. 挖...的核
"
auditorium,n. 礼堂，会堂；观众席
competitor,n. 竞争者，对手
enlightening,"adj. 使人领悟的；有启发作用的
v. 启蒙；通知（enlighten的ing形式）"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语
"
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
knowledgeable,adj. 知识渊博的，有知识的；有见识的；聪明的
specifically,adv. 特别地；明确地
handmade,adj. 手工的；手制的
RSVP,abbr. 请回复 Répondez s'il vous plaît.（法语）
on behalf of,"na. 替；为…的利益
"
enlightening comments,无
at most,"na. 至多
"
handmade presents,无
extremely,adv. 非常，极其；极端地
traditionally,adv. 传统上；习惯上；传说上
harmonious,adj. 和谐的，和睦的；协调的；悦耳的
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的
"
statement,n. 声明；陈述，叙述；报表，清单
ideology,n. 意识形态；思想意识；观念学
refinement,n. 精制；文雅；[化工][油气][冶] 提纯
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
enlightenment,n. 启迪；启蒙运动；教化
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
accept one's invitation,无
give a presentation to,无
a host of,"det. 很多
"
key points, 关键点，要点(key point的复数)
first of all,"na. 第一
"
compared with,"na. 和…比起来
"
pay attention to,"na. 注意
"
in addition,"na. 加之
"
lay emphasis upon,"注重,着重于,强调,加强(语气),重读"
lay emphasis on,"na. 着重在；加强(语气)
"
logical reasoning, 逻辑推理；逻辑推理法；逻辑推论
beyond words,"un. 明理人不用细说；难以形容
"
look forward to,"na. 盼望
"
hear from,"na. 得到…的消息
"
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
infection,n. 感染；传染；影响；传染病
departure,n. 离开；出发；违背
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
inconvenience,"n. 不便；麻烦
vt. 麻烦；打扰"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
look forward to sth.,"na. 盼望
"
look forward to doing sth.,无
be diagnosed with sth., 被诊断为；被诊断出；被诊断为什么病
apologize for sth.,"v. 为…道歉
"
inform sb. of sth.,"v. 通知关于
"
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的；[药] 具有特效的"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
blessing,"n. 祝福；赐福；祷告
v. 使幸福（bless的ing形式）；使神圣化；为…祈神赐福
"
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
mobility,n. 移动性；机动性；[电子] 迁移率
maintain,vt. 维持；继续；维修；主张；供养
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
[ 过去式 contributed 过去分词 contributed 现在分词 contributing ]"
congestion,n. 拥挤；拥塞；淤血
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销
"
frustration,n. 挫折
arrangement,n. 布置；整理；准备
recreational,adj. 娱乐的，消遣的；休养的
private cars, 私家车；私人汽车；私人小汽车
strongly object to sth.,无
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
"
traffic congestion,"na. 交通拥塞
"
traffic jams,"na. 交通拥挤
"
cancel out,"v. 相约；相消；抵消
"
thrift,"n. 节俭；节约；[植] 海石竹
"
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
naturally,"adv. 自然地
自然而然地
轻而易举
天生地
大方地"
expenditure,n. 支出，花费；经费，消费额
consumer,n. 消费者；用户，顾客
take ... for granted,"v. 想当然
"
the apple in one's eyes,无
pocket money,"n. 零用钱；常用于英式英语
"
from my point of view, 在我看来；依我看；我的看法是
daily necessities,"n. 日用品
"
regardless of,"prep. 不管；不顾；不理会
"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的
"
assistance,n. 援助，帮助；辅助设备
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金
"
hence,adv. 因此；今后
priority,n. 优先；优先权；[数] 优先次序；优先考虑的事
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
exactly,adv. 恰好地；正是；精确地；正确地
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
repayment,n. 偿还；[金融] 付还
anticipation,n. 希望；预感；先发制人；预支
major in,"v. 主修
"
cut back on, 缩减；减少；削减，缩减
related to,"prep. 关于
"
interest rate,"n. 利率
"
in anticipation of,"na. 期待
"
heartfelt,adj. 衷心的；真诚的；真心真意的
gratitude,n. 感谢（的心情）；感激
assistance,n. 援助，帮助；辅助设备
consequence,n. 结果；重要性；推论
quick-witted,adj. 机智灵敏的
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
satisfactory,adj. 满意的；符合要求的；赎罪的
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
refer to,"v. 查阅；提到
"
the other day,"na. 上回
"
knock off,"na. 敲落；中止(工作)；即席作(诗文等)；减低(价格)
"
first aid,"n. 急救
"
in mounting numbers,无
feedback,n. 反馈；成果，资料；回复
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
informative,adj. 教育性的，有益的；情报的；见闻广博的
inspiring,"v. 鼓舞；激发；使感悟（inspire的ing形式）
adj. 鼓舞人心的；灌输的；启发灵感的"
memorable,adj. 显著的，难忘的；值得纪念的
handout,n. 散发材料（免费发给的新闻通报）；上课老师发的印刷品；文字资料 	（会议上分发的）；施舍物
deepen,"vt. 使加深；使强烈；使低沉
vi. 变深；变低沉"
in general,"na. 一般；大体上
"
provide sb. with sth.,"v. 供给；供应
"
take down,"na. 扯下；卷起；记下；卸下
"
would like to,"v. 将乐意
"
look forward to,"na. 盼望
"
severely,adv. 严重地；严格地，严厉地；纯朴地
satisfactory,adj. 满意的；符合要求的；赎罪的
therefore,adv. 因此；所以
punctuality,n. 严守时间；正确；规矩
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理
"
stewardess,n. 女管家；女干事；女服务员
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
improvement,n. 改进，改善；提高
draw one's attention to sth.,无
in the hope that,"na. “in hopes of”的变体
"
as we all know, 众所周知；我们都知道；大家都知道
be essential to,"v. 对…必不可少
"
from time to time,"na. 时时
"
take sth. into consideration,"v. 顾及
"
as soon as possible,"na. 尽快
"
at the same time,"na. 同时；另一方面；与此同时
"
prestigious,adj. 有名望的；享有声望的
celebrity,n. 名人；名声
Confucius,n. 孔子（中国哲学家，教育家）
thinker,n. 思想家；思想者
educator,n. 教育家；教育工作者；教师
founder,"n. 创始人；建立者；翻沙工
vt. 破坏；使摔倒；垮掉
vi. 失败；沉没；倒塌；变跛"
Confucianism,n. 孔子学说；儒家思想
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
sage,"n. 圣人；贤人；哲人
adj. 明智的；贤明的；审慎的
"
disciple,n. 门徒，信徒；弟子
enduring,"adj. 持久的；能忍受的
v. 忍耐（endure的ing形式）"
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
politician,n. 政治家，政客
scholar,n. 学者；奖学金获得者
long-standing,adj. 长期存在的；存在已久的
inner,"n. 内部
adj. 内部的；内心的；精神的"
Confucian,"n. 儒家，儒家学者；孔子的门徒
adj. 孔子的，儒家的；儒家学说的"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
the Spring and Autumn Period, 春秋时期；春秋时代；我国古代名
The Analects, 论语；论语集；品味国学
be recorded by,无
thought on Heaven and people,无
not only ... but also ..., 不仅……而且；不但而且；两个不仅……而且
unfortunately,adv. 不幸地
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
infection,n. 感染；传染；影响；传染病
surgery,n. 外科；外科手术；手术室；诊疗室
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
inconvenience,"n. 不便；麻烦
vt. 麻烦；打扰"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
meet with sb.,"na. 碰见；遭遇；偶然发现；达到
"
be diagnosed with, 被诊断为；被诊断出；被诊断为什么病
ear infection, 耳朵感染；耳部感染；耳炎
on the same day as ...,无
make the interview,无
postpone the interview,无
apologize for sth.,"v. 为…道歉
"
look forward to doing sth.,无
hear from sb.,"na. 得到…的消息
"
be sorry for sth.,"对...感到懊悔, 对...感到遗憾, 为...感到惋惜, 对...感到怜悯"
excuse sb. for doing sth.,无
inform sb. of sth.,"v. 通知关于
"
cordially,adv. 诚挚地，诚恳地；友善地
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
available,adj. 可获得的；可购得的；可找到的；有空的
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
on behalf of,"na. 替；为…的利益
"
be interested in,"v. 对…感兴趣
"
look forward to,"na. 盼望
"
seriously,adv. 认真地；严重地，严肃地
committee,n. 委员会
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献
"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
sufficient,adj. 足够的；充分的
imperative,"n. 必要的事；命令；需要；规则；[语]祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；[语]祈使的"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
generously,adv. 慷慨地；宽大地；丰盛地
specialized medical treatment,无
on campus,"na. 在校内
"
set up,"na. 建立；创立；发起；开办
"
be able to,"v. 能够
"
platform,n. 平台；月台，站台；坛；讲台
demonstrate,"vt. 证明；展示；论证
vi. 示威"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行
"
extra-curricular,adj. 课外的
multiple,"adj. 多重的；多样的；许多的
n. 倍数；[电] 并联"
participation,n. 参与；分享；参股
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
interpersonal,adj. 人际的；人与人之间的
proficiency,n. 精通，熟练
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制
"
enable,vt. 使能够，使成为可能；授予权利或方法
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动
"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人
"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
deadline,n. 截止期限，最后期限
serve as,"v. 用作；充当
"
develop a range of skills,无
be involved in,"na. 被包入；被卷入漩涡
"
a variety of,"det. 种种；形形色色
"
musical dramas,"音乐戏剧
音乐话剧
音乐表演"
group discussions, 分组讨论；团体讨论；小组座谈法
Oscar-winning movies,无
take part in,"na. 参加；贡献
"
in multiple regards,无
sense of responsibility, 责任感；责任心；责任意识
develop interpersonal relations,无
level of proficiency,无
a good command of English,无
enable sb. to do sth., 使某人能做某事；进行作战
get an edge over sb.,〈俚〉胜过某人;〈美〉怀恨某人
a written application,无
attraction,n. 吸引，吸引力；引力；吸引人的事物
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
emotional,adj. 情绪的；易激动的；感动人的
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关
"
sublime,"n. 崇高；顶点
adj. 庄严的；令人崇敬的；极端的；超群的
vt. 使…纯化；使…升华；使…变高尚
vi. 升华；纯化；变高尚"
ethnicity,n. 种族划分
victim,n. 受害人；牺牲品；牺牲者
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
needy,"adj. 贫困的；贫穷的；生活艰苦的
"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤"
as a matter of fact,"na. 事实上；事实是
"
regard sth. as sth.,"v. 当作
"
take an example to ...,无
respond to sth.,"v. 响应
"
all over the country, 遍及全国；全国各地；整个国家
hesitate to do sth.,无
not hesitate to do sth.,无
be it money or goods,无
with no thought of gain or reward,无
be ready to do sth., 准备做某事；准备好做某事；为做某事做好了准备
give a helping hand to sb.,无
be in trouble,"un. 自讨苦吃；出事
"
complete strangers,无
make the world a better place,无
as the picture shows,无
depict,vt. 描述；描画
accessory,"n. 配件；附件；[法] 从犯
adj. 副的；同谋的；附属的"
undoubtedly,adv. 确实地，毋庸置疑的
convey,vt. 传达；运输；让与
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
mysterious,adj. 神秘的；不可思议的；难解的
indicate,vt. 表明；指出；预示；象征
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的；[数] 唯一的，独一无二的
"
worldwide,"adj. 全世界的
adv. 在世界各地"
globalization,n. 全球化
irresistible,adj. 不可抵抗的；不能压制的；极为诱人的
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
priceless,"n. 非卖品
adj. 无价的；极贵重的；非常有趣的"
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
internationalize,vt. 使国际化；置于国际管理下
controversial,adj. 有争议的；有争论的
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
perspective,"n. 观点；远景；透视图
adj. 透视的"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
confront,vt. 面对；遭遇；比较
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
multidimensional,adj. [数] 多维的；多面的
vigorous,adj. 有力的；精力充沛的
with a sweet smile on one's face,无
be characteristic of,"na. …所独有的特征
"
a certain Chinese minority group,无
oriental charm,无
go far beyond,无
cultural implication, 文化内涵；文化蕴涵；文化意蕴
be attracted to sth., 被……所吸引；被吸引到；对……有吸引力的
to some extent,"na. 在某种程度上
"
economic and cultural exchange,无
at first sight,"na. 乍看；一见就；乍看起来
"
in the long run,"na. 归根到底；“in the long run/term”的变体
"
be confronted with,"na. 碰到(困难)
"
be sensible enough to do sth.,无
absorb its virtues and to resist its dark side,无
destiny,"n. 命运，定数，天命
"
circumstance,n. 环境，情况；事件；境遇
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难
"
expose,vt. 揭露，揭发；使曝光；显示
wither,"vi. 枯萎；凋谢；衰弱
vt. 使凋谢；使畏缩；使衰弱
"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
symbolic,adj. 象征的；符号的；使用符号的
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的；[药] 具有特效的"
epitomize,vt. 摘要；概括；成为…的缩影
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用
"
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
competitive,adj. 竞争的；比赛的；求胜心切的
in full bloom,"na. (花)盛开；充分发挥
"
shelter ... from ...,"v. 躲；躲避；托庇
"
on the contrary,"na. 反之
"
take ... seriously,"na. 重视；认真(想)；当真
"
in the face of,"na. 不避；不管；〈英〉在…前面；面临
"
derive ... from ...,"v. 来自；起源于
"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
phenomenon,n. 现象；奇迹；杰出的人才
pitiful,adj. 可怜的，令人同情的
unjust,adj. 不公平的，不公正的；非正义的
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
indignation,n. 愤慨；愤怒；义愤
virtue,"n. 美德；优点；贞操；功效
"
reiterate,vt. 重申；反复地做
indebted,"adj. 负债的；感激的；受惠的
v. 使负债；使受恩惠（indebt的过去分词）"
prick,"n. 刺，扎；刺痛，刺伤；阴茎；锥
vt. 刺，戳；刺伤，刺痛；竖起
vi. 刺；竖起
adj. 竖起的"
take care of,"na. 照看；处理；清除
"
filial piety,"na. 孝道；孝顺
"
try every means to do sth.,无
look after,"na. 照看；照顾；看管；对…负责
"
bear in mind,"na. 记住；铭记不忘；注意
"
live up to,"na. 量…过日子；实行(主义等)；够得上；达到预期标准
"
vividly,adv. 生动地；强烈地
superstar,n. 超级明星，巨星；超级星体
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
popularity,n. 普及，流行；名气；受大众欢迎
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
appear,vi. 出现；显得；似乎；出庭；登场
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
indicate,vt. 表明；指出；预示；象征
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
chic,"n. 时髦；别致的款式
adj. 别致的
"
imitate,vt. 模仿，仿效；仿造，仿制
undoubtedly,adv. 确实地，毋庸置疑的
subtly,adv. 精细地；巧妙地；敏锐地
phenomenon,n. 现象；奇迹；杰出的人才
prevalent,adj. 流行的；普遍的，广传的
idolize,"vt. 极端崇拜；把...当偶像崇拜
vi. 崇拜偶像"
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
appearance,n. 外貌，外观；出现，露面
unparalleled,adj. 无比的；无双的；空前未有的
passionately,adv. 热情地；强烈地；激昂地
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕
"
likewise,adv. 同样地；也
provoke,vt. 驱使；激怒；煽动；惹起
idolatry,n. 偶像崇拜；盲目崇拜；邪神崇拜
thought-provoking,adj. 发人深省的；引起思考的
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
unreasonably,adv. 不合理地
obsession,n. 痴迷；困扰；[内科][心理] 强迫观念
endanger,vt. 危及；使遭到危险
efficiency,n. 效率；效能；功效
accordingly,adv. 因此，于是；相应地；照著
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
enjoy a striking popularity,无
chic style, 新潮款式；时髦别致的
