a bunch of,"det. 一束
on the west coast of some country,无
on the contrary,"na. 反之
"
on the earth, 在地球上；在地上；地球上的第一代动物
on the edge of,"na. 快要
"
on the left, 在左边；在左侧；在右边
on the other side,"na. 反对方面的；在对面
"
on the radio, 通过收音机；通过广播；通过无线电广播
on the right, 在右边；在右侧；在右面
on the sands,无
on the two sides,无
on the whole,"na. 整体上说
"
on time,"na. 按时；及时
"
once a while, 偶尔；有时
once again,"na. 一再；再一次；“once again/more”的变体
"
once in a while,偶尔；有时（等于every once in a while）
once more,"na. 再一次；“once again/more”的变体
"
once upon a time,"na. 从前；很久很久以前；古时候
"
one after another,"na. 一个又一个地；陆续；相继
"
one and a half years, 一年半；一年半的表达可以是
one another,"pron. 互相
"
one such ...,无
one's attitude to sth.,无
one's attitude towards sth.,无
one-sided view,偏见
operate on sb.,"v. 对…施行手术；用…开动
"
opposite direction,"un. 相反方向；对向
"
or rather,"na. (或者)说得更正确点
"
ought to have done,无
out of breath,"na. 大喘气
"
out of one's reach,无
out of order,"na. 杂乱无章；不合规则；情况反常；有故障
"
out of the reach of sb.,为； 超出 ... 的范围
over and over again,"na. 翻来覆去
"
owe one's thanks to sb.,无
owe sb. sth.,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱
"
owe sth. to sb.,"v. 由于；把…归功于
"
owe success to sb.,无
pass away,"na. 消失；Vi. 经过；去；终止
"
pass down,"un. 过；一闪即逝；下达
"
pass on,"na. “pass away”的变体；递；传达；通过
"
pass on a message to sb.,无
pay a visit to,"v. 访问；参观
"
pay attention to,"na. 注意
"
pay special attention to,vt.特别注意
pay little attention to,无
pay much attention to,无
pay back the money,无
pay money for sth.,无
pay off the money,无
pay off the debt,无
pay one's way,"na. 作到不负债；不借债过日子
"
permit doing,无
permit sb. to do,无
persist in,"v. 坚持
"
personal affairs,"na. 私事
"
persuade sb. into doing,无
persuade sb. out of doing,无
persuade sb. to do,无
persuade sb. not to do,无
pick on,"na. 与…为难；不断责骂；挑中
"
pick out,"na. 挑选；掘出；闻出；领会
"
pick up,"v. 拾起；探出；重新开始
"
plan a bicycle trip,无
plan to do, 计划做某事；打算做；计划干某事
play a joke with sb.,无
play a part in,"v. 贡献力量；起…作用
"
play a trick on sb.,"na. 跟(某人)开玩笑；欺骗
"
play against sb., 对赛；同……比赛；与……比赛
play on words,"na. 说俏皮话；说模棱两可的话；说双关语
"
play the part of,"v. 扮演
"
plenty of,"na. 很多的
"
pocket money,"n. 零用钱；常用于英式英语
"
point at,"v. 指向
"
point of view,"n. 观点；态度；意见；看法
"
point out,"na. 指出
"
point to,"v. 指向；针对
"
pour in,"v. 蜂拥而来
"
power failure,"un. 停电；断电；电源故障；电力故障
"
practise sth.,"vi. 练习，实践；实施，实行；从事
vt. 练习，实践；实施，实行"
practise doing, 练习做某事；联系做某事；练习干某事
prefer doing ... to doing ...,无
prefer sb. to do, 更喜欢做某事；宁愿做某事；宁可做某事
prefer sth. to sth.,"un. 较喜欢；宁愿:
"
prefer to do, 更喜欢做某事；宁愿做某事；宁可做某事
prefer to do ... rather than do ...,无
pretend to do, 假装做某事；假装干；假装去做某事
prevent ... from doing sth.,无
promise to do sth., 答应做某事；承诺做某事；许诺做某事
promise sb. to do sth., 答应做某事；承诺做某事；许诺做某事
protect ... from ..., 保护；保护……免受；不受…之害
prove sb. to be,"v. 证实
"
provide sb. with sth.,"v. 供给；供应
"
provide sth. to sb., 提供给
push over,"na. 推倒
"
put a tax on sth.,无
put aside,"na. “set aside”的变体
"
put away,"v. 把…收起来；储存
"
put down,"na. 平定；贬低(的话)；(飞机的)降落
"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
put off,"na. 延期；辩解
"
put on,"na. 假话
"
put on airs,"v. 装腔作势；端架子
"
put on performances,无
put on weight,"v. 长肉；发胖；发福；体重增加
"
put one's heart into, 致力于某事；全神贯注于；全心全意投入
put out the fire,"un. 灭火
"
put ... into practice,"na. 实行
"
put ... in practice,"na. 实行
"
put sb. in prison, 关进监狱；把……投入监狱；关押
put sb. into prison, 关进监狱；把……投进监狱；使……坐牢
put through,"na. 经受；测试；试验；使…通过
"
put up,提供；建造；举起；提高；推举，提名；供给…住宿；直接行动
put up with,"na. 忍住
"
quantities of, 大量的；大批；其后谓语用复数
quite a few,"na. 很多；许多；相当多
"
raise a cheer,无
raise a question, 提出问题；提问；提出一个问题
range from ... to ..., 范围从到；从……到……的范围；在……中变化
reach an agreement, 达成协议；达成一致；达成共识
read between the lines,"na. 体会出字里行间之意；看出言外之意
"
read for sb., 攻读；替某人读；为…阅读
read one's thoughts,无
read through,"na. (从头到尾)读完
"
receive degree,无
receive one's doctor's degree,无
reduce ... to ..., 下降至；减少到；使处于，使成为
refer to,"v. 查阅；提到
"
refer to ... as,"v. 提交；归类；称谓
"
regard ... as,"v. 当作
"
regret doing, 后悔做过某事；后悔干了某事；后悔做了某事
regret to do,无
rely on sb.,"v. 依靠；信赖
"
remain in business,无
remember doing, 记得做过某事；记得曾经做过某事；记得曾做过某事
remember to do, 记得去做某事；记得要去做某事；记住去做某事
remind sb. of,"v. 提醒
"
remind sb. that, 从句
reply to,"v. 答复；回答
"
report sth. to sb., 到…报到，到…去（见某人）; 向…汇报[报告]
require to do sth.,无
result from,"v. 由于
"
result in,"na. 终于(失败)
"
return sth. to sb.,"v. 回到；返回；还给；降到
"
return to,"v. 回到；返回；还给；降到
"
return to normal,"un. 恢复正常
"
right away,"na. 立刻
"
right now,"na. 目前；方才
"
ring back,"v. 回电话
"
ring off,"na. 挂断电话；〔美国〕停止说话；静默
"
rob sb. of sth.,"v. 抢走
"
rot away,"na. “rot”的变体；“rot off”的变体
"
round the clock,"na. 昼夜不停；整天整夜；昼夜不停地
"
run about,"v. 跑来跑去
"
run around,"v. 到处跑
"
run at a speed of ...,无
run at top speed,无
run in,"na. 跑进；(火车)进站；流入；注入
"
run off,"na. 逃走；流出；(火车等)出轨；越轨
"
run out,"na. 耗尽；用光；过有效期；失效
"
run out of sth.,"na. 用光…
"
run short,"na. 用完；缺乏
"
rush hour,"n. (上,下班的)高峰期
"
safe and sound,"na. 平安无恙
"
satisfy one's needs,无
satisfy one's demands,无
satisfy one's requirements,无
save sth. for,"v. 除了…而外；例外
"
say hello to sb., 向……问好；向某人问好；打招呼
say to oneself,心里想到
search for,"na. 寻找；寻求；探求
"
search ... for ...,"na. 寻找；寻求；探求
"
see around, 看见什么在附近；回头见；参观
see off,"na. 送行；送别；告别；赶走
"
seek for,"na. 求；寻求；探究
"
seek the sun,无
self-trust,n. 自信，自恃
sell well,"na. 易于销售
"
send away,"na. 撵走；开除；解雇；把…送到远处
"
send back,"na. 送回
"
send for,"na. 派人去叫[请]；遣人去拿；乞求
"
send off,"na. 寄出；发出；送走；打发
"
send out,"na. “send forth”的变体
"
send up,"na. 弄上去；使上升；提出(报告等)；传递(球等)
"
sentence sb. to death, 判死刑；被判死刑；判处…死刑
separate ... from ...,"把...和...分开, 把...和...区分开, 使...从...离析"
set a good example to sb., 为……树立好榜样；给…树立了好榜样；为……树立榜样
set about doing, 着手做某事；开始做；着手干
set aside,"na. 搁置；拨出；驳回
"
set fire to sth.,"na. 点燃；放火
"
set in,"na. 固定；停当；涨潮；进来
"
set off for, 出发；出发去；动身前往
set out for, 动身到某地；出发前往；出发去
set out to do, 着手做；着手做某事；开始做
set phrases, 成语；固定短语；固定词组
set sb. free,"na. 释放；【化】使游离
"
set up,"na. 建立；创立；发起；开办
"
set up a record,无
settle down,"na. 定居；成家；移居；平静下来
"
settle oneself,"安顿下来,定居;卧倒,躺下"
settle the problem,无
shake hands with sb., 与…握手；与某人握手；和……握手
share ... with sb.,"un. 合伙；合住；承担；跟…看法一致
"
shift round the clock,无
shock the whole world,无
shoot at,"na. 力争；切望
"
should have done, 本应该做；表应该做而未做；原本该做但是没做
shout at sb., 对……大喊；对…大声叫嚷；冲嚷嚷
shout to sb., 呼唤；对某人大叫；向…喊叫
show off,"na. 卖弄；〈贬〉自以为是；趾高气扬；炫耀
"
show one's respect to sb.,无
show sb. around,"v. 带…参观
"
since then,"na. 以后；从此一直
"
sing high praise for,"为…高唱赞歌,歌颂,赞颂…"
slip out,"un. 穿上；通过；伸到；一溜烟走出
"
smooth away,"na. 排除；调停；粉饰
"
so as to,"na. (= in order to) 以便；为使
"
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
"
"So far as I know, ...", 据我所知；就我所知；据偶所知
"So far as I see, ...",无
so that,"conj. 因此；以便
"
so ... that ...,"所以,因而"
solve the problem, 解决问题；解决问题难者；解决难题
some time,"na. 早晚；一段时间
"
some times, 几次；好几次；数次
someone else's,无
someone else's book,无
something as follows,无
sooner or later,"na. 迟早；早晚
"
speak highly of sb.,"na. 称赞；赞扬
"
speak in a high voice,无
speak in a low voice,无
speed up,"na. 加快(机器等的)速度；使加紧做
"
spend time in doing,无
spend time on sth.,无
spit out,"na. 同“spit”
"
stand for,"na. 〈口〉忍耐；忍受；主张；拥护
"
stand on end,"v. 竖立起来
"
stand still,"na. 站住；搁置不动
"
stare at,"na. 瞪着看
"
start a fire, 点火；生火；引起火灾
start doing, 开始做某事；开始做某事，两者无区别；都可以表示开始做某事
start for,"na. 动身
"
start to do, 开始做某事；都可以表示开始做某事；开始做某事，两者无区别
stay silent,无
stay still,"v. 静止不动
"
stay up,"na. 不去睡觉；不沉
"
step by step,"na. 一步一步；切切实实
"
step into,"v. 走进
"
step onto, 踏上
sth. cost sb. some money,无
sth. happen to sb.,"v. 发生于
"
sth. last some time,无
stick in, 坚持; 把…放入…; 将…刺入…; 把某物贴在…内
stick to,"na. 忠于
"
stop doing sth., 停止做某事；停止正在做的事；停止正在做的事情
stop sb. doing sth., 停止做某事；停止正在做的事；停止正在做的事情
stop sb. from doing sth.,"un. 妨碍；阻止:
"
store up,"na. 贮藏；记住
"
strictly speaking,"na. 严格地讲
"
strike a match,"na. 擦火柴
"
struggle against,"v. 反对
"
struggle for,"v. 争取
"
struggle to one's feet,挣扎着站立起来
struggle with, 与…斗争；与…作斗争；和…斗争
succeed in doing sth., 成功做某事；做……成功；成功作某事
such as,"un. 例如；像；象…这样；诸如…之类
"
suffer from, 患（某种病），受（某种病痛）折磨; 因…而受罚[苦，损]; 闹; 罹
suggest doing ..., 建议做某事；建议干某事；建议去做某事
suggest sth.,vt. 提议，建议；启发；使人想起；显示；暗示
suggest to sb. sth., 对某人提建议
supply sb. with sth.,"v. 供给
"
supply sth. to sb., 供应；给的供应；为……提供
swim to ...,无
switch off,"na. 不收听(某一广播)
"
take a deep breath,"na. 行深呼吸
"
take a message for sb., 给…捎个信儿；为……留言；写留言
take a message to sb.,无
take a rest,"na. 休息一下
"
take a seat,"na. 坐下
"
take after,"na. 尾随；仿效；像
"
take along, 携带；随身带着；随身携带
take around, 领四处参观；领某人四处参观；带人参观
take ... as ...,"un. 剖析；视为
"
take aside,v. 把…叫到一旁
take away,"adj. 买回去的
"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
"
take care,"v. 当心；留心
"
take control of, 控制；掌管；取得对……的控制
take down,"na. 扯下；卷起；记下；卸下
"
take ... for ...,"na. 认为；当做；弄错
"
take ... for example, 以…为例；打比方
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take it easy,"na. “take things easy”的变体
"
take it for granted that ...,无
take measures,"na. 测定
"
take no notice of,"na. 不采取应有的措施
"
take notes,"na. 做记录
"
take notice,"na. 注意；(幼儿)；开始了解事物
"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
take office,"na. 就职
"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
take one's attention,无
take one's exam,无
take one's leave, 告辞；作别；离开
take one's time,"na. 从容
"
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take out of,"na. 除去；要赔偿；报仇
"
take over,"na. 接管；继承
"
take part in,"na. 参加；贡献
"
take an active part in,"na. 积极参加
"
take photographs of,无
take pity on,"na. 因可怜…
"
take mercy on,对…表示怜悯
take place,"na. 发生；举行
"
take pride in,"na. 以…自豪；对…感到满意
"
take sb. up to ...,占用
take ... seriously,"na. 重视；认真(想)；当真
"
take sides in, 站在…一边；偏袒；站在某某一边
take sides with,"v. 袒护；拥护
"
take the place of,"na. 接替某人的位置
"
take to,"na. 嗜好；开始；参加；逃入
"
take turns to do sth.,无
take two more pills,无
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
talk to oneself,"na. 自言自语
"
talk of,"na. 讲；说要
"
tear oneself away from,"na. 忍痛离开…而去；挣开
"
tell lies,"v. 说谎
"
tell a lie,"v. 说谎
"
tell the difference between ... and ...,无
tend to do, 倾向于做某事；倾向去做某事；倾向做某事
tens of thousands of, 数以万计；成千上万；几万
thanks ... for ..., 为……而感谢；为…感谢；因……而感谢
thanks to,"v. 感谢；幸亏；多亏
"
That is ...,"na. 即；用于纠正之前说过的内容
"
That is to say ...,"就是, 即, 换句话说"
the answer to the question,无
the key to the question,无
the attitude to sth.,无
the attitude towards sth.,对待…的态度
the ban on sth.,无
the ban on doing,无
the cost of living,"n. 生活费用
"
the damage to,"n.对...的损伤,对...损害"
the entrance to,无
the first time to do,无
the key to, 的答案；的关键；的钥匙
the level of the sea,无
the lines of the play,无
the majority,"n. 多数
"
the majority of,"adj. 大多数
"
"the more ..., the more ...",越...越...
the other day,"na. 上回
"
the other, 他者；另一个；其他
the others, 小岛惊魂；其他；其他人
the reason for sth.,"un. …的理由
"
The reason why ... is that ...,无
the rest of,"adj. 其余
"
the road to, 通向……之路；到…的路；公开讲座
the same as,"adj. 与…同样
"
the students' union,无
the way to, 去……的路；到哪的路；到……的路
There is no doubt that ..., 毫无疑问；毫无疑问的；是毫无疑问的
There is no need to do ...,无
There is no point in doing sth.,无
There is no trouble in doing ...,无
There seem to be ...,"vt.似乎有,好象有"
There seems to be ..., 似乎有；好像有；看起来好像
There used to be ..., 过去曾经有；过去常常有；过去有
think about,"un. 思考；探讨；为…费心思；想像
"
think highly of,"na. 尊重；评价极高
"
think of sb. as, 把…认为是；看作；把…当作
think of sth.,"na. 想起
"
think of sb.,"na. 想起
"
think of doing,"有...的看法, 对...有某种看法, 考虑...是否适合..."
think over,"v. 仔细考虑
"
think well of sb.,"na. 认为好
"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
throw up,"na. 呕吐；抛上；急造；丢弃
"
tie ... to ...,"na. 倚靠；迷恋
"
time and time again,"na. 常常；反复
"
times as big as ...,无
times the size of ...,"un. 尺寸为…的…倍
"
to one's joy,prep.使欣慰的
to one's delight,无
to one's surprise, 使……惊讶的是；竟然；让某人惊讶的是
to tell the truth,"na. 实际是
"
to the joy of sb.,无
to the delight of sb., 令人感到喜悦；令人高兴的是
too many, 太多；太多了；太多的
too much,"na. 太过份
"
track down,"v. 追赶
"
trade in sth.,"na. 用交换方式购入
"
trade sth. for sth.,"un. 转让；抛弃；交换
"
trade sth. with sb.,"un. 从事贸易；与…做生意:
"
translate ... into ...,"v. 译成
"
treat ... as if,无
treat ... as though,无
treat ... as, 对待；当作；当做
trust in,"v. 信任；相信
"
try doing, 试着做某事；尝试做某事；试验，试着做某事
try one's best to do,无
try one's fortune,"na. 碰运气
"
try to do, 尽力做某事；努力做某事；试着做某事
turn a blind eye to,"na. 对…熟视无睹；假装不见
"
turn a deaf ear to,"na. 充耳不闻；装听不见[置若罔闻]
"
turn against,"na. 背叛；使对抗；厌恶
"
turn away,"v. 转变方向
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn for the worse,"na. 恶化
"
turn into,"v. 变成
"
turn off,"v. 关掉
"
turn on,"na. 转向；对…进行突击
"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
turn out ...,"v. 证明；原来；到场
"
turn out to be ..., 证明是；结果是；原来是
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
turn sth. into, 了解
turn to,"v. 向(某人)求助；求助于
"
turn to sb.,"v. 向(某人)求助；求助于
"
turn to sb. for help,无
turn up,"v. 朝上翻；出现
"
turn yellow, 变黄；胆怯起来；发黄
turn green, 变绿；返青；便绿
turn ...,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换
"
under control,"un. 失去控制；被控制住；克制；在控制之下
"
under management,由 ... 经营； 由 ... 管理
under one's direction,无
under the pressure,无
upside down,"adv. 颠倒；倒转；翻转
"
use up,"na. 用完；耗尽
"
used to do, 过去常常做某事；过去常做某事；过去常常作某事
wait for sb.,"na. 等；等待
"
wait for sb. to do,无
wake up,"na. 同“wake”；叫醒；醒来；振作起来
"
warn sb. not to do,无
warn sb. never to do,无
warn sb. of sth.,"na. 警告(某人)有危险
"
wash away,"v. 清洗
"
wash out,"v. 洗掉
"
watch out,"na. 当心；留神；小心；提防
"
wave hello to sb.,无
wave goodbye to sb., 告别
way of life,"na. 生活方式
"
wear out,"na. 精疲力尽；用坏；穿破；磨破
"
What's going on ?,"na. 发生了什么事?
"
what's more, 而且；另外；更重要的是
What's the population of ...?,无
What's up ?, 什么事；怎么了；出什么事啦
whether ... or ..., 不管；不管…还是；是…还是
Why not do ...?, 为什么不；为什么不做某事；怎么不做某事呢
win a majority,无
wind one's way,无
wind sth. around sth.,"v. 蜿蜒
"
wind the clock,无
wind the watch,无
wish for sth.,"v. 希望；想要
"
wish to do, 希望做某事；想做某事；希望去做某事
with great care, 非常小心；小心翼翼；小心翼翼地
with this method,无
within reach,"un. 在…的手边；近在咫尺；附近；力所能及
"
wonder at,"na. 看见…而惊奇；惊讶
"
wonder about,"na. 怀疑
"
wonder if ..., 想知道是否；不知道；怀疑是否
wonder whether ...,无
wonder to do,无
word came that ..., 有消息称；有消息传来说；有消息说
work at ...,"na. 从事；用功读
"
work on sth.,"na. 对…有效[有作用]；动(人,感情等)；向…做工作；左右
"
worry about,"v. 发愁；担忧；为…发愁；替…担忧
"
would prefer to do,无
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
"
year after year,"adv. 年复一年
"
year by year,"na. 年年；逐年
"
You'd better do sth.,无
