stop short of,"na. 险些儿
"
jockey for,(赛马中)挤其他骑师以占据(有利位置)；用排挤手段谋取
per se,"adv. 本身；本质上
"
silver lining,"na. (失望或不幸中的)一线希望[一点慰藉]
"
in the grip of,"un. 控制自己的情绪；被捏在…里；在…控制之下；患了
"
bear out,"na. 证明
"
status quo,"n. 现状；原来的状况
"
hinge on,"v. 随…而定；依赖
"
be pitted against,无
be punctuated by,无
put another way, 换句话说
to some extent,"na. 在某种程度上
"
for one thing,"na. 第一〔表示列举〕；原因之一是
"
run for,"na. 去叫(…)；做…的候选人
"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
depart from,"na. 背离；不合(习惯等)；违反
"
far from,"na. 远离；决不
"
set apart,"na. 分开；分离；留出(充当别用)
"
come into being,"na. 发生
"
in spite of,"na. spite of 不管；〔古语〕无视
"
accommodate to,"un. 适应
"
prior to,"adj. 前于
"
a laundry list of,无
have a bearing on,"na. 关系到
"
correspond to,"v. 符合
"
run against,"v. 背叛
"
take sides,"na. 左袒；拥护(某方面)
"
stem from,"v. 出于；基于
"
keep track of,"na. 追踪；记录；保持联系；密切注意…的动向
"
gain favor,无
in many respects,"un. 就各方面来说；有很多方面
"
be based on,"v. 以…为基础
"
gloss over,"v. 掩饰
"
sign into, 签署
shed light on,"na. 阐明；解释；将…弄明白；照亮
"
serve as,"v. 用作；充当
"
draw support for,无
ensue from,"v. 接着…发生
"
rebel against, 叛逆；反抗；叛乱
be attributable to, 归因为；归因于；可归咎于
a salvo of,无
drop out,"na. 退出；(因不满传统制度而)退出正常社会；落出；隐退
"
explain away,"na. 巧辩过去
"
ascribe to,"v. 把…归于
"
back and forth,"na. 来回地
"
subject to,"v. 处于…中；使服从
"
die out,"na. 死绝
"
work out,"v. 作出；拟定；制定；计划一下
"
get along with,"na. (工作)进行
"
at stake,"na. 被赌着；在危险中；利害[生死]攸关
"
leave out,"na. 遗漏；忽略；〈口〉(告诉某人)停下来
"
a quantity of,"na. 一些
"
frame of reference,"n. （影响人理解和判断事物的）信仰
"
constitutional monarchy,"un. 〔政〕君主立宪
"
in any event,"na. “at all events”的变体
"
in proximity to,"prep. 接近
"
deduce from,"推断
[法] ...从...推断(推出)..."
at large,"na. 随便；拉杂地
"
on the basis of,"na. 以…为基础
"
touch on,"na. 说到
"
order of magnitude,"n. 数量级（量度物理量大小的标准，用以 10 为底的指数表达）
"
speculate on,"v. 思考
"
pave the way for,"na. 为…铺平道路；使…容易到来
"
a streak of,"一道,一条,一系列,一点点,些许…"
conform to,"na. 遵照；顺应；遵守
"
in retrospect, 回顾；回顾过去；回想起来
as far as sth. is concerned,就 ... 而言
lay out,"n. 布局；设计；规划；安排
"
let alone,"na. 任随；更不用说；放任；莫说…(连)
"
in response to,"na. 应…而
"
under one's control, 征服；受制于别人
in favor of,"na. 赞成；有利于；付与
"
draw from, 从…得到; 根据（记忆、构想等）绘画; 从…召集[选择]; 从（某处）取出
make ... distinct from,无
extrapolate from,无
shore up,"v. 用支柱撑住
"
on the way toward,无
coincide with,"v. 与…一致
"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
"
or otherwise,"na. 或相反
"
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
"
as a function of, 一个中文词语或英文单词
set aside,"na. 搁置；拨出；驳回
"
figure as,na. 扮演…角色
pass into oblivion,渐为(世人)忘却;湮没无闻
project onto, 将……投影于；将某事归罪于某人
lie in,"na. 存在于；(分娩后)坐月子
"
more or less,"na. 有几分；约；或多或少；一点也…
"
all but,"na. 几乎跟…一样
"
break down,"v. 分解；抛锚；分析；划分
"
get credit for,"na. 因…出名
"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
lay off,"na. 辞退；停止；暂停
"
fall into disrepute,"na. 名誉变坏
"
be concerned with,"na. 干与；关怀
"
not so much A as B,与其说A不如说B
result from,"v. 由于
"
react to,"v. 对…有反应
"
ward off,"v. 挡开；架开
"
be committed to,"un. 〔军〕投入；承担；致力于；完全旨在
"
submit oneself to,"na. 服从
"
substitute A for B, 用A代替B；用A替B；用A代B
little more than,"na. 和…一样[无差别]
"
insofar as,"na. 在…限度内
"
in conjunction with,"na. 与…共同；连带着
"
press for,"na. 催逼；(时间)迫促；(资金)短少
"
or so,"un. 与其说…不如说…；大约
"
in the long run,"na. 归根到底；“in the long run/term”的变体
"
hold in check,na. 阻止；制止
be rooted in, 扎根于；植根于；根源在于
die hard,"na. 壮烈牺牲；难断气；难绝灭
"
give access to,"na. 接见；准许出入
"
make peace,"abbr. (=peacemaker)
"
take cognizance of,"na. 认识；受理审判
"
bring sth. to bear on,施加(影响、压力等)；将…用于(或指向、集中)；竭尽(全力)
short of,"na. 缺少；达不到；除了；只要不是
"
by way of,"na. 当做；作出…的样子；经由；以便
"
inherit from, 从…继承；从……继承而来；来自遗传
on the part of, 就…而言，在…一边，由…表现出来的，由…所经历的，由…所作出的
be involved in,"na. 被包入；被卷入漩涡
"
in sight of,"na. 在看得见…的地方
"
refrain from,"na. 戒(烟)
"
do little to,无
be supposed to,"na. …(在职务上)要；〈口〉不许
"
a barrage of,"接二连三的,连珠砲似的…"
in terms of,"na. 依…；从…方面；用…特有的字眼
"
emerge from,"v. 从…里露出
"
have no sense of,无
tease apart, 梳理
in the guise of,"na. 扮作；以…为幌子
"
lend credibility to,无
single out,"v. 挑选出；精选出
"
have yet to, 尚有待于；尚未；至今尚未
attribute to,"na. 认为(成功)是(努力)的结果
"
be conducive to,"na. 增进(健康)
"
make no attempt to,无
regard as,"v. 当作
"
ration out, 配额；应按配额给定地；按定量分配给
start out,"na. 跳出；开始；〔俚语〕企图
"
apply to,"v. 应用于
"
a mass of,"un. 许多
"
subordinate to, 从属于；次要的；从属的
in practice,"na. 事实上；在实践中；在不断练习中；练习充足
"
at the cost of,"na. 以…为牺牲
"
set out to, 打算；着手；出发去做某事
accuse of,"un. 控告
"
amount to,"v. 合计
"
in the eyes of,"na. 在…的心目中
"
mutually exclusive,"un. 互斥的；互相排斥；不相容的；互不相交的
"
press into service, 暂时征用；因急需而强迫征用；利用
liberate from,把…从…解放(或释放)出来；解除
no more likely to do sth. than ...,无
rally around,"(或 round, to)；(使)团结(或聚集)起来："
be given over to, 沉湎于；沉溺于
conspicuous consumption,"n. 夸耀性消费；炫耀性购买
"
invest sth. with, 授予；授于
be tempted to, 被诱惑去做；被引诱做某事；受诱惑做
serve to,"v. 用来
"
be foreign to, 陌生的；与------无关的；和…不相干
deviate from,"v. 越轨；违背
"
in the vicinity of,"na. 在…附近；靠近…的；在…上下；在…左右
"
turn to,"v. 向(某人)求助；求助于
"
at first glance,"adv. 初看起来
"
vice versa,"adv. 反之亦然；反过来也一样
"
in return for,"na. 作…的报酬[回礼]
"
be of a piece,(与…)同一性质的；(与…)一致的
on the surface,"na. 表面上
"
carry out,"na. 实行；开展；完成
"
be bound to,"v. 一定要；决心
"
adapt to,"na. 使(自己行动)配合(同伴)
"
under the banner of,"na. 在…旗帜下
"
make sth. a high priority,无
come about,"na. 发生；(风等)变向；【航海】抢风调向
"
under way,"na. 进行着；【航海】航行中
"
a spate of,n.大量的
keep up with,"na. 不落后
"
to some degree,"adv. 多多少少
"
anything but,"na. 决不是；除…外什么都
"
with respect to,"na. 〈正式〉考虑到
"
slip by,"un. 回到；放过
"
lead to,"na. 通向
"
in advance of,"adj. 优于
"
thus far,"na. 至此
"
be liable to,"该受(罚), 应遵守..., 有...的倾向, 易于..."
leave the question open,无
grind out,"na. 碾成；单调地演奏手摇风琴；苦吟(诗句)
"
on grounds of,"以...为理由, 以...为借口, 根据..."
superior to,"adj. 胜过；优于
"
impose ... on ...,"v. 强迫；欺骗
"
put up with,"na. 忍住
"
all the more,"na. “All the better”的变体
"
and so forth,"na. 等等；云云；“and so on/forth”的变体
"
take precedence over,"na. 优于
"
be akin to,"na. 是…的同族[近亲]；类似
"
owe to,"v. 由于；把…归功于
"
cope with,"v. 对付；应付
"
rule out,"na. 排除
"
relegate to, 委托给；贬低；使降级
give way to,"v. 让步；退却
"
on a par with,"na. 与…持平；与…不相上下
"
be susceptible to,"na. 对…敏感
"
call sth. into question, 质疑；使……受到质疑；怀疑
in light of,"na. 按照；根据；鉴于
"
in the light of,"na. 按照；以…的模样；当作…
"
compensate for,"v. 补偿；抵偿
"
take up arms against, 拿起武器反对
in the face of,"na. 不避；不管；〈英〉在…前面；面临
"
appeal to,"v. 求助于；引起N
"
devoid of,"v. 缺乏N；没有N
"
be free from,"v. 免除
"
on the other hand,"na. 从另一方面来说；在另一方面
"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
"
fall short of,"na. “come short”的变体；“fall short”的变体
"
impinge on,"v. 影响到；冲击；打击
"
raise a hand against,"打击,伤害,威胁"
in a sense,"na. 在某种意义上；有一点儿
"
leave room for,"v. 留下余地给
"
other than,"na. 与…不同；除了
"
deprive ... of,"un. 剥夺
"
mete out a punishment,无
culminate in,"v. 到达顶点
"
result in,"na. 终于(失败)
"
be dazzled by,无
call for,"na. 呼吁；主张；需要；接(某人)
"
in view of,"na. 鉴于；为要；在…能看见的地方；估计[预料]到才
"
pore over, 注视；钻研；凝视
pore through, 精读
spring from,"v. 突然出现
"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
"
draw an analogy, 比；触类旁通
not until, 直到……才；引导的句子要倒装；引起倒装
be inclined to,"v. 倾向于；想要
"
give rise to,"na. 惹起
"
far beyond, 是远远超过的意思；融解的速度远超过；大大超越
draw upon,"v. 利用
"
attest to, 证实；证明；证实某事
deter from,阻止(某人做某事)，使(某人)打消念头
take pains to, 尽心竭力；努力去做；下功夫
supplement with,用…增补〔补充〕
battle for, 斗争；韦诺之战；为……斗争
due to,"un. 由于；预定；因为；亏
"
in common,"un. 和…有相通之处；公有
"
in common with,"prep. 与…相同
"
have little to do with,"v. 与…几乎无关
"
for the sake of,"adv. 为了…起见
"
invest in,"v. 投资到
"
in particular,"na. 特别；一一
"
at odds with,"adj. 相抗争于
"
a measure of,"un. 显示；一点点
"
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
"
settle a dispute, 讲和；解决问题；了结一场争端
hem in,"un. 结结巴巴地说起话来；限制；太狭窄；围住
"
fall into,"na. 开始；分解(成几部分)；陷入(网等)中；变成
"
credit someone with,无
run up,"na. 抬高(市价等)；升(旗等)；造；增加(费用,债款等)
"
with regard to,"na. 关于；对于；为了答复；“in/with regard to”的变体
"
proportional to,"adj. 和…成比例
"
at the mercy of,"na. 完全受…支配
"
in this sense,无
take into account,"na. 考虑
"
verge on,"v. 接近；濒于
"
be imbued with, 满怀
exert influence on, 施加影响；对…施加影响；感化
red herring,"n. 题外话；转移注意力的事；【食】熏青鱼
"
dispense with,"na. 省；免除；没有也行；豁免
"
reside with,与……同住
end up,"na. 结束；完事；[俚]死；直立着
"
be associated with,"v. 与…联系
"
manage to do ..., 设法做某事；设法做成某事；设法做成了某事
make use of,"na. 使用
"
to the exclusion of,"na. 把…除外；排斥
"
grow out of,"na. 抛弃；戒除；长大而穿不上衣服；源出
"
cast doubt on,"un. 令人对…置信不疑；令人不疑
"
in effect,"na. 实际上；总之；有效
"
by and large,"na. 总的说来
"
come as no surprise,"不足为奇
意料之中"
go a long way toward,无
put forth,"na. [send out 或 throw out] a feeler (用言语或动作)探听别人的反应
"
dedicate A to B,无
in turn,"na. 挨次
"
in the presence of,"na. 在…之前；面临着…
"
derive from,"v. 来自；起源于
"
no less than,"prep. 多达
"
fit into, （使）适合， （使）合乎…的时间[空间]，与…融为一体; 纳入
by contrast,"un. 相比之下；作对比；与此相反
"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
"
set up,"na. 建立；创立；发起；开办
"
skew ... with,无
accept sth. at face value,无
take sth. at face value, 根据外表判断；从表面上看问题；以貌取人
engage in,"na. 从事；参加
"
Herculean task, 艰巨的任务；赫拉克勒斯的任务；极为艰巨的工作
a wide spectrum of,无
call forth,"na. 唤起
"
bring to light,"na. 暴露；揭露
"
up to a point, 在一定程度上；在某种程度上；不完全如此
fail to,"v. 未能；使…失望
"
a burst of,无
green thumb,"n. 园艺技能；种植技能
"
set forth,"na. 公开；发行；公布；陈述
"
resort to,"na. 使用(武力)
"
be obsessed with,"un. 昼夜萦绕在…心头；被…缠住；埋头研究
"
nothing but,"na. 不外；〔美国〕〔加强语气〕的确
"
expose ... to,"un. 暴露于
"
wear away,"v. 消逝；磨损
"
strive to do, 努力做；努力做某事；设法
have nothing to do with,"na. 办完；和…断绝关系；已和…无关
"
merit attention, 值得注意
make a distinction, 区分；做出区分；一个中文词语或英文单词
cling to,"v. 依附；坚持
"
cling on to, 紧紧抱住；坚持某事；抱得紧
suffer the same fate,无
aside from,"na. 暂置不论；加之；除…外
"
split into,"un. 裂开；劈开；破裂:；分裂
"
arise from,"v. 从…而得的
"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
err in, 犯错误；弄错
dispose of,"na. 安排；解决；办妥；杀掉
"
tap into,"na. 同“tap”
"
equip with,"v. 装备
"
correlate with, 找出一一对应的关系；与…相关；使相互关联
by virtue of,"na. 靠
"
caution against, 警告；告诫；提防
a case in point,"na. 范例
"
by nature,"na. 生就；从本性上说
"
sail through, 顺利通过；轻快地经过；轻快地走过
be wary of, 提防；小心翼翼；谨慎的
on the periphery of,无
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
"
in reference to,"na. 关于
"
throw the spotlight on,无
be consistent with,"v. 与…一致
"
rip sth. out of,无
pin down,"na. 强迫(人)承认[履行]条约；用…束缚住；阻止；牵制
"
not least, 尤其是；尤其；相当重要地
as of,"na. 自…
"
be traced back to,无
adhere to,"v. 坚持；依附
"
under the disguise of,"na. 以…为口实；装做
"
take ... for granted,"v. 想当然
"
be fraught with, 充满；孕育
seize on,"na. 猛扑；袭击；利用；采用(提议)
"
at the expense of,"na. 以…为代价；由…出钱；牺牲…
"
no matter,"na. 没事儿
"
in the name of,"na. 凭…的名；为…的缘故；作…的代表
"
comply with,"v. 遵守
"
in great measure,"na. 很
"
be tied to,"v. 被束缚着
"
open up prospects,无
regardless of,"prep. 不管；不顾；不理会
"
now that,"na. 由于
"
be premised on,无
if at all,"conj. 即使有的话
"
wax and wane,"na. (月)盈亏；盛衰
"
for fear of,"na. 因为怕；唯恐
"
in public,"na. 公然
"
inquire into,"na. 调查；探索
"
testify to,"v. 证明；证实
"
be alert to, 警惕；对…警惕；对……警觉
defer to, 遵从；尊重；听从
on one's own,"na. 独自地；独立地；凭自己力量；主动地
"
be intrigued by,无
center on,"un. 围绕
"
in keeping with,"na. 和…一致
"
be locked up,无
a drag on ..., 一条龙；阿龙；一只龙
to this end,"un. 直到最后；为此目的
"
perch on,"栖息,飞落,坐落,位于…"
be renowned for, 以某事物闻名；以…闻名；以……闻名于世
carry on,"adj. (飞机乘客的行李)可随身携带的
n. (飞机乘客的)随身行李
"
