a bit of,"na. 一点儿
"
a copy of,"det. 一份
"
a couple of,"det. 一对
"
a cup of, 一杯；一茶怀；一茶杯
a few,"na. 几个；〔反语〕很多；〈俚〉一点点
"
a kind of,"na. 一类；几分；稍稍
"
a lot of,"det. 许多
"
lots of,"adj. 许多；很多
"
a number of,"na. 若干；〔口语〕=numbers of 许多的
"
a piece of,"det. 一块；一只
"
above all,"na. 最主要的；最重要的是
"
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
"
achieve one's dreams,无
across from,"na. 在…的正对面
"
add ... to ...,"na. 增加
"
after a while,"na. 过了一会儿
"
after all,"na. 毕竟；终究；最后
"
again and again,"na. 再三再四
"
agree on,"na. 对…意见一致
"
agree to,"na. 承认(提议；条件)
"
agree with,"na. 适合；赞同；与…一致
"
aim at,"v. 目的在于
"
all by oneself, 单独；全靠自己；独立
all day,"na. 一天到晚
"
all day long,"na. “all day”的变体
"
all in all,"na. 全部；完全；第一
"
all kinds of,"na. 种种
"
all over,"adj. 满
n. 全花织物
"
all over the world,"adv. 遍及全世界
"
all around the world, 全世界；世界各地；在世界上
all right,"adj. 可接受（的）；满意（的）；安全健康（的）；平安无恙（的）
int. 是不是；（表示同意）好；没什么；（引起注意）哎
"
all the same,"na. 依然；“all/just the same”的变体
"
all the time,"na. 始终；〔美国〕老是
"
all year round, 全年；一年到头；终年
along with,"na. 与…一道；以外
"
and so on,"na. “And so forth”的变体
"
answer the phone,"v. 接电话
"
apologize to sb. for sth., 因某事向某人道歉
argue about,"v. 讨论；议论
"
argue with,"un. 争论
"
arrive at,"v. 到达；得出
"
as a result,"adv. 结果
"
as for,"na. 至于
"
as if,"na. 彷佛；活像
"
as though,"na. 好像；见 well 条
"
as long as,"conj. 只要
"
as soon as,"na. 一…就；见 soon 条
"
as soon as possible,"na. 尽快
"
as usual,"adv. 照常；照例
"
as well,"na. 也；同样
"
as well as,"na. 和…一样；…不用说
"
ask for,"na. 要(价)；来找
"
ask one's permission,无
at breakfast,"na. 早餐时；正吃早餐
"
at lunch, 吃午餐；在午饭时；在吃午饭
at supper,无
at first,"na. 首先
"
at last,"na. 终于
"
at least,"na. 至少
"
at night,"na. 在黄昏时候；晚上
"
at noon,"na. 在中午
"
at once,"na. 立刻；同时
"
at present,"na. 目前
"
at school,"na. 在学校；在上课；在求学
"
at table,"na. 在吃饭
"
at the age of,"na. 在…岁时
"
at the back of,"na. 在…背后
"
at the beginning of,"un. 前奏；处于…的开端；起初
"
at the corner of,无
at the doctor's, 在诊所；在医务室；看医生
at the edge of,"un. 稍稍地移动；在…的一侧
"
at the end of,"na. 在…末端；在…的结尾
"
at the foot of,"prep. 在…的下部
"
at the front of, 在……前面；在…的前面；在…的前部
in the front of, 在……的前部；在……的前面；在里面的前面
at the moment,"na. “for the moment”的变体
"
at the same time,"na. 同时；另一方面；与此同时
"
at the sight of,"na. 一看见就
"
at the speed of, 以……的速度；以…速度；速度为
at weekends, 在周末；每逢周末；生在周末
at work,"na. 做着；在工作；起着作用；运转中
"
avoid doing sth., 避免做某事；避免干某事；防止做某事
be able to do sth., 能够做某事；能做某事；有能力做某事
be about to do sth., 即将做某事
be afraid of sth.,"na. 怕
"
be afraid of doing sth.,无
be allowed to do sth., 被允许做什么；被允许做某事；被允许干
be angry with sb.,"na. 对…生气；生(某人)的气
"
be asleep, 睡着；麻痹了；睡着了
be away from, 远离；离开；从……离开
be bad for,"na. 对…有害
"
be based on,"v. 以…为基础
"
be blind to,"na. 不明
"
be born in, 出生于；出生在；诞生于
be busy with sth.,"v. 忙于
"
be busy doing sth.,"na. 忙着干(某事)
"
be careful, 小心；当心；注意
be certain to do sth.,无
be close to,"na. 接近；不离
"
be covered with,"na. 盖满
"
be crowded with,"na. 被…挤满；满是…
"
be different from,"na. 和…不同
"
be experienced in,"v. 有经验
"
be familiar to,"v. 熟悉
"
be famous as,作为…而闻名遐迩
be famous for,"v. 因…出名
"
be far from,"v. 远离
"
be fed up with,"na. 吃…吃得过饱；厌倦
"
be filled with, 充满；装满；充满着
be fit for,"na. 适于
"
be fond of,"v. 爱好
"
be free from,"v. 免除
"
be friendly to,"na. 赞成
"
be frightened to do sth.,无
be full of,"na. 充满…(的)
"
be gone,离开，离走；[用于祈使句]走开，滚开
be good at,"v. 善于
"
be good for,"na. 值…
"
be ill in bed,无
be in,"un. 汇集着；住院；送到；是准备
"
be in agreement, 意见一致；意见一致的；同意
be interested in,"v. 对…感兴趣
"
be keen on,"na. 喜爱
"
be kind to,"na. 对…厚道
"
be known as,"na. 通称
"
be late for,"v. 迟到
"
be linked to, 与…有联系；与…有关；与……相联系
be mad at,"na. 对…发怒
"
be made from,"na. 由…制成的
"
be made of,"na. …制的
"
be made to do sth.,无
be made up of, 由…构成；组成；由…组成
be moved by,无
be off,"na. 去
"
be open to,"na. 易受；易接受；对…开着门
"
be pleased with,"na. 喜欢
"
be poor in,无
be proud of,"na. 以…自豪
"
be rich in,"v. 富于
"
be sad for,无
be serious about,"v. 用心
"
be short for, 是…的简称；是…的缩写
be short of, 缺少；缺乏；短缺
be similar to,"na. 像
"
be sorry for,"对...感到懊悔, 对...感到遗憾, 为...感到惋惜, 对...感到怜悯"
be strange to, 不习惯；对……不习惯；对……陌生
be stressed out,"na. (因心理压力过重而)精疲力尽的
"
be strict in, 对某事严格要求；对某事要求严格；严于
be supposed to do sth.,"na. …(在职务上)要；〈口〉不许
"
be sure to do sth.,"na. 必定
"
be surprised at,"v. 惊奇
"
be talented in,无
be terrified of,"na. 给…吓一跳
"
be thankful to sb., 感激；感谢；感激的
be tired of,"v. 厌烦；厌倦
"
be up to,"un. 面对；在干；居心
"
be used as, 被用作；被用做；被当作
be used for,"v. 用于
"
be used to do sth.,无
be used to doing sth.,无
get used to doing sth.,无
be willing to do sth.,"na. 乐意进行
"
be worn out, 筋疲力尽；被损坏；穿破
be worried about, 担心；为…而担心；为……担心
be worth doing sth.,值得做……
because of,"na. 因
"
before long,"na. 不久；不(需很)久
"
beg sb. to do sth.,"na. 去乞讨；没有买主
"
begin ... with ...,"na. 从…开始
"
believe in,"v. 相信
"
belong to,"v. 属于；附属
"
between ... and ...,无
borrow ... from ...,"na. 由…处借(钱)
"
both ... and ...,既...又...
break down,"v. 分解；抛锚；分析；划分
"
break into,"na. 闯进；拦(别人话头)；侵占(别人时间等)；突然…起来
"
break into pieces,"na. 打碎
"
break off,"v. 断绝；摘；把…折断；使脱落
"
break out,"na. 起；(战争等)突发；(囚犯等)逃脱；【航】起(锚)
"
break the record,"na. 打破记录
"
break the rule, 违反规定；违反规则；打破规则
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
bring out,"na. 公布；说出；出版；上演
"
bring ... to ...,"na. 使恢复知觉；【航】使停船
"
bring up,"na. 抚养；教导；教育；在…长大
"
build up,"na. 同“build”；建立；复兴；【军】集结(部队)
"
by accident,"na. 偶然 (opp. on purpose)
"
by air,"na. 用[坐]飞机；用无线电
"
by car,"na. 乘电车；乘汽车
"
by chance,"na. 偶然
"
by doing sth., 通过做某事；通过某种方式；通过做某事的方式
by means of,"na. 以
"
by mistake,"na. 因错误
"
by oneself,"na. 单独；独自；独力
"
by the end of,"prep. 在…尽头
"
by the time,"na. 到…的时候
"
by the way,"na. 见 way 条
"
by then,"na. 到那时
"
by turns,"na. 轮流
"
call at ...,"na. 访问(某家)；(车船)停靠(某地)
"
call for help,"un. 呼救
"
call the police, 报警；叫警察；打电话给警察
call up,"na. 传；动员；打电话给；【电讯】呼唤
"
calm down,"na. 平静下来
"
can't help doing sth., 禁不住做某事；情不自禁做某事；忍不住做某事
care about,"v. 在意
"
care for,"v. 照顾；关心；喜欢
"
carry on,"adj. (飞机乘客的行李)可随身携带的
n. (飞机乘客的)随身行李
"
carry out,"na. 实行；开展；完成
"
catch cold,"na. 着凉
"
catch a cold,"n. 【医】感冒
"
catch up with,"v. 赶上
"
change one's mind,"na. 改变想法
"
chat with, 和…聊天；与…闲聊；与某人聊天
clean out,"na. 扫除干净；〔俚语〕(把钱)花完
"
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
clear up,"na. 整顿；说明；(天气)转晴
"
climb up,"na. 攀登
"
check in,"v. 〈美〉报到；(旅馆)登记
"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
cheer up,"v. 鼓舞；振作一点
"
close down,"v. 关闭；关门；倒闭；歇业
"
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
"
come along,"na. 进步；同意；一道来；请过来
"
come and go,"na. 来来去去；变化无定；来往
"
come back,"na. 回来；想起来；〔口语〕复原；归
"
come down,"na. 败落；退步；(飞机的)下降
"
come from,"v. 来自；出身；归因于
"
come in,"na. 进入；当选；上台；(党派)组阁
"
come on,"na. (演员)出台；进行(很好)；(暴风雨等)起；(病,苦痛等)加深
"
come out,"na. 出来
"
come over,"na. 渡过来；(从敌方)过来；变挂；〔口语〕欺骗
"
come to an end,"na. 完结
"
come to know, 开始了解到；开始认识到；终于认识到
come to life,"na. 苏醒过来
"
come to oneself,"na. 苏醒；醒悟；复原
"
come true,"na. (预言等)成事实；实现；(作物)不变种地发芽生长
"
come up to,"na. 到达；不亚于；不负(期待)
"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
"
communicate with,"v. 联络
"
compare ... to ...,"un. 核对记录；商量了一番；比较；和…相仿
"
compare ... with ...,"na. 和…比较[对照]
"
complain about,"v. 埋怨
"
concentrate on,"na. 集中在；专心于
"
congratulations to,无
connect ... to ...,"un. 接于
"
connect ... with ...,"na. 和…有关系
"
consist of,"v. 由…合成
"
correct the mistakes,无
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
cut in line, 插队；插队等候；排队时插队
cut off,"na. 削除；截止；截断(退路等)；割下来
"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
"
day after day,"na. 天天；一天又一天
"
day off,"n. 休假日；休息日
"
deal with,"na. 办理；对待；与…交涉；与…交易
"
decide on,"na. 决心
"
depend on,"v. 依靠
"
develop a film,无
die from,"na. 因伤致死
"
die out,"na. 死绝
"
differ from,"na. 和…不一致；和…意见不同
"
discuss about, 讨论某事；讨论关于
divide into,"v. 分为
"
do business,"na. 做买卖
"
do chores, 做家务；处理琐事；干家务
do harm to,"v. 损害
"
do sb. a favor, 帮忙；帮一个忙；做好事
do sb. good,"v. 有益
"
do one's best,"na. 竭尽所能；尽力
"
do some exercises,无
do some shopping, 购物；买东西；买些东西
do the dishes,"na. 洗碗碟
"
do well in, 擅长；在……方面做得好；在……干得好
do with,"na. 对付；忍耐；与…相处
"
dozens of,"adj. 许多
"
draw ... from ..., 从…得到; 根据（记忆、构想等）绘画; 从…召集[选择]; 从（某处）取出
dream of,"v. 梦想
"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
"
drop by,"na. 随便访问一下
"
drop out,"na. 退出；(因不满传统制度而)退出正常社会；落出；隐退
"
dry up,"na. 干涸；逐渐枯萎；使干；(演员)忘记台词
"
due to,"un. 由于；预定；因为；亏
"
earn one's living, 谋生；营生；挣钱维持生计
eat up,"na. 吃完；消耗；沉迷于；很快走完(距离)
"
either ... or ...,"n. (自动控制)“异”；按位加；二者择一
adj. 二者择一的
"
encourage sb. to do sth., 鼓励…做；鼓励做某事
end up,"na. 结束；完事；[俚]死；直立着
"
enjoy doing sth., 喜欢做某事；享受做某事的乐趣；喜爱做某事
enjoy oneself,"na. 过得快乐
"
enter for,"na. 参加(赛跑)
"
enter into,"na. 入；动手；参加；缔结(协约等)
"
even if,"na. 即使…也
"
even though,"na. “even if”的变体
"
ever since,"na. 从…以来
"
exchange ... with ...,"un. 互换
"
face to face,"na. 面对面
"
fail to do sth., 未能做某事；做某事失败；没能做成某事
fall behind,"na. 落后；跟不上；落下；拖欠
"
fall ill,"na. 病倒；染疾
"
fall in love with,"na. 爱上
"
fall into,"na. 开始；分解(成几部分)；陷入(网等)中；变成
"
fall off,"na. 下降；(从马上)掉下来；扫兴颓丧；离开
"
fall over,"na. 倒了；落在地上；(计算机)程序停止运行；跌倒
"
far away,"adj. 远方的；老早老早以前的；(眼色,神情等)走神的
"
far away from, 远离；离…很远；远离，隐居
feed on,"na. 同“feed off ”；“live on”的变体
"
feel like,"na. 〈口〉想要…；愿意…；感觉像是…
"
fight for,"v. 争取
"
fill in,"na. 填充；填写；同“fill”
"
fill ... with ...,"v. 充满
"
find out,"na. 查出；发现；看清…的面目；识破
"
find sb. doing sth.,无
finish doing sth., 完成做某事；完成某事；做完
first of all,"na. 第一
"
fix up,"na. 〈美口〉修理；解决；组织；安顿住处
"
for a long time,"adv. 长时间；长久
"
for ever,"adv. 永远地；永恒地；〈非正式〉无休止地；永无止境地
n. 永恒；相当长的时间
"
for example,"na. 例如
"
for free, 免费地；免费的；为了免费
for instance,"na. 例如
"
for pleasure,"na. 为取乐
"
for sure,"adv. 确实
"
for the first time,"na. 第一次
"
force sb. to do sth.,"v. 强人所难
"
forget doing sth., 忘记做过某事；忘记做了某事；忘记曾做过某事
forget to do sth., 忘记去做某事；忘记要去做某事；忘记要做某事
be free with, 直爽；坦白；大方的
from then on,"na. 从那时起
"
from time to time,"na. 时时
"
from ... to ..., 从到；从什么到什么；起止时间
get a ride, 搭车；搭便车；骑车
get a word in, 插话；插话，插嘴；打一会儿盹
get along,"na. 过日子；生活；团结；进步
"
get on,"na. 上马；安上；过日子；相投 (with together)
"
get along with,"na. (工作)进行
"
get on with,"na. 同“get along ”
"
get annoyed, 生气；变得气恼；恼怒
get away,"na. 逃脱；出发；把…送出
"
get back,"na. 取回；回来；送回；〈俚〉报复
"
get bored, 变得厌倦；变得无聊；厌烦
get down to,"v. 认真对待
"
get dressed,"v. 穿衣服
"
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
"
get in the way,"na. 妨碍
"
get in the way of, 妨碍；碍事，妨碍；阻碍
get into trouble,"na. 遇到麻烦；卷入纠纷；受责备；未结婚而怀孕
"
get lost,"int. 〈口〉滚开；别烦我
v. 迷路；迷失；陷入…而忽略了…
"
get mad at,无
be mad at,"na. 对…发怒
"
get married to, 与某人结婚；和……结婚；与…结婚
be married to,"un. 给…证婚；嫁给…
"
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
get on,"na. 上马；安上；过日子；相投 (with together)
"
get on well with, 与……相处融洽；和……相处得好；与……相处得好
get out,"na. 摆脱；走出；〔命令语气〕出去!
"
get out of,"na. 逐渐放弃(恶习)；避免；由…出来；拔出
"
get over,"na. 同“get across”
"
get ready for,"v. 作准备
"
be ready for,"v. 预备好
"
get ready to do sth.,无
be ready to do sth., 准备做某事；准备好做某事；为做某事做好了准备
get rid of,"na. 除掉；摆脱；撵走
"
get sth. done, 完成；与句子主语是被动关系；表被动
get through,"na. 花光；了结；(使)通过(议案)；及格
"
get to,"na. 接触到；开始；〈美口〉收买
"
get together,"na. 聚集；集合；汇齐；积累
"
get up,"na. 起床；起身；站起来；叫…起床
"
give a concert, 开音乐会；举办音乐会；举行音乐会
give advice to ..., 给……提建议；给某人提建议；建议给
give a hand,"un. 制住；帮着干一点
"
give a talk, 作报告；做报告；演讲
give away,"na. 赠送；分发；放弃；露马脚
"
give back,"na. 归还；返回；往后站；凹陷
"
give birth to, 生（孩子），生育; 引起，产生; 娩出; 娩
give in,"na. 让步；屈服；投降；上交
"
give off,"na. 发散(水蒸气等)
"
give out,"na. 发表；放出；分发
"
give reasons for,"陈述理由,解释"
give sb. a call, 给……打电话；给某人打电话；给我电话
give sb. a hand,"un. 制住；帮着干一点
"
give up,"na. 放弃；断绝；投降；自首
"
go abroad,"na. 出国；到外国
"
go ahead,"na. 取得进展
"
go along,"na. 前进
"
go back,"na. “Come back”的变体；回来；追溯到；回顾
"
go back home, 回家；回到家；走回家
go by,"na. 走过；以…为根据(作判断)；〈美〉顺道访问；受…所控制
"
go down,"na. 下去；(飞机)坠落；继续到  (风,浪等)平静下来；消退
"
go fishing, 去钓鱼；垂钓；我以前常去钓鱼
go for a walk,"v. 出去散步
"
go hiking, 去远足；去徒步旅行；去徒步远足
go in for,"na. 赞成；寻求；参加
"
go on a diet, 节食；实行节食；减肥
go on a picnic, 去野餐；去野炊；搞野餐
have a picnic, 举行野餐；去野餐；吃野餐
go on to do sth.,无
go on with sth.,"v. 继续
"
go on doing sth., 继续做；继续做原来做的事；继续做同一件事
go out,"na. 出去；灭；辞职；下台
"
go over,"na. 仔细查看；仔细搜查；排练；重温
"
go shopping,"na. 去买东西
"
go sightseeing, 去观光；去观光旅行；出去观光
go to sleep,"na. 入睡
"
go through with,"v. 完成；做到底
"
go with,"na. 同…一致；跟…谈恋爱；带有；领会
"
go wrong,"na. 走错路；失败
"
graduate from,"v. 毕业于
"
green hand,"n. 新手；生手；缺乏经验的人
"
grow up,"na. 长大
"
had better do sth.,"na. 最好；最好…
"
had better not do sth.,无
hand in,"na. 交进
"
hand in hand,"na. 手拉手；联合
"
hand over,"v. 转交；递给；送交(警察或有关当局)处理；移交(权力等)
"
hands up,"un. 举起手来
"
hang out,"na. 同“hang”；把上身伸出(窗外)；挂出门外[窗外]；拖延
"
hang up,"v. 挂断电话；挂机；悬挂；耽搁
"
happen to do sth., 碰巧做某事；碰巧干某事；碰巧发生某事
happen to sb.,"v. 发生于
"
hate doing sth., 讨厌做某事；讨厌做过的事；不喜欢做
have a bath,"na. 入浴；洗澡
"
take a bath,"na. “have a bath”的变体
"
have a class, 上课；学生上课
have a lesson,"na. 受教
"
take a class,"na. 毕业考试得优等
"
take a lesson, 上课
have a good time,"na. 过得愉快；很愉快
"
have a high fever,vi.发高烧
have got a high fever,无
have a look at,"na. (仔细)看一看
"
have a meeting, 开会；开个会；开会的时间了
have a mind,有意(做某事)；想(做某事)
have a good mind,很想(做某事)；很有(做某事)的意思；极有意(做某事)
have a rest,"v. 休息一下
"
have fun,"na. 作乐
"
have no idea,"un. 心中有数；对…一无所知；感到茫无头绪；不想
"
have no time to do,无
have to,"modalv. 不得不；必须；劝告或建议时用；表示一定真实或肯定发生
v. 不得不；必须；一定；应当
"
have ... off, 我休得假比你的少
have trouble doing sth., 做某事有困难；做……有困难；做某事有麻烦
hear from,"na. 得到…的消息
"
hear of,"na. 听说；获悉；收到…的消息；知道
"
hear about,"v. 得知；听到关于
"
help do sth., 帮助做某事；帮助干某事；帮忙做
help to do sth., 帮助做某事；帮忙做某事；有助于做某事
help oneself,"un. 放荡不羁；实在山穷水尽；自救
"
here and there,"na. 到处；零零落落
"
hold a sports meeting, 举行运动会；开运动会；举办个运动会
hold on,"na. 拉住；继续；坚持下去；(打电话时)不挂断
"
hold on to,"na. 赖着不走
"
hold one's breath,"na. 屏息
"
hold up,"v. 举起；支撑；耽误；抢劫
n. 抢劫；延误；堵车
"
hope to do sth., 希望做某事；希望去做某事；希望干某事
how far,"na. (离…)多远；到什么程度[范围]
"
how long,"conj. 多长时间
"
how many,"na. 多少
"
how often,"conj. 多长时间一次
"
how old,"conj. 多少岁
"
how soon, 多久；多快；多久以后
hundreds of,"na. 好几百
"
hurry up,"na. 催促；赶快
"
if not,"na. 要是不；不然的话
"
if only,"na. 只要；只要…就好了
"
if possible,"na. 可能的话
"
in a hurry,"na. 匆忙；〈口〉容易地；急于要；〔口语〕愿意地
"
in a low voice, 低声地；低声的；低声说
in a loud voice,"高声地,大声地"
in a tired voice,无
in a mess,"na. 肮脏；混乱；困难
"
in a minute,"na. 马上
"
in a word,"na. “in a few words”的变体
"
in addition,"na. 加之
"
in addition to,"na. 加之
"
in all,"na. 总计
"
in another way,无
in case,"na. 以防万一；作为准备；如果；免得〔用作连词〕
"
in charge of,"na. 受托…的
"
in common,"un. 和…有相通之处；公有
"
in danger,"na. 在危险中
"
in English, 用英语；用英语说；用英语表达
in fact,"na. 事实上；总之
"
in favor of,"na. 赞成；有利于；付与
"
in front of,"na. 在…的前面
"
in general,"na. 一般；大体上
"
in groups,"na. 成群地
"
in hospital, 住院；在医院；生病住院
in hunger,无
in no time,"na. 立刻
"
in one's fifties,无
in one's opinion,"na. 据某人意见
"
in order,"na. 整整齐齐；合规则；情况正常；健康
"
in order to,"na. 为了；从而；以便
"
in public,"na. 公然
"
in red, 穿着红色的衣服；穿着红衣服；身穿红衣服
