truant,"n. 旷课者；懒惰的人
adj. 旷课的；偷懒的
vi. 逃学；偷懒，逃避责任"
play truant,"na. 逃学
"
unimaginative,adj. 缺乏想象力的；无趣的
over and over,"na. 转来转去；〔主美〕反反复复
"
over and over again,"na. 翻来覆去
"
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧
"
put sb. to shame,"na. 给丢脸!
"
hitchhike,"n. 搭便车（旅行）
vt. 要求（搭便车）
vi. 搭便车"
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
Antarctic,"adj.南极的, 南极地带的"
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
imaginary,adj. 虚构的，假想的；想像的；虚数的
fantasia,"n. 幻想曲；集成曲；幻想作品
"
shyness,n. 羞怯
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
limelight,"n. 石灰光，石灰光灯；众人注目的中心
vt. 使显露头角，使受到注目"
river bed,"n. 河床
"
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
take precautions to prevent sth. against sth.,无
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动
"
shady,"adj. 成荫的；阴暗的；名声不好的
"
sheriff,"n. 州长；郡治安官；执行吏
"
be hard on sb.,"na. 接近
"
sneer,"vi. 嘲笑，冷笑
vt. 嘲笑，冷笑
n. 嘲笑，冷笑"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
inconvenient,adj. 不便的；打扰的
get out of sth.,"na. 逐渐放弃(恶习)；避免；由…出来；拔出
"
get out,"na. 摆脱；走出；〔命令语气〕出去!
"
get into sth., 到达什么地方；这个错误可能使他陷入困境
progress,"n. 进步，发展；前进
vi. 前进，进步；进行
"
get on with sth.,"na. 同“get along ”
"
get on with sb.,"na. 同“get along ”
"
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
get over sth.,"na. 同“get across”
"
get sth. over,"na. 同“get across”
"
get through sth.,"na. 花光；了结；(使)通过(议案)；及格
"
compartment,"n. [建] 隔间；区划；卧车上的小客房
vt. 分隔；划分"
providing,"conj. 假如，以…为条件
v. 供给（provide的ing形式）；预备"
providing that,"conj. 同“provided”
v. “provide”的现在分词
"
scornful,adj. 轻蔑的
SOS,"n. 紧急求救信号
vi. 发出遇难信号"
Save Our Souls, 救救我们；拯救我们的灵魂；求救信号
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板；[会计] 经常费用；间接费用；吊脚架空层"
stamp sth. out,"na. 踏灭(火)；扑灭(暴动等)
"
scene,n. 场面；情景；景象；事件
survivor,n. 幸存者；生还者；残存物
sunburnt,"adj. 晒黑的；有晒斑的；日炙的
v. 晒黑（sunburn的过去式和过去分词）"
cargo,"n. 货物，船货
"
wreckage,n. （失事船或飞机等的）残骸；（船只等的）失事
frightful,adj. 可怕的；惊人的；非常的
fool,"n. 傻瓜；愚人；受骗者
vt. 欺骗，愚弄
adj. 傻的
vi. 欺骗；开玩笑；戏弄"
April Fools' Day,愚人节
bulletin,"n. 公告，公报
vt. 公布，公告"
macaroni,n. 通心粉；通心面条；纨绔子弟
Calabria,卡拉布里亚区[意大利行政区名]
leading,"adj. 领导的；主要的
n. 领导；铅板；行距
v. 领导（lead的ing形式）"
grower,"n. 栽培者；生长物
"
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
cartload,n. 大量；一车的载量
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
thresh,"vt. 推敲；打谷；反复做
vi. 打；打谷；颠簸
n. 打谷"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
Signor,"n. 先生（意大利用语）；绅士；已婚男性
"
practical,adj. 实际的；实用性的
practical joke,"n. 恶作剧；捉弄人的把戏
"
onlooker,n. 旁观者；观众（等于spectator）
Prime Minister,"n. 首相；总理
"
somewhere,"n. 某个地方
adv. 在某处；到某处"
era,"n. 时代；年代；纪元
"
B.C.,公元前
Before Christ,"na. 公元前
"
mummy,n. 妈妈；木乃伊；干瘪的人
Egyptian,"n. 埃及人；古代埃及语
adj. 埃及的；埃及人的"
temple,"n. 庙宇；寺院；神殿；太阳穴
"
Thebes,n. [史]底比斯（古希腊Boeotia的主要城邦）
X-ray image,"un. X射线照片
"
die of sth.,"na. 因…而死
"
disease,"n. 病，[医] 疾病；弊病
vt. 传染；使…有病"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点
"
prove,"vi. 证明是
vt. 证明；检验；显示"
resin,"n. 树脂；松香
vt. 涂树脂；用树脂处理
"
skin,"n. 皮肤；外皮
vt. 剥皮
vi. 愈合；长皮"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
laboratory,n. 实验室，研究室
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
god,"n. 神；（大写首字母时）上帝
vt. 膜拜，崇拜"
Duamutef,无
fall to pieces,"na. “fall in pieces”的变体
"
garlic,n. 大蒜；蒜头
Julius Caesar,"na. 朱利乌斯凯撒
"
William the Conqueror,"na. 征服者威廉第一
"
rosy,"adj. 蔷薇色的，玫瑰红色的；美好的；乐观的；涨红脸的
"
cheek,"n. 面颊，脸颊；臀部
vt. 无礼地向…讲话，对…大胆无礼
"
complexion,"n. 肤色；面色；情况；局面
vt. 使增添色彩"
marking,"n. 标志；打分；做记号；斑纹
v. 注意；作记号于；给…打分数（mark的ing形式）
"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来
"
nerve,"n. 神经；勇气；[植] 叶脉
vt. 鼓起勇气"
concentration,n. 浓度；集中；浓缩；专心；集合
symptom,n. [临床] 症状；征兆
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
appetite,n. 食欲；嗜好
amusement,n. 消遣，娱乐；乐趣
whenever,"conj. 每当；无论何时
adv. 不论何时；随便什么时候"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
point sth. out,"na. 指出
"
point sb. out,"na. 指出
"
take sth. up,"na. 拿起；举起；拾起；给搭(火车等)
"
tropical,adj. 热带的；热情的；酷热的
keep away from sth.,(使)远离，(使)不接近；(使)不在
keep away from sb.,(使)远离，(使)不接近；(使)不在
keep sth. up,"na. 支持；保持；继续；停歇
"
keep up with sb.,"na. 不落后
"
keep up with sth.,"na. 不落后
"
keep out,"v. 防止进入；阻止；不参加
"
keep sth. in,"na. 压住；下课后罚学生留校；【印】排紧；让(火)烧着
"
keep sb. in,"na. 压住；下课后罚学生留校；【印】排紧；让(火)烧着
"
mood,"n. 情绪，语气；心境；气氛
"
disposition,n. 处置；[心理] 性情；[军] 部署；倾向
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的
"
undertake,vt. 承担，保证；从事；同意；试图
take charge of sth.,"负责,管理"
take charge of sb.,"负责,管理"
touch down,"na. 【橄】触地得分；【航】着陆；着陆过程中的一部分；着陆时间
"
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植
"
childhood,n. 童年时期；幼年时代
take sth. off,"v. (飞机)起飞；出去；拿掉；移送
"
take sb. off,"v. (飞机)起飞；出去；拿掉；移送
"
take after sb.,"na. 尾随；仿效；像
"
take up sth.,"na. 拿起；举起；拾起；给搭(火车等)
"
take to sth.,"na. 嗜好；开始；参加；逃入
"
take sth. down,"na. 扯下；卷起；记下；卸下
"
Cape Canaveral,"n. 卡那维拉尔角
"
dutiful,adj. 忠实的；顺从的；守本分的
habitual,adj. 习惯的；惯常的；习以为常的
customary,"n. 习惯法汇编
adj. 习惯的；通常的"
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
palace,n. 宫殿；宅邸；豪华住宅
Great Exhibition, 大博览会；伟大的博览会；大展览
Hyde Park,"n. 【旅】海德公园
"
iron,"n. 熨斗；烙铁；坚强
adj. 铁的；残酷的；刚强的
vt. 熨；用铁铸成
vi. 熨衣；烫平
"
of all time, 有史以来；一直；空前的
various,adj. 各种各样的；多方面的
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi. [动] 作炫耀行为"
on display,"un. 公开展出
"
steamboat,n. 汽船，轮船
in all,"na. 总计
"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益
"
battery,"n. [电] 电池，蓄电池
n. [法]殴打
n. [军]炮台，炮位"
download,vt. [计] 下载
pirated,"adj. 盗版的
v. 盗印，翻印；掠夺（pirate的过去分词）"
nylon,n. 尼龙，[纺] 聚酰胺纤维；尼龙袜
Frankfurt,n. 法兰克福市（德国城市）
on business,"na. 因公
"
on the whole,"na. 整体上说
"
on the average,"na. 平均；一般说来
"
on any account,"na. 无论如何
"
on second thoughts,"na. 经重新考虑后；再次考虑后
"
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
assorted,"v. 把…分等级；把…归为一类（assort的过去分词）
adj. 组合的；各种各样的；混杂的"
prisoner of war,"n. 战俘；俘虏
"
bush,"n. 灌木；矮树丛
adj. 如灌木般长得低矮的；粗野的
vt. 以灌木装饰；使…精疲力竭
vi. 丛生；浓密地生长"
rapidly,adv. 迅速地；很快地；立即
rifle,"n. 步枪；来复枪
vt. 用步枪射击；抢夺；偷走"
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
boldly,adv. 大胆地；冒失地；显眼地
up and down,"na. 忽上忽下；各处；来来去去；升降浮沉
"
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发
"
here and there,"na. 到处；零零落落
"
elderly,adj. 上了年纪的；过了中年的；稍老的
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气
"
gleam,"n. 微光；闪光；瞬息的一现
vt. 使闪烁；使发微光
vi. 闪烁；隐约地闪现"
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
seaman,"n. 海员，水手；水兵
"
sailor,"n. 水手，海员；乘船者
"
sighted,"n. 有视力的人
v. 观测（sight的过去分词）
adj. 有视力的；不盲的"
creature,n. 动物，生物；人；创造物
Madagascar,n. 马达加斯加岛（非洲岛国）
shining,"v. 闪烁（shine的ing形式）；发亮
adj. 光亮的；华丽的"
oarfish,n. 皇带鱼
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
wilful,adj. 故意的；任性的
election,n. 选举；当选；选择权；上帝的选拔
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的
"
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
fanatical,adj. 狂热的
radical,"n. 基础；激进分子；[物化] 原子团；[数] 根数
adj. 激进的；根本的；彻底的"
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
ex-,prep. 从；外；离；除；超过；以前的（附在名词前，用于带连词号的复合词）
suspicious,adj. 可疑的；怀疑的；多疑的
latter,"adj. 后者的；近来的；后面的；较后的
"
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
busman,n. 公共汽车司机；售票员
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）
"
be due to,"na. 由于；应给；预定；应做的
"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述
"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
extent,n. 程度；范围；长度
to some extent,"na. 在某种程度上
"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
gratitude,n. 感谢（的心情）；感激
the Press, 新闻界；报界；报刊
North Pole,"na. 北极
"
Arctic,"n. 北极圈；御寒防水套鞋
adj. 北极的；极寒的"
contribute sth. to sth.,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
"
contribute sth. towards sth.,"vt.帮助,有助于"
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送
"
patience,n. 耐性，耐心；忍耐，容忍
encouragement,n. 鼓励
unwillingly,adv. 不情愿地；勉强地
farewell,"n. 告别，辞别；再见；再会
adj. 告别的
int. 别了！（常含有永别或不容易再见面的意思）；再会！"
in someone's honour,无
coincidence,n. 巧合；一致；同时发生
retirement,n. 退休，退役
a total of, 总共；总计；总数为
devote,vt. 致力于；奉献
devote sb. to sth.,"v. 把…贡献给
"
devote sth. to sth.,"v. 把…贡献给
"
hobby,"n. 嗜好；业余爱好
"
decoration,n. 装饰，装潢；装饰品；奖章
hullo,int. 喂，哈啰（等于hello）
incident,"n. 事件，事变；插曲
adj. [光] 入射的；附带的；易发生的，伴随而来的"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走
"
speedboat,n. 快艇；高速游艇
come away,"na. 脱掉
"
desperately,adv. 拼命地；绝望地；极度地
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴
"
water,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水
"
buoy,"n. [水运] 浮标；浮筒；救生圈；航标
vt. 使浮起；支撑；鼓励
"
tremendous,adj. 极大的，巨大的；惊人的；极好的
on this occasion,"na. 这一次
"
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
considerably,adv. 相当地；非常地
petrol,n. （英）汽油
use sth. up,"na. 用完；耗尽
"
gently,adv. 轻轻地；温柔地，温和地
Olympic Gold Medal,无
shred,"n. 碎片；少量剩余；最少量；破布
vi. 撕碎
vt. 切成条状；用碎纸机撕毁"
alibi,"n. 不在场证明或辩解；托辞
v. 辩解；找托辞开脱"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
inspector,n. 检查员；巡视员
employer,n. 雇主，老板
confirm,vt. 确认；确定；证实；批准；使巩固
therefore,adv. 因此；所以
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的
"
innocent of sth.,无罪的；完全清白的，无辜的；缺…的，无…的
certify,v. 证明；保证
inquisitive,adj. 好奇的；好问的，爱打听的
trap,"n. 陷阱；圈套；[建] 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱
"
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面
"
rescue operation,"n. 救援行动；营救工作
"
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的"
vibration,n. 振动；犹豫；心灵感应
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
capsule,"n. 胶囊；[植] 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
layer,"n. 层，层次；膜；[植]压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；[植]通过压条法而生根"
beneath,"prep. 在…之下
adv. 在下方"
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的
"
enable,vt. 使能够，使成为可能；授予权利或方法
in touch with sb.,与…保持联络
run out of sth.,"na. 用光…
"
smoothly,adv. 平稳地，平滑地；流畅地，流利地
lose heart,"na. 沮丧
"
Sweden,n. 瑞典（欧洲国家）
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退
"
tongue,"n. 舌头；语言
vt. 舔；斥责；用舌吹
vi. 说话；吹管乐器
"
a slip of the tongue,"na. 失言
"
get round,"na. 使敌对各方坐下谈判；同“get around ”
"
comedy,n. 喜剧；喜剧性；有趣的事情
queue,"n. 队列；长队；辫子
vt. 将…梳成辫子；使…排队
vi. 排队；排队等候"
artiste,n. 艺人；大师，能手
advertiser,n. 广告客户；刊登广告的人
awkwardly,adv. 笨拙地；无技巧地
single,"n. 一个；单打；单程票
adj. 单一的；单身的；单程的
vt. 选出
vi. 击出一垒安打"
laughter,n. 笑；笑声
chip,"n. [电子] 芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
fish and chips,"n. 炸鱼加土豆条；炸鱼薯条
"
overfish,vt. 对（鱼、渔场）捕捞过度
terrify,vt. 恐吓；使恐怖；使害怕
diver,"n. 潜水者；跳水的选手；潜鸟
"
North Sea,"na. 北海
"
oil rig,"n. 石油钻塔；钻油平台；油井设备
"
wits,"n. 机智，智慧
"
be frightened out of one's wits,"na. 被吓呆
"
at one's wits' end,"na. 智穷才尽；不知所措
"
cage,"n. 笼，兽笼；牢房，监狱
vt. 把…关进笼子；把…囚禁起来
"
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
whale,"n. 鲸；巨大的东西
vt. 猛揍；使惨败
vi. 捕鲸
"
variety,n. 多样；种类；杂耍；变化，多样化
cod,abbr. 货到付款（cash on delivery）；货到收款（collect on delivery）；化学需氧量（chemical oxygen demand）
skate,"n. 溜冰；冰鞋
vi. 滑冰；滑过
"
factor,"n. 因素；要素；[物] 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商
"
plentiful,adj. 丰富的；许多的；丰饶的；众多的
overboard,"adv. 自船上落下；向船外
adj. 极其热心的；全身心投入的"
as a result,"adv. 结果
"
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
screwdriver,n. 螺丝刀
commanding officer,n. 少尉至上校阶级的各指挥官
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球
"
make for sth.,"na. 有利于；对…有益；倾向于；支持
"
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
air force,"n. 空军
"
control tower,"n. 控制塔
"
spy,"n. 间谍；密探
vt. 侦察；发现；暗中监视
vi. 侦察；当间谍"
spy on sb.,"v. 探听
"
spy on sth.,"v. 探听
"
keep track of sth.,"na. 追踪；记录；保持联系；密切注意…的动向
"
keep track of sb.,"na. 追踪；记录；保持联系；密切注意…的动向
"
make sb. out,"na. 理解；发现；起草；证明
"
make sth. out,"na. 理解；发现；起草；证明
"
Member of Parliament,"n. 下院议员
"
cosmetics,"n. [化工] 化妆品（cosmetic的复数）；装饰品
v. 用化妆品打扮（cosmetic的三单形式）"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
compensate sb. for sth.,"v. 补偿；抵偿
"
sarcastic,adj. 挖苦的；尖刻的，辛辣的
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调
"
despicable,adj. 卑劣的；可鄙的
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕
"
monument,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑"
liberty,"n. 自由；许可；冒失
"
Statue of Liberty,"n. （美国纽约港的）自由女神像
"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
actual,adj. 真实的，实际的；现行的，目前的
copper,"n. 铜；铜币；警察
adj. 铜制的
vt. 镀铜
"
framework,n. 框架，骨架；结构，构架
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
New York Harbour,无
pedestal,"n. 基架，基座；基础
vt. 搁在台上；支持；加座"
put sth. together,"na. 编辑；拼拢；比较考虑；使结婚
"
symbol,n. 象征；符号；标志
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
syllable,"n. 音节
vt. 划分音节
vi. 按音节发音；讲话"
income tax,"n. （个人）所得税
"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
Long Island,"na. (纽约附近的)长岛
"
Staten Island, 斯塔滕岛；史坦顿岛；史泰登岛
Manhattan,n. 曼哈顿岛（美国的一个区）
Empire State Building,"na. 纽约的帝国摩天大厦
"
United Nations,"n. 联合国
"
UN,abbr. 联合国（United Nations）；硝酸铀铣（Uranyl Nitrate）
marble,"n. 大理石；大理石制品；弹珠
adj. 大理石的；冷酷无情的
"
property,n. 性质，性能；财产；所有权
estate,n. 房地产；财产；身份
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理
"
Los Angeles,"na. 洛杉矶
"
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
under water,"na. 在水中；浸水；在水下
"
tricycle,n. [车辆] 三轮车
compete against sb.,"v. 竞争
"
come up,"na. 走近；上升；抬头；(暴风雨等)起
"
yard,"n. 院子；码（英制中丈量长度单位，1码=3英尺）；庭院；帆桁
vt. 把…关进或围在畜栏里
"
gasp,"n. 喘气
vi. 喘气；喘息；渴望
vt. 气喘吁吁地说；喘着气说话"
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
ambassador,n. 大使；代表；使节
Escalopia,无
fire extinguisher,"n. 灭火器
"
drily,adv. 干燥地；冷淡地；讽刺地
set on fire,"na. 放火；放火烧；使兴奋
"
embassy,n. 大使馆；大使馆全体人员
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
aim sth. at sb.,"v. 目的在于
"
aim sth. at sth.,"v. 目的在于
"
basement,n. 地下室；地窖
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进
"
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
fire a shot,无
diplomatic,adj. 外交的；外交上的；老练的
diplomatic relations, 外交关系；邦交；外交联系
lantern,n. 灯笼；提灯；灯笼式天窗
all night long,"na. 整夜；一夜
"
moving,"adj. 移动的；动人的；活动的
v. 移动（move的ing形式）"
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
drift away,"un. 围…团团转；背离
"
