abase,vt. 使…谦卑；降低…的品格；降低…的地位
abdicate,"vt. 退位；放弃
vi. 退位；放弃"
abolition,n. 废除；废止
abreast,"adj. 并排的；肩并肩的
adv. 并肩地；并列"
abstain,vi. 自制；放弃；避免
accede,vi. 加入；同意；就任
additive,"n. 添加剂，添加物
adj. 附加的；[数] 加法的"
adept,"n. 内行；能手
adj. 熟练的；擅长…的"
aeronautics,n. 航空学；飞行术
affinity,n. 密切关系；吸引力；姻亲关系；类同
airborne,adj. [航] 空运的；空气传播的；风媒的
akin,"adj. 类似的；同类的；同族的
"
allegation,n. 指控; 陈述，主张; 宣称; 陈词，陈述;
allergic,adj. 对…过敏的；对…极讨厌的
allot,"vt. 分配；拨给；分派
"
amber,"n. 琥珀；琥珀色
adj. 琥珀色的；琥珀制的
vt. 使呈琥珀色"
amphibian,"n. [脊椎] 两栖动物；水陆两用飞机；具有双重性格的人
adj. 两栖类的；[车辆] 水陆两用的；具有双重性格的"
anabolism,n. [生化] 合成代谢；同化，同化作用
anarchism,n. 无政府主义
anatomy,n. 解剖；解剖学；剖析；骨骼
anew,adv. 重新；再
annex,"n. 附加物；附属建筑物
vt. 附加；获得；并吞"
antagonist,n. 敌手；[解剖] 对抗肌；[生化] 拮抗物；反协同试剂
anthropological,adj. 人类学的；人类学上的
anthropology,"n. 人类学
人类学家"
antibacterial,"n. 抗菌剂；抗菌药
adj. 抗菌的"
appraise,vt. 评价，鉴定；估价
apprehensive,adj. 忧虑的；不安的；敏悟的；知晓的
aquatic,"n. 水上运动；水生植物或动物
adj. 水生的；水栖的；在水中或水面进行的
"
archaeologist,n. 考古学家
arduous,adj. 努力的；费力的；险峻的
arid,adj. 干旱的；不毛的，[农] 荒芜的
artifice,"n. 诡计；欺骗；巧妙的办法
"
artillery,n. 火炮；大炮；炮队；炮术
arthritis,n. [外科] 关节炎
ascribe,vt. 归因于；归咎于
aspiration,n. 渴望；抱负；送气；吸气；吸引术
aspirin,n. 阿司匹林（解热镇痛药）
assent,"n. 同意；赞成
vi. 同意；赞成"
assort,"vt. 把…分级；把…归为一类
vi. 协调；交往"
astrology,n. 占星术；占星学；星座
astrophysicist,n. 天体物理学家
attentively,adv. 注意地；聚精会神地；周到地
authorize,vt. 批准，认可；授权给；委托代替
avenge,"vt. 替…报仇
vi. 报复，报仇"
backbone,n. 支柱；主干网；决心，毅力；脊椎
backdrop,n. 背景；背景幕；交流声
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
bakery,n. 面包店
barrenness,n. 不孕症；不育症；荒芜
barter,"n. 易货贸易；物物交换；实物交易
vt. 以…作为交换；拿…进行易货贸易
vi. 进行易货贸易；[贸易] 作物物交换；讨价还价
"
berry,"n. 浆果（葡萄，番茄等）
vi. 采集浆果
"
besiege,vt. 围困；包围；烦扰
biomedical,adj. 生物医学的
blanch,"n. 铅矿石
vi. 漂白；发白；变白
vt. 漂白；使变白
adj. 漂白的；银白色的
"
bland,"adj. 乏味的；温和的；冷漠的
vt. 使…变得淡而无味；除掉…的特性
vi. 变得平淡无奇；丧失特性
"
blockade,"n. 阻塞
vt. 封锁"
blockage,n. 堵塞，堵塞；封锁；妨碍
blot,"n. 污点，污渍；墨水渍
vt. 涂污，弄脏；用吸墨纸弄干（或除去）
vi. 吸墨水；弄上墨渍或污渍
"
bluff,"n. 吓唬；绝壁；断崖
vi. 吓唬
adj. 直率的；陡峭的
vt. 吓唬；愚弄"
bombard,"n. 射石炮
vt. 轰炸；炮击
"
bravery,"n. 勇敢；勇气
"
breakout,n. 爆发；突围；越狱；脱逃
breakthrough,n. 突破；突破性进展
brood,"n. 一窝；一伙
vt. 孵；沉思
"
brotherhood,"n. 兄弟关系；手足情谊；四海之内皆兄弟的信念
"
Buddhist,"n. 佛教徒
adj. 佛教的"
bust,"n. 破产；半身像；萧条；胸部
adj. 破产了的；毁坏了的
vt. 使破产；使爆裂；逮捕
vi. 破产；爆裂；降低级别
"
by-product,n. 副产品；附带产生的结果；意外收获
calamity,"n. 灾难；不幸事件
"
calculus,n. [病理] 结石；微积分学
calf,n. [解剖] 腓肠，小腿；小牛；小牛皮；(鲸等大哺乳动物的)幼崽
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
carefree,adj. 无忧无虑的；不负责的
catalyze,vt. 催化；刺激，促进
cataract,"n. [眼科] 白内障；大瀑布；暴雨，洪水；奔流
vt. 倾注"
causal,"n. 表示原因的连词
adj. 因果关系的；有原因的"
censor,"n. 检查员；[心理] 潜意识压抑力；信件检查员
vt. 审查，检查；检查和删节"
centralization,n. 集中化；中央集权管理
championship,n. 锦标赛；冠军称号；冠军的地位
chargeable,adj. 应支付的；可以控诉的；可充电的；应课税的
cheery,adj. 愉快的，活泼的
chimpanzee,n. [脊椎] 黑猩猩
cholesterol,n. [生化] 胆固醇
chromosome,n. [遗][细胞][染料] 染色体（形容词chromosomal，副词chromosomally）
chunk,n. 大块；矮胖的人或物
circulation,n. 流通，传播；循环；发行量
clique,"n. 派系；阀；私党；小圈子
vi. 结党
"
coffin,"n. 棺材
断送"
cog,"n. 钝齿；雄榫
vi. 以雄榫连接；一致，吻合；掷骰子时作弊，诈骗
vt. 给…装配齿轮；以雄榫连接"
colossal,adj. 巨大的；异常的，非常的
comeback,n. 恢复；复原
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
complexion,"n. 肤色；面色；情况；局面
vt. 使增添色彩"
compliance,n. 顺从，服从；承诺
compulsion,n. 强制；强迫；强制力
confound,vt. 使混淆；挫败；讨厌；使混乱
congestion,n. 拥挤；拥塞；淤血
connotation,n. 内涵；含蓄；暗示，隐含意义；储蓄的东西（词、语等）
consequent,"n. 结果
adj. 随之发生的；作为结果的"
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
consul,"n. 领事；（古罗马的）两执政官之一
"
contention,n. 争论，争辩；争夺；论点
coral,"n. 珊瑚；珊瑚虫
adj. 珊瑚的；珊瑚色的
"
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
corpse,n. 尸体
corrosive,"n. 腐蚀物
adj. 腐蚀的；侵蚀性的"
counterbalance,"n. 平衡力；自动抵销
vt. 使平衡；抵消"
coverage,n. 覆盖，覆盖范围；新闻报道
cram,"n. 死记硬背；极度拥挤
adj. 填鸭式学的
vi. 狼吞虎咽地吃东西；死记硬背功课
vt. 填满，塞满；死记硬背；猛吃
"
crater,"n. 火山口；弹坑
vt. 在…上形成坑；取消；毁坏
vi. 形成坑；消亡"
credible,adj. 可靠的，可信的
Danube,n. 多瑙河（位于欧洲）
dearth,"n. 缺乏；饥馑；粮食不足
"
debase,"vt. 降低；使…贬值；掺杂
"
debris,"n. 碎片，残骸
"
decode,"vt. 译(密码文电等)，译(码)，解(码)等：；(尤指在学习过程中)把拼写和读音关系用于(阅读)
vi. 从事破译(或解译)工作"
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
delinquency,n. 行为不良，违法犯罪；失职，怠工
demographer,n. [统计] 人口统计学家，人口学家
depletion,n. 消耗；损耗；放血
depreciate,"vi. 贬值；轻视；贬低
vt. 使贬值；贬低；轻视"
detrimental,"n. 有害的人（或物）；不受欢迎的求婚者
adj. 不利的；有害的"
devalue,"vt. 使贬值；降低…的价值
vi. 贬值"
devour,v. 吞食；毁灭
discerning,"adj. 有辨识能力的；眼光敏锐的
v. 辨别（discern的ing形式）"
disparaging,"v. 蔑视（disparage的ing形式）
adj. 毁谤的；轻蔑的"
dispassionate,adj. 不带感情的；平心静气的；公平的
disproportionate,"adj. 不成比例的
不成比例地"
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
disseminate,"vt. 宣传，传播；散布
vi. 散布；广为传播"
diverge,"vt. 使偏离；使分叉
vi. 分歧；偏离；分叉；离题"
divergent,adj. 相异的，分歧的；散开的
diversify,vt. 使多样化，使变化；增加产品种类以扩大
dormant,"adj. 休眠的；静止的；睡眠状态的；隐匿的
"
downscale,"vt. 缩减…规模
vi. 缩减规模"
downshifting,v. （汽车等）调低速挡( downshift的现在分词 )
downsizing,n. 精简，裁员；缩小规模
drudgery,n. 苦工，苦差事
dynamics,n. 动力学，力学
egalitarian,"n. 平等主义；平等主义者
adj. 平等主义的"
elude,vt. 逃避，躲避
emancipate,vt. 解放；释放
ember,"n. 灰烬，余烬
"
emulation,n. [计] 仿真；竞争；效法
encompass,vt. 包含；包围，环绕；完成
encroach,vi. 蚕食，侵占
engrave,vt. 雕刻；铭记
entangle,vt. 使纠缠；卷入；使混乱
entreat,"vt. 恳求；请求
vi. 恳求；乞求"
entrust,vt. 委托，信托
envision,vt. 想象；预想
enzyme,n. [生化] 酶
epithet,n. 绰号；浑名
espionage,n. 间谍；间谍活动；刺探
euthanasia,n. 安乐死；安乐死术
excavate,"vt. 挖掘；开凿
vi. 发掘；细查"
excavation,n. 挖掘，发掘
expedite,"vt. 加快；促进；发出
adj. 畅通的；迅速的；方便的"
facial,"n. 美容，美颜；脸部按摩
adj. 面部的，表面的；脸的，面部用的"
fallacy,n. 谬论，谬误
fallout,n. 原子尘；[核][环境] 放射性尘埃；原子尘微粒回降；附带结果
fanatic,"n. 狂热入迷者；盲信者；盲信
adj. 狂热的；盲信的"
farfetched,adj. 牵强的；乱七八糟的；靠不住的
fascism,n. 法西斯主义；极端国家主义
federation,n. 联合；联邦；联盟；联邦政府
feminist,"n. 女权主义者
adj. 主张女权的"
feverishly,adv. 狂热地；兴奋地
fissure,"n. 裂缝；裂沟（尤指岩石上的）
vt. 裂开；分裂
vi. 裂开；分裂"
flake,"n. 小薄片；火花
vt. 使…成薄片；将…剥落
vi. 剥落；成片状剥落"
flick,"n. 弹开；快速的轻打；轻打声
vt. 轻弹；忽然摇动；轻轻拂去
vi. 轻弹；忽然摇动；轻轻拂去
"
flicker,"n. 闪烁；闪光；电影
vi. 闪烁；摇曳；颤动；扑动翅膀；假装昏倒
vt. 使闪烁；使摇曳
"
flip,"n. 弹；筋斗
vi. 用指轻弹；蹦跳
adj. 无礼的；轻率的
vt. 掷；轻击"
flowery,adj. 花的；华丽的；绚丽的；多花的
flutter,"n. 摆动；鼓翼；烦扰
vt. 拍；使焦急；使飘动
vi. 飘动；鼓翼；烦扰"
foe,n. 敌人；反对者；危害物
foresighted,adj. 有先见之明的，深谋远虑的，能预料的
frenzy,"n. 狂暴；狂怒；暴怒
vt. 使发狂；使狂怒"
frigid,adj. 寒冷的，严寒的；冷淡的
fungus,n. 真菌，霉菌；菌类
fury,n. 狂怒；暴怒；激怒者
futurism,n. 未来主义；未来派
futurist,"n. 未来主义者；未来派画家
adj. 未来主义的"
futurologist,n. 未来学家
geophysical,adj. 地球物理学的
gizmo,n. 小发明（等于gismo ）
glamor,"n. 魅力；魔法；迷人的美（等于glamour）
vt. 迷惑；使有魅力（等于glamour）"
glamour,"n. 魅力，魔力；迷人的美
vt. 迷惑，迷住"
gland,"n. 腺
密封压盖"
gratify,vt. 使满足；使满意，使高兴
gravel,"n. 碎石；砂砾
vt. 用碎石铺；使船搁浅在沙滩上；使困惑
"
groove,"n. [建] 凹槽，槽；最佳状态；惯例
vt. 开槽于
vi. 形成沟槽"
growl,"n. 咆哮声；吠声；不平
vt. 咆哮；（雷电，炮等）轰鸣
vi. 咆哮着说"
guardian,"n. [法] 监护人，保护人；守护者
adj. 守护的
"
gunpowder,n. 火药；有烟火药
hack,"n. 砍，劈；出租马车
vt. 砍；出租
vi. 砍
"
hallucination,n. 幻觉，幻想；错觉
halo,"n. 光环；荣光
vt. 使有晕轮；围以光环
vi. 成晕轮"
harass,vt. 使困扰；使烦恼；反复袭击
haunt,"n. 栖息地；常去的地方
vt. 常出没于…；萦绕于…；经常去…
vi. 出没；作祟"
headshot,n. 爆头；头部特写
hectare,n. 公顷（等于1万平方米）
heed,"n. 注意到；留心到
vt. 注意，留心
vi. 注意，留心
"
helix,n. 螺旋，螺旋状物；[解剖] 耳轮
highbrow,"n. 卖弄知识的人；知识分子
adj. 不切实际的；自炫博学的；知识分子的"
hockey,"n. 曲棍球；冰球
"
homicide,n. 过失杀人；杀人犯
honesty,n. 诚实，正直
horticulture,n. 园艺，园艺学
hospice,"n. 收容所；旅客招待所；救济院
"
hospitable,adj. 热情友好的；（环境）舒适的
husbandry,n. 饲养；务农，耕种；家政
hydroelectric,adj. 水力发电的；水电治疗的
hysteria,n. 癔病，歇斯底里；不正常的兴奋
iceberg,n. [地理] 冰山；显露部分
icon,n. 图标；偶像；肖像，画像；圣像
impel,vt. 推动；驱使；激励
impersonal,"n. 非人称动词；不具人格的事物
adj. 客观的；非个人的；没有人情味的；非人称的"
impinge,"vi. 撞击；侵犯
vt. 撞击"
impoverished,"adj. 穷困的；用尽了的，无创造性的
v. 使贫困（impoverish的过去分词）"
imprint,"n. 印记；痕迹；特征；版本说明
vt. 加特征；刻上记号"
imprison,vt. 监禁；关押；使…下狱
improper,adj. 不正确的，错误的；不适当的；不合礼仪的
inborn,adj. 天生的；先天的
inbuilt,adj. 内置的；内藏的；嵌入的
inclination,n. 倾向，爱好；斜坡
incoming,"n. 进入；到来；常作 incomings 收入，收益
adj. 进来的，到来的； 即将就任的"
incomplete,adj. 不完全的；[计] 不完备的
indistinct,adj. 模糊的，不清楚的；朦胧的；难以清楚辨认的
ineptly,adv. 不适当地；无能地
inexorable,adj. 无情的；不屈不挠的；不可阻挡的；无法改变的
infection,n. 感染；传染；影响；传染病
infest,vt. 骚扰；寄生于；大批出没；大批滋生
infuriate,"vt. 激怒；使大怒
adj. 狂怒的"
innate,adj. 先天的；固有的；与生俱来的
innovate,"vi. 创新；改革；革新
vt. 改变；创立；创始；引人"
insane,adj. 疯狂的；精神病的；极愚蠢的
insidious,adj. 阴险的；隐伏的；暗中为害的；狡猾的
intake,n. 摄取量；通风口；引入口；引入的量
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
interplay,"n. 相互影响，相互作用
vi. 相互影响，相互作用"
interlocking,"n. 连锁；咬合作用
adj. 连锁的"
intranet,n. 内联网；企业内部网
inventive,adj. 发明的；有发明才能的；独出心裁的
invoice,"n. 账单，发货单，收款请求
vt. 开发票；记清单"
irrigation,n. 灌溉；[临床] 冲洗；冲洗法
itinerary,"n. 旅程，路线； 旅行日程
adj. 旅程的； 巡回的，流动的"
jeer,"n. 嘲笑；戏弄；揶揄的言语
vi. 嘲笑；戏弄
vt. 嘲笑；戏弄"
Jew,"n. 犹太人；犹太教徒；守财奴
vt. 欺骗；杀价"
juggle,"vi. 玩杂耍；欺骗；歪曲
vt. 歪曲；欺骗
n. 玩戏法；欺骗"
keyword,n. 密码；关键字
kindle,"vt. 点燃；激起；照亮
vi. 发亮；着火；激动起来"
laborsaving,adj. 节省劳力的，省力气的
laid-off,adj. 被解雇的
lavish,"adj. 浪费的；丰富的；大方的
vt. 浪费；慷慨给予；滥用"
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
legible,adj. 清晰的；易读的；易辨认的
ligament,n. 韧带；纽带，系带
light-year,n. 光年
limpid,adj. 透明的；平静的，无忧虑的
livelihood,n. 生计，生活；营生
lobster,"n. 龙虾
龙虾肉"
lookout,n. 监视；监视哨；警戒；守望者；担心的事；前景
maize,"adj. 黄色的，玉米色的
n. 玉米；黄色，玉米色"
majestic,adj. 庄严的；宏伟的
makeup,n. 化妆品；组成；补充；补考
mania,"n. 狂热；狂躁；热衷
"
manicurist,n. 指甲修饰师
mantle,"n. 地幔；斗篷；覆盖物
vi. 覆盖；脸红
vt. 覆盖
"
Mars,n. 战神；[天] 火星
matchmaker,n. 媒人；安排比赛的人；火柴制造者
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
mediate,"vi. 调解；斡旋；居中
vt. 调停；传达
adj. 间接的；居间的"
Medicare,n. （美国） 国家老年人医疗保险制度
medication,n. 药物；药物治疗；药物处理
mediocrity,n. 平庸之才；平常
merrymaking,"n. 狂欢者；寻欢作乐
adj. 狂欢的；快乐的
vi. 寻欢作乐（merrymake的ing形式）"
methodology,n. 方法学，方法论
microprocessor,n. [计] 微处理器
mighty,"adj. 有力的；强有力的；有势力的
adv. 很；极；非常
n. 有势力的人"
milestone,"n. 里程碑，划时代的事件
"
millennium,n. 千年期，千禧年；一千年，千年纪念；太平盛世，黄金时代
misguided,"adj. 被误导的
v. 使入歧途（misguide的过去分词）"
misuse,"vt. 滥用；误用；虐待
n. 滥用；误用；虐待"
modem,n. 调制解调器（等于modulator-demodulator）
modulate,"vt. 调节；（信号）调制；调整
vi. 调制；转调"
monarchy,n. 君主政体；君主国；君主政治
monk,"n. 僧侣，修道士；和尚
"
monoglot,adj.& n. 使用单一语言的（人）
morphine,n. [毒物][药] 吗啡
mortify,"vt. 抑制；苦修；使…感屈辱
vi. 禁欲；苦行；约束"
motorist,n. 驾车旅行的人，开汽车的人
motorway,n. 高速公路，汽车高速公路
mummy,n. 妈妈；木乃伊；干瘪的人
mundane,adj. 世俗的，平凡的；世界的，宇宙的
Muslim,"n. 穆斯林；穆罕默德信徒
adj. 伊斯兰教的"
muster,"vt. 召集；对…进行点名；使振作
n. 集合；检阅；点名册；集合人员
vi. 召集；聚集
"
mutability,n. 易变性；性情不定；突变性
narrowly,adv. 仔细地；勉强地；狭窄地；严密地
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
Nazism,n. 纳粹主义
neon,"n. 霓虹灯；氖（10号元素，符号Ne）
"
neurology,n. 神经病学；神经学
neurologist,神经学家；神经科专门医师
newborn,"adj. 新生的；再生的
n. 婴儿"
newsletter,n. 时事通讯
newsroom,n. 新闻编辑部；报刊阅览室
nicety,n. 精密；美好；细节；拘泥细节
noteworthy,adj. 值得注意的；显著的
oasis,"n. 绿洲；舒适的地方；令人宽慰的事物
"
obsess,vt. 迷住，缠住；使…着迷；使…困扰
offshore,"adj. 离岸的；[海洋] 近海的；吹向海面的
adv. 向海面，向海"
off-the-cuff,adj. 即席的
olive,"n. 橄榄；橄榄树；橄榄色
adj. 橄榄的；橄榄色的
"
oncologist,n. 肿瘤学家；肿瘤医师
oncoming,"adj. 即将到来的；接近的；新兴的
n. 来临，接近"
online,"adj. 联机的；在线的
adv. 在线地"
optimism,n. 乐观；乐观主义
outburst,n. （火山、情感等的）爆发；破裂
outcry,n. 强烈抗议；大声疾呼；尖叫；倒彩
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
overrated,"adj. 评价过高的
v. 对…估计过高（overrate的过去分词）"
oversee,vt. 监督；审查；俯瞰；偷看到，无意中看到
overshadow,vt. 使失色；使阴暗；遮阴；夺去…的光彩
painstaking,"adj. 艰苦的；勤勉的；小心的
n. 辛苦；勤勉"
paraphrase,"n. 释义；解释；意译
vt. 释义"
passionate,adj. 热情的；热烈的，激昂的；易怒的
pathway,n. 路，道；途径，路径
patriarchal,adj. 家长的；族长的；由族长统治的
peddle,"vt. 叫卖；兜售；散播
vi. 沿街叫卖；忙于琐事
"
penguin,n. 企鹅；空军地勤人员
penicillin,n. 盘尼西林（青霉素）
periodic,adj. 周期的；定期的
perturbation,n. [数][天] 摄动；不安；扰乱
pervasive,adj. 普遍的；到处渗透的；流行的
physique,n. 体格，体形
pigmentation,n. 染色；色素淀积；天然颜色
plagiarize,"vt. 剽窃；抄袭
vi. 剽窃；抄袭"
plank,"n. [木] 厚木板；支架；政纲条款
vt. 在…上铺板；撂下；立刻付款
"
popularity,n. 普及，流行；名气；受大众欢迎
populist,"n. 平民主义者；民粹派；平民论者
adj. 民粹主义的（等于populistic）；平民主义的；平民主义者的"
postulate,"n. 基本条件；假定
vt. 假定；要求；视…为理所当然"
prelude,"n. 前奏；序幕；前奏曲
vt. 成为…的序幕；演奏…作为前奏曲
vi. 作为序曲；奏序曲"
preservative,"n. 防腐剂；预防法；防护层
adj. 防腐的；有保存力的；有保护性的"
primacy,n. 首位；卓越；大主教的职位
primal,"n. 被压抑童年情绪的释放
adj. 原始的；主要的；最初的
vt. 释放（被压抑的童年情绪）"
procure,"vt. 获得，取得；导致
vi. 取得"
profess,"vt. 自称；公开表示；宣称信奉；正式准予加入
vi. 声称；承认；当教授"
profuse,adj. 丰富的；很多的；慷慨的；浪费的
proliferate,"vi. 增殖；扩散；激增
vt. 使激增"
pronounced,"v. 发音；宣告；断言（pronounce的过去分词）
adj. 显著的；断然的；讲出来的"
proponent,n. 支持者；建议者；提出认证遗嘱者
Protestant,"n. 新教；新教徒
adj. 新教的；新教徒的"
psychedelic,"n. 迷幻剂
adj. 引起幻觉的"
quadruple,"n. 四倍
adj. 四倍的；四重的
vt. 使…成四倍
vi. 成为四倍"
query,"n. 疑问，质问；疑问号 ；[计] 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
quirk,"n. 怪癖；急转；借口
"
ranch,"n. 大农场；大牧场
vi. 经营牧场；在牧场工作
vt. 经营牧场；在牧场饲养…"
rating,"n. 等级；等级评定；额定功率
v. 对…评价（rate的ing形式）
"
rattlesnake,n. [脊椎] 响尾蛇
raze,vt. 夷为平地；破坏；消除；拆毁
ready-made,adj. 现成的；做好的；陈旧的；平凡的
rebound,"n. 回弹；篮板球
v. 重新装订（rebind的过去式和过去分词）
vt. 使弹回
vi. 回升；弹回"
red-hot,"n. 热狗；法兰克福香肠
adj. 炽热的；最新的；热烈的；非常激动的"
refrigerated,"adj. 冷冻的，冷却的
v. 冷藏（refrigerate的过去分词）；使冷却"
regain,"n. 收复；取回
vt. 恢复；重新获得；收回
vi. 上涨"
relic,n. 遗迹，遗物；废墟；纪念物
renounce,"n. 垫牌
vt. 宣布放弃；与…断绝关系；垫牌
vi. 放弃权利；垫牌"
residue,n. 残渣；剩余；滤渣
resounding,"adj. 响亮的；轰动的；彻底的
v. 回响（resound的ing形式）"
revere,vt. 敬畏；尊敬；崇敬
rhythmical,adj. 有节奏的；有韵律的
roadhog,乱驾驶汽车的司机
road hog,"v. 乱开汽车(的人)；妨碍其他车辆行驶(的司机)；〈美〉流浪人
n. 莽撞的司机
"
roam,"n. 漫步，漫游；流浪
vt. 在…漫步，漫游；在…流浪
vi. 漫游，漫步；流浪"
rustle,"n. 沙沙声；急忙；飒飒声
vt. 使…沙沙作响
vi. 发出沙沙声"
rut,"n. 发情期；惯例；性冲动；凹槽
vt. 挖槽于；在…形成车辙
vi. 发情
"
saga,"n. 传说；冒险故事；英雄事迹
"
sanitary,"n. 公共厕所
adj. 卫生的，清洁的"
sardine,"n. 沙丁鱼；庸碌无能的人
vt. 使拥挤不堪"
scapegoat,"n. 替罪羊，替人顶罪者；替身
vt. 使成为…的替罪羊"
schism,n. 分裂；分裂教会罪
sediment,n. 沉积；沉淀物
sensory,adj. 感觉的；知觉的；传递感觉的
sermon,"n. 布道；训诫；启示；冗长的讲话
vt. 对…布道；对…说教
vi. 布道
"
selective,"adj. 选择性的
讲究的
有选择地
有选择性地
仔细挑选地"
sneaker,n. 运动鞋；卑鄙者；鬼鬼祟祟做事的人
separation,n. 分离，分开；间隔，距离；[法] 分居；缺口
sexually,adv. 性别地；两性之间地
shimmer,"n. 微光；闪光
vt. 使闪烁
vi. 闪烁；发闪烁的微光"
shortlist,n. （英）供最后挑选用的候选人名单
shovel,"n. 铁铲；一铲的量；铲车
vi. 铲
vt. 铲除；用铲挖；把…胡乱塞入"
shrivel,"vt. 使枯萎；使皱缩；使束手无策
vi. 枯萎；皱缩"
shudder,"n. 发抖；战栗；震动
vi. 发抖；战栗"
shuffle,"n. 洗牌，洗纸牌；混乱，蒙混；拖着脚走
v. 洗牌；推诿，推卸；拖曳，慢吞吞地走；搅乱"
sidewalk,n. 人行道
silt,"n. 淤泥，泥沙；煤粉；残渣
vt. 使淤塞；充塞
vi. 淤塞，充塞；为淤泥堵塞"
similarly,adv. 同样地；类似于
site,"n. 地点；位置；场所
vt. 设置；为…选址"
slash,"n. 削减；斜线；猛砍；砍痕；沼泽低地
vt. 猛砍；鞭打；严厉批评；大幅度裁减或削减
vi. 猛砍；严厉批评"
sledge,"n. 雪橇；大锤
vt. 用雪橇搬运；乘雪橇；用大锤打
vi. 用大锤打；猛击；乘雪橇
"
slowdown,n. 减速；怠工；降低速度
small-minded,adj. 心胸狭窄的；固执己见的；气量小的
smallpox,n. [内科] 天花
smoothly,adv. 平稳地，平滑地；流畅地，流利地
smother,"n. 窒息状态；令人窒息的浓烟
vt. 使窒息；抑制；（用灰等）闷熄；忍住
vi. 窒息；被抑制；闷死"
smudge,"n. 污点，污迹；烟熏火堆
vt. 弄脏，涂污；用浓烟熏
vi. 被弄脏；形成污迹"
sneer,"vi. 嘲笑，冷笑
vt. 嘲笑，冷笑
n. 嘲笑，冷笑"
soothe,"vt. 安慰；使平静；缓和
vi. 起抚慰作用"
sparing,"n. 抽出；宽恕；免去；给予（spare的ing形式）
adj. 节约的；贫乏的；保守的"
sparse,adj. 稀疏的；稀少的
spatial,adj. 空间的；存在于空间的；受空间条件限制的
spotlight,"n. 聚光灯；反光灯；公众注意的中心
vt. 聚光照明；使公众注意"
sprawl,"n. 蔓生；伸开手足躺卧姿势
vt. 懒散地伸开；使蔓生
vi. 蔓延；伸开手足躺；无计划地扩展"
squat,"vt. 使蹲坐，使蹲下
vi. 蹲，蹲下；蹲坐；蹲伏
n. 蹲坐，蜷伏
adj. 蹲着的；矮胖的"
squeak,"n. 吱吱声；机会
vi. 告密；吱吱叫；侥幸成功
vt. 以短促尖声发出"
stakeholder,n. 利益相关者；赌金保管者
stamina,n. 毅力；精力；活力；持久力
standstill,n. 停顿；停止
starch,"n. 淀粉；刻板，生硬
vt. 给…上浆
"
stature,n. 身高，身材；（精神、道德等的）高度
stead,"n. 代替；用处
vt. 对…有利
"
stenographer,n. 速记员
sterile,adj. 不育的；无菌的；贫瘠的；不毛的；枯燥乏味的
stifle,"n. （马等的）后膝关节；（马等的）[动] 后膝关节病
vt. 扼杀；使窒息；藏匿
vi. 窒息；被扼杀"
stimulus,n. 刺激；激励；刺激物
stockpile,"n. 库存；积蓄
vt. 贮存；储蓄
vi. 积累；储备物资"
stomp,"n. 跺脚，重踩；顿足爵士舞
vt. 跺脚，重踩；践踏"
stout,"n. 矮胖子；烈性啤酒
adj. 结实的；矮胖的；勇敢的；激烈的
"
stow,"vt. 装载；收藏；使暂留；堆装
"
strait,"n. 海峡；困境
adj. 狭窄的；苦恼的
"
strand,"n. 线；串；海滨
vt. 使搁浅；使陷于困境；弄断；使落后
vi. 搁浅
"
stratum,n. （组织的）层；[地质] 地层；社会阶层
subdue,vt. 征服；抑制；减轻
submicroscopic,adj. 亚微观的
surmise,"n. 推测；猜度
vt. 猜测；推测
vi. 猜测；认为"
surveillance,n. 监督；监视
suspense,n. 悬念；悬疑；焦虑；悬而不决
suspension,n. 悬浮；暂停；停职
sustenance,n. 食物；生计；支持
swollen,adj. 肿胀的，浮肿的；浮夸的；激动兴奋的
symbolize,"vt. 象征；用符号表现
vi. 采用象征；使用符号；作为…的象征"
syndicate,"n. 辛迪加；企业联合；财团
vt. 把…联合成辛迪加；在多家报刊上同时发表
vi. 联合成辛迪加；组成企业联合组织"
tack,"n. 大头钉；粗缝；行动方针；食物
vt. 附加；以大头针钉住
vi. 抢风航行；作文字形移动
"
tangible,"n. 有形资产
adj. 有形的；切实的；可触摸的"
tardy,"n. 迟到
adj. 缓慢的，迟缓的；迟到的
"
teens,n. 十多岁，十几岁；青少年
temperate,adj. 温和的；适度的；有节制的
template,n. 模板，样板
terrestrial,"n. 陆地生物；地球上的人
adj. 地球的；陆地的，[生物] 陆生的；人间的"
